dataset_id,dataset_name,scientific_purpose,provider,exact_resource,preferred_file,version_or_release,download_url_or_API,estimated_size,requires_login,requires_controlled_access,sample_level,genome_build,identifier_type,expected_columns,priority,already_available_locally,local_equivalent,download_required,notes,acquisition_mode,recommended_bundle,estimated_bytes
tcga_rna,TCGA-BRCA genome-wide gene-level RNA-seq,Primary predictor measurement; no exon reconstruction,NCI GDC,https://api.gdc.cancer.gov/files,1111 UUID-addressed files; see outputs/acquisition/tcga_rna_files.json,GDC 46.0 (2026-08-10),https://api.gdc.cancer.gov/files,4713913640 bytes,no,no,patient/tumor sample; preserve aliquot mapping,GRCh38; verify per-file annotation,TCGA barcode,"gene_id,gene_name,gene_type,unstranded,stranded_first,stranded_second,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded",1,no,,yes,"Frozen open-access UUID/MD5 inventory; file count is not unique patient count. Resolve primary tumor, duplicate aliquots and assay eligibility before analysis.",automatic,True,4713913640
tcga_mutations,TCGA-BRCA masked somatic mutations,Independent BRCA1/2 and HR-repair alteration covariates,NCI GDC,https://api.gdc.cancer.gov/files,992 UUID-addressed files; see outputs/acquisition/tcga_mutations_files.json,GDC 46.0 (2026-08-10),https://api.gdc.cancer.gov/files,32009844 bytes,no,no,patient/tumor sample; preserve aliquot mapping,GRCh38; verify per-file annotation,TCGA barcode,"Hugo_Symbol,Chromosome,Start_Position,End_Position,Variant_Classification,Reference_Allele,Tumor_Seq_Allele2,Tumor_Sample_Barcode",1,no,,yes,"Frozen open-access UUID/MD5 inventory; file count is not unique patient count. Resolve primary tumor, duplicate aliquots and assay eligibility before analysis.",automatic,True,32009844
tcga_segments,TCGA-BRCA segment-level copy number,Genome-wide independent CNA/CIN sensitivity endpoints,NCI GDC,https://api.gdc.cancer.gov/files,2229 UUID-addressed files; see outputs/acquisition/tcga_segments_files.json,GDC 46.0 (2026-08-10),https://api.gdc.cancer.gov/files,32241655 bytes,no,no,patient/tumor sample; preserve aliquot mapping,GRCh38; verify per-file annotation,TCGA barcode,"GDC DNAcopy: chromosome,start,end,num_probes,segment_mean; confirm literal header",1,no,,yes,"Frozen open-access UUID/MD5 inventory; file count is not unique patient count. Resolve primary tumor, duplicate aliquots and assay eligibility before analysis.",automatic,True,32241655
tcga_clinical_xml,TCGA-BRCA clinical receptor source annotations,Adjudicate clinical TNBC using ER/PR/HER2 IHC and ISH/FISH,NCI GDC,https://api.gdc.cancer.gov/files,1183 UUID-addressed files; see outputs/acquisition/tcga_clinical_xml_files.json,GDC 46.0 (2026-08-10),https://api.gdc.cancer.gov/files,85449989 bytes,no,no,patient/tumor sample; preserve aliquot mapping,GRCh38; verify per-file annotation,TCGA barcode,"XML namespaces; bcr_patient_barcode,ER status,PR status,HER2 IHC,HER2 ISH/FISH",1,no,,optional,"Frozen open-access UUID/MD5 inventory; file count is not unique patient count. Resolve primary tumor, duplicate aliquots and assay eligibility before analysis.",automatic,False,85449989
tcga_ascat3,TCGA-BRCA GDC ASCAT3 allele-specific segments,Independent CNA sensitivity resource; avoid mixing algorithms,NCI GDC,https://api.gdc.cancer.gov/files,1060 UUID-addressed files; see outputs/acquisition/tcga_ascat3_files.json,GDC 46.0 (2026-08-10),https://api.gdc.cancer.gov/files,8028812 bytes,no,no,patient/tumor sample; preserve aliquot mapping,GRCh38; verify per-file annotation,TCGA barcode,"chromosome,start,end,copy_number,major_copy_number,minor_copy_number; confirm header",1,no,,optional,"Frozen open-access UUID/MD5 inventory; file count is not unique patient count. Resolve primary tumor, duplicate aliquots and assay eligibility before analysis.",automatic,False,8028812
tcga_hrd,"TCGA-BRCA HRD scar: total, LOH, TAI and LST",Primary independent genomic HRD outcome,NCI GDC PanCancer Atlas,https://api.gdc.cancer.gov/data/66dd07d7-6366-4774-83c3-5ad1e22b177e,TCGA.HRD_withSampleID.txt,2018 PanCancer Atlas,https://api.gdc.cancer.gov/data/66dd07d7-6366-4774-83c3-5ad1e22b177e,280336 bytes,no,no,patient/tumor sample; preserve aliquot mapping,GRCh37/hg19; source publication,TCGA barcode,"sampleID,ai1,lst1,hrd-loh,HRD",1,no,,yes,"Pan-cancer table: subset BRCA by audited barcode map. ai1=TAI; lst1=LST; hrd-loh=scar LOH count, not LOH fraction. Total and components are correlated endpoints, not independent replications.",automatic,True,280336
tcga_aneuploidy,TCGA-BRCA aneuploidy and genome-wide LOH,Independent CIN-related outcomes,NCI GDC PanCancer Atlas,https://api.gdc.cancer.gov/data/0e8831f4-dd7e-4673-8624-b4519c2e0d65,ABSOLUTE_scores.tsv,2018 PanCancer Atlas,https://api.gdc.cancer.gov/data/0e8831f4-dd7e-4673-8624-b4519c2e0d65,456006 bytes,no,no,patient/tumor sample; preserve aliquot mapping,GRCh37/hg19; source publication,TCGA barcode,"sample index,AS,ASprime,LOH_n_seg,LOH_frac_altered",1,no,,yes,"Prespecify AS versus ASprime using source methods; historical genomic proxy, not direct ongoing instability rate.",automatic,True,456006
tcga_fga,TCGA-BRCA fraction genome altered,Independent genome-wide CNA burden,NCI GDC PanCancer Atlas,https://api.gdc.cancer.gov/data/cbfe6a9d-c3be-4982-86c7-c476dc17ca10,seg_based_scores.tsv,2018 PanCancer Atlas,https://api.gdc.cancer.gov/data/cbfe6a9d-c3be-4982-86c7-c476dc17ca10,454662 bytes,no,no,patient/tumor sample; preserve aliquot mapping,GRCh37/hg19; source publication,TCGA barcode,"Sample,n_segs,frac_altered,n_extrema",1,no,,yes,,automatic,True,454662
tcga_absolute,"TCGA-BRCA ABSOLUTE purity, ploidy and whole-genome doubling",Purity/ploidy adjustment and independent WGD endpoint,NCI GDC PanCancer Atlas,https://api.gdc.cancer.gov/data/4f277128-f793-4354-a13d-30cc7fe9f6b5,TCGA_mastercalls.abs_tables_JSedit.fixed.txt,2018 PanCancer Atlas,https://api.gdc.cancer.gov/data/4f277128-f793-4354-a13d-30cc7fe9f6b5,901812 bytes,no,no,patient/tumor sample; preserve aliquot mapping,GRCh37/hg19; source publication,TCGA barcode,"array,sample,call status,purity,ploidy,Genome doublings,Coverage for 80% power,Cancer DNA fraction,Subclonal genome fraction,solution",1,no,,yes,Use curated Genome doublings field; do not infer WGD from an arbitrary ploidy threshold.,automatic,True,901812
tcga_absolute_segments,TCGA-BRCA original allele-specific ABSOLUTE segments,Allele-specific CNA and LOH validation consistent with original HRD release,NCI GDC PanCancer Atlas,https://api.gdc.cancer.gov/data/0f4f5701-7b61-41ae-bda9-2805d1ca9781,TCGA_mastercalls.abs_segtabs.fixed.txt,2018 PanCancer Atlas,https://api.gdc.cancer.gov/data/0f4f5701-7b61-41ae-bda9-2805d1ca9781,253061161 bytes,no,no,patient/tumor sample; preserve aliquot mapping,GRCh37/hg19; source publication,TCGA barcode,"Sample,Chromosome,Start,End,Num_Probes,Length,Modal_HSCN_1,Modal_HSCN_2,Modal_Total_CN,LOH,Homozygous_deletion,solution",1,no,,yes,Original hg19 resource. Do not substitute lifted gene-level GDC ABSOLUTE for allele-specific segments; future interval operations require one explicit build.,automatic,True,253061161
tcga_qc,TCGA PanCancer sample quality exclusions,Sample eligibility and pathology QC,NCI GDC PanCancer Atlas,https://api.gdc.cancer.gov/data/1a7d7be8-675d-4e60-a105-19d4121bdebf,merged_sample_quality_annotations.tsv,2018 PanCancer Atlas,https://api.gdc.cancer.gov/data/1a7d7be8-675d-4e60-a105-19d4121bdebf,8463670 bytes,no,no,patient/tumor sample; preserve aliquot mapping,not applicable,TCGA barcode,"patient_barcode,aliquot_barcode,cancer type,platform,Do_not_use",1,no,,yes,,automatic,True,8463670
tcga_ddr,TCGA DDR publication resource archive,Optional DDR annotation cross-check,NCI GDC PanCancer Atlas,https://api.gdc.cancer.gov/data/d9fdd899-bffe-4325-b0ce-58cbf9924c0a,TCGA_DDR_Data_Resources.zip,2018 PanCancer Atlas,https://api.gdc.cancer.gov/data/d9fdd899-bffe-4325-b0ce-58cbf9924c0a,1021299 bytes,no,no,patient/tumor sample; preserve aliquot mapping,GRCh37/hg19; source publication,TCGA barcode,Archive member DDRscores.tsv observed; full schema pending,1,no,,optional,Not established as full-cohort SBS3 exposure matrix; inspect README and contents after acquisition.,automatic,False,1021299
tcga_pancan_rna,Alternative PanCancer validated gene-level expression,Optional published RSEM expression sensitivity analysis,NCI GDC PanCancer Atlas,https://api.gdc.cancer.gov/data/3586c0da-64d0-4b74-a449-5ff4d9136611,EBPlusPlusAdjustPANCAN_IlluminaHiSeq_RNASeqV2.geneExp.tsv,2018 PanCancer Atlas,https://api.gdc.cancer.gov/data/3586c0da-64d0-4b74-a449-5ff4d9136611,1882540959 bytes,no,no,patient/tumor sample; preserve aliquot mapping,GRCh37/hg19; source publication,TCGA barcode,gene_id; TCGA aliquot columns,1,no,,optional,"Alternative to primary STAR resource, not an independent cohort. Batch-adjusted normalized values are not raw counts; do not double-log.",automatic,False,1882540959
tcga_cdr,TCGA curated survival reference,Optional local survival provenance cross-check,NCI GDC PanCancer Atlas,https://api.gdc.cancer.gov/data/1b5f413e-a8d1-4d10-92eb-7c4ae739ed81,TCGA-CDR-SupplementalTableS1.xlsx,2018 PanCancer Atlas,https://api.gdc.cancer.gov/data/1b5f413e-a8d1-4d10-92eb-7c4ae739ed81,2945129 bytes,no,no,patient/tumor sample; preserve aliquot mapping,not applicable,TCGA barcode,"patient barcode,OS,DSS,DFI,PFI and time fields; workbook header verification pending",1,no,,optional,,automatic,False,2945129
tcga_sbs3,TCGA-BRCA published signature 3/SBS3 exposures,Orthogonal HRD-related mutational signature endpoint,Published TCGA/consortium supplement,https://www.nature.com/articles/ng.3934,tcga_sbs3,2018 PanCancer Atlas,https://www.nature.com/articles/ng.3934,unknown; manual acquisition assessment,manual verification for exact asset,not required for intended published processed summary; exact asset unresolved,patient/tumor sample; preserve aliquot mapping,not applicable,TCGA barcode,"sample barcode,signature exposure,signature basis/version,mutation count,fit uncertainty",1,no,,optional,Manual acquisition: exact stable full-cohort exposure file not verified. Listed rare-variant supplements do not establish this matrix. Historical signature 3 and modern SBS3 require explicit version mapping. Do not replace with candidate-gene expression or derive HRDetect from WES.,manual,False,
hrdetect,Other validated HRD measurements: HRDetect,Optional orthogonal WGS-derived HRD validation,Published breast WGS consortium,https://pmc.ncbi.nlm.nih.gov/articles/PMC5833945/,hrdetect,2018 PanCancer Atlas,https://pmc.ncbi.nlm.nih.gov/articles/PMC5833945/,unknown; manual acquisition assessment,manual verification for exact asset,not required for intended published processed summary; exact asset unresolved,patient/tumor sample; preserve aliquot mapping,not applicable,TCGA barcode,"tumor ID,HRDetect probability,WGS eligibility,cohort linkage",1,no,,optional,Exact open score file and TCGA overlap not established; raw WGS may require controlled access. Historical scars do not establish present functional RAD51 deficiency.,manual,False,
tcga_sv_controlled,TCGA-BRCA GDC somatic structural variants,Direct somatic SV endpoint; outside required public core,NCI GDC,https://api.gdc.cancer.gov/files,tcga_sv_controlled,GDC 46.0,https://api.gdc.cancer.gov/files,755750818 bytes in queried somatic-SV inventory; controlled and excluded from budget,yes,yes,patient/tumor sample; preserve aliquot mapping,GRCh38; workflow dependent,TCGA barcode,"VCF CHROM,POS,ID,REF,ALT,QUAL,FILTER,INFO,FORMAT; paired sample IDs",1,no,,optional,"Metadata queries returned 3128 Somatic Structural Variation files, all controlled (755750818 bytes); broader Structural Variation category also all controlled. Counts are files, not tumors; categories must not be summed blindly.",controlled,False,755750818
pcawg_sv,Published consensus somatic SV alternative,Assess open tumor SV feasibility and overlap,PCAWG consortium,https://www.nature.com/articles/s41586-019-1913-9,pcawg_sv,2018 PanCancer Atlas,https://www.nature.com/articles/s41586-019-1913-9,unknown; manual acquisition assessment,manual verification for exact asset,not required for intended published processed summary; exact asset unresolved,patient/tumor sample; preserve aliquot mapping,not applicable,TCGA barcode,"donor/sample ID,SV breakpoints,type,filters,genome build",1,no,,optional,Exact currently usable public file accession and TCGA-BRCA mapping unresolved. Publication alone is not a verified download. Do not treat normal gnomAD/HGSVC SVs as tumor outcomes.,manual,False,
depmap_effect,CRISPRGeneEffect.csv,Selective genetic dependency endpoint,Broad DepMap / Figshare,https://ndownloader.figshare.com/files/51064667,CRISPRGeneEffect.csv,DepMap 24Q4 Public v1; DOI 10.25452/figshare.plus.27993248.v1,https://ndownloader.figshare.com/files/51064667,428678699 bytes,no,no,cell line/model,not applicable,ACH- ModelID; expression ProfileID join; genes SYMBOL (Entrez),ModelID index; genome-wide gene columns; negative effect = stronger dependency,2,no,,yes,"Archived reproducible release, not claimed latest. Processed public files; no raw sequencing acquisition. Confirm applicable CC BY 4.0 attribution and release README.",automatic,True,428678699
depmap_probability,CRISPRGeneDependency.csv,Optional dependency probability sensitivity endpoint,Broad DepMap / Figshare,https://ndownloader.figshare.com/files/51064631,CRISPRGeneDependency.csv,DepMap 24Q4 Public v1; DOI 10.25452/figshare.plus.27993248.v1,https://ndownloader.figshare.com/files/51064631,421115594 bytes,no,no,cell line/model,not applicable,ACH- ModelID; expression ProfileID join; genes SYMBOL (Entrez),"ModelID index; gene-wise dependency probability, not gene-effect scale",2,no,,optional,"Archived reproducible release, not claimed latest. Processed public files; no raw sequencing acquisition. Confirm applicable CC BY 4.0 attribution and release README.",automatic,False,421115594
depmap_model,Model.csv,Curated lineage/subtype and model confounders,Broad DepMap / Figshare,https://ndownloader.figshare.com/files/51065297,Model.csv,DepMap 24Q4 Public v1; DOI 10.25452/figshare.plus.27993248.v1,https://ndownloader.figshare.com/files/51065297,645696 bytes,no,no,cell line/model,not applicable,ACH- ModelID; expression ProfileID join; genes SYMBOL (Entrez),"ModelID,PatientID,CellLineName,StrippedCellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,ModelSubtypeFeatures,RRID,Sex",2,no,,yes,"Archived reproducible release, not claimed latest. Processed public files; no raw sequencing acquisition. Confirm applicable CC BY 4.0 attribution and release README.",automatic,True,645696
depmap_condition,ModelCondition.csv,Culture/media and assay model context,Broad DepMap / Figshare,https://ndownloader.figshare.com/files/51065300,ModelCondition.csv,DepMap 24Q4 Public v1; DOI 10.25452/figshare.plus.27993248.v1,https://ndownloader.figshare.com/files/51065300,219100 bytes,no,no,cell line/model,not applicable,ACH- ModelID; expression ProfileID join; genes SYMBOL (Entrez),"ModelConditionID,ModelID,GrowthMedia,CellFormat,DataSource",2,no,,yes,"Archived reproducible release, not claimed latest. Processed public files; no raw sequencing acquisition. Confirm applicable CC BY 4.0 attribution and release README.",automatic,True,219100
depmap_profiles,OmicsProfiles.csv,Expression profile to model mapping,Broad DepMap / Figshare,https://ndownloader.figshare.com/files/51065723,OmicsProfiles.csv,DepMap 24Q4 Public v1; DOI 10.25452/figshare.plus.27993248.v1,https://ndownloader.figshare.com/files/51065723,254733 bytes,no,no,cell line/model,not applicable,ACH- ModelID; expression ProfileID join; genes SYMBOL (Entrez),"ProfileID,ModelCondition,ModelID,Datatype,Source",2,no,,yes,"Archived reproducible release, not claimed latest. Processed public files; no raw sequencing acquisition. Confirm applicable CC BY 4.0 attribution and release README.",automatic,True,254733
depmap_default,OmicsDefaultModelProfiles.csv,Select default expression profile without duplicate models,Broad DepMap / Figshare,https://ndownloader.figshare.com/files/51065339,OmicsDefaultModelProfiles.csv,DepMap 24Q4 Public v1; DOI 10.25452/figshare.plus.27993248.v1,https://ndownloader.figshare.com/files/51065339,90080 bytes,no,no,cell line/model,not applicable,ACH- ModelID; expression ProfileID join; genes SYMBOL (Entrez),"ModelID,ProfileID,ProfileType",2,no,,yes,"Archived reproducible release, not claimed latest. Processed public files; no raw sequencing acquisition. Confirm applicable CC BY 4.0 attribution and release README.",automatic,True,90080
depmap_expression,OmicsExpressionProteinCodingGenesTPMLogp1.csv,Genome-wide pathway predictor and cell-state covariates,Broad DepMap / Figshare,https://ndownloader.figshare.com/files/51065489,OmicsExpressionProteinCodingGenesTPMLogp1.csv,DepMap 24Q4 Public v1; DOI 10.25452/figshare.plus.27993248.v1,https://ndownloader.figshare.com/files/51065489,506628654 bytes,no,no,cell line/model,not applicable,ACH- ModelID; expression ProfileID join; genes SYMBOL (Entrez),profile/model index (verify against maps); gene SYMBOL (Entrez) columns; log2(TPM+1) per release README,2,no,,yes,"Archived reproducible release, not claimed latest. Processed public files; no raw sequencing acquisition. Confirm applicable CC BY 4.0 attribution and release README.",automatic,True,506628654
