path,size_bytes,classification,header_preview,gene_preview
E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\BRCA_clinicalMatrix.tsv.gz,1698413,not identified as TCGA-BRCA gene-level RNA,sampleID	AJCC_Stage_nature2012	Age_at_Initial_Pathologic_Diagnosis_nature2012	CN_Clusters_nature2012	Converted_Stage_nature2012	Days_to_Date_of_Last_Contact_nature2012	Days_to_date_of_Death_nature2012	ER_Status_nature2012	Gender_nature2012	HER2_Final_Status_nature2012	Integrated_Clusters_no_exp__nat,TCGA-3C-AAAU-01																													TCGA-3C-AAAU-01										TCGA-3C-AAAU	TCGA Breast Cancer (BRCA)	breast invasive carcinoma	Breast					55	Le
E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\brca_metabric.tar.gz,510321901,archive; cohort named in filename; not verified TCGA-BRCA gene-level RNA,,
E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\brca_metabric_clinical_data.tsv,747984,external cohort; not TCGA-BRCA RNA,Study ID	Patient ID	Sample ID	Age at Diagnosis	Type of Breast Surgery	Cancer Type	Cancer Type Detailed	Cellularity	Chemotherapy	Pam50 + Claudin-low subtype	Cohort	ER status measured by IHC	ER Status	Neoplasm Histologic Grade	HER2 status measured by SNP6	HER2 Status	Tumor Other Histologic Subtype	Hor,brca_metabric	MB-0000	MB-0000	75.65	MASTECTOMY	Breast Cancer	Breast Invasive Ductal Carcinoma	NA	NO	claudin-low	1	Positve	Positive	3	NEUTRAL	Negative
E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\BRCA_survival.txt,69154,not identified as TCGA-BRCA gene-level RNA,sample	_PATIENT	OS	OS.time	DSS	DSS.time	DFI	DFI.time	PFI	PFI.time	Redaction,TCGA-3C-AAAU-01	TCGA-3C-AAAU	0	4047	0	4047	1	1808	1	1808
E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\clinical.project-tcga-ov.2026-05-22.tar.gz,434150,archive; cohort named in filename; not verified TCGA-BRCA gene-level RNA,,
E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\COSMIC_Cancer_Gene_Census.tsv,183760,not identified as TCGA-BRCA gene-level RNA,Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms,"A1CF	APOBEC1 complementation factor	29974	10:50799421-50885675	2		10q11.23	yes		melanoma			E		oncogene	Mis				""ACF,ACF64,ACF65,APOBEC1CF,ASP,CCDS73133"
E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\full idea.txt,9472,not identified as TCGA-BRCA gene-level RNA,Here is the corrected Paper 5 plan with actual downloaded file names replacing the original dataset references.,
E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\gnomad.v4.1.sv.sites.bed.gz,1348435777,non-expression genomic data,,
E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\GSE176078_Wu_etal_2021_BRCA_scRNASeq.tar.gz,558829202,archive; cohort named in filename; not verified TCGA-BRCA gene-level RNA,,
E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\GSE25066_RAW.tar,1203927040,archive; cohort named in filename; not verified TCGA-BRCA gene-level RNA,,
