ensembl_gene_id,gene_symbol,gene_type,gene_set,symbol_mapping_count,n_samples,zero_n,below_0_1_tpm_n,all_zero,near_zero_expression,near_zero_log_variance,mean_tpm,median_tpm,max_tpm,mean_log2_tpm1,sd_log2_tpm1,p05_log2_tpm1,p95_log2_tpm1
ENSG00000000003.15,TSPAN6,protein_coding,other,1,113,0,0,False,False,False,51.475626548672565,44.892,143.5191,5.494236233306313,0.8248024594476066,3.957851938149985,6.66022113767001
ENSG00000000005.6,TNMD,protein_coding,other,1,113,9,37,False,False,False,3.7306247787610616,0.2964,299.5289,0.805638830771964,1.0991495321767384,0.0,2.6773798256768955
ENSG00000000419.13,DPM1,protein_coding,other,1,113,0,0,False,False,False,130.25925575221237,134.2774,289.6323,6.9068155972351235,0.6476092053737454,5.618505717721193,7.7158673044974435
ENSG00000000457.14,SCYL3,protein_coding,other,1,113,0,0,False,False,False,10.969395575221236,10.1922,35.9679,3.4052755259185945,0.7331071940382201,2.1312867333566534,4.606906956188727
ENSG00000000460.17,C1orf112,protein_coding,other,1,113,0,0,False,False,False,10.933743362831859,9.4159,38.0188,3.3231546872141853,0.8716030712402725,1.8179221520146036,4.7334735976228925
ENSG00000000938.13,FGR,protein_coding,other,1,113,0,0,False,False,False,12.402294690265487,10.6063,47.7852,3.475734340525033,0.9131715115256426,1.8234874186072545,4.732726179815929
ENSG00000000971.16,CFH,protein_coding,other,1,113,0,0,False,False,False,19.21863362831858,17.4366,62.2956,4.028325236879334,1.0023762893524577,2.3071603401092546,5.502168371408443
ENSG00000001036.14,FUCA2,protein_coding,other,1,113,0,0,False,False,False,63.29676548672566,55.6778,256.0666,5.851252577600734,0.6566981631086483,4.792467944834573,6.910816570664028
ENSG00000001084.13,GCLC,protein_coding,other,1,113,0,0,False,False,False,14.561433628318584,13.2983,47.2012,3.7995172580522767,0.6898756676541463,2.550228200511094,4.9273383011824645
ENSG00000001167.14,NFYA,protein_coding,other,1,113,0,0,False,False,False,74.89914867256637,57.7428,886.9073,5.900000070543148,0.9184397010737085,4.427851030886709,7.220809749365428
ENSG00000001460.18,STPG1,protein_coding,other,1,113,0,0,False,False,False,5.29231946902655,4.6227,18.6514,2.511712714048018,0.6407933786933853,1.5887720052093022,3.4339290144585544
ENSG00000001461.17,NIPAL3,protein_coding,other,1,113,0,0,False,False,False,21.303307079646014,16.331,74.0603,4.162092427491114,0.9689777585546014,2.5896994640900615,5.664090773256275
ENSG00000001497.18,LAS1L,protein_coding,other,1,113,0,0,False,False,False,17.47332477876106,16.7199,44.442,4.093764640436309,0.5888718199456288,3.2281717159912082,5.005785826937598
ENSG00000001561.7,ENPP4,protein_coding,other,1,113,0,0,False,False,False,16.522708849557525,14.443,46.9828,3.8379521310988793,0.9908946017197233,2.0755739704590455,5.259443205856942
ENSG00000001617.12,SEMA3F,protein_coding,other,1,113,0,0,False,False,False,38.310961061946905,30.822,188.4541,4.986695540144238,0.9380467828125323,3.4498764044220707,6.528740453838309
