patient_id,clinical_sample_id,gdc_sample_id,aliquot_id,expression_sample_id,file_id,n_gene_rows,assigned_reads,assigned_fraction_of_STAR_accounting,detected_genes,genes_ge_1_tpm,tpm_sum,mean_log2_tpm1,median_log2_tpm1,p05_log2_tpm1,p95_log2_tpm1,p99_log2_tpm1,correlation_gene_n,median_pearson_other_samples,correlation_robust_z,low_correlation_flag,robust_outlier_flag,outlier_assessment
TCGA-A1-A0SK,TCGA-A1-A0SK-01,TCGA-A1-A0SK-01A,,TCGA-A1-A0SK-01A|507952aa-23c0-4239-ae19-04d8f862acc2,507952aa-23c0-4239-ae19-04d8f862acc2,60660,62522284,0.7831888810582605,33125,18244,999999.9927,1.2725985321607416,0.09166598752181289,0.0,5.997756074011158,7.9136037898601534,17367,0.8125061940994939,-4.928007102175975,False,True,review_flags_only_no_automatic_exclusion
TCGA-A1-A0SP,TCGA-A1-A0SP-01,TCGA-A1-A0SP-01A,TCGA-A1-A0SP-01A-11R-A084-07,TCGA-A1-A0SP-01A-11R-A084-07,222b562a-3ef7-4e69-a60d-54aac5104102,60660,57792424,0.7542191105807975,32715,16959,1000000.0055000001,1.162829863918389,0.06405506441044337,0.0,5.6943014649070305,7.7475200511652105,17367,0.8949794063589583,0.6007905737960872,False,False,review_flags_only_no_automatic_exclusion
TCGA-A2-A0CM,TCGA-A2-A0CM-01,TCGA-A2-A0CM-01A,,TCGA-A2-A0CM-01A|8fb0660c-fb39-47f0-8450-1f7abff3b656,8fb0660c-fb39-47f0-8450-1f7abff3b656,60660,43421498,0.7715732852943952,33334,17571,999999.9896999998,1.1943604616144412,0.09868904409132834,0.0,5.756869575930657,7.806428446147601,17367,0.9095701753259702,1.5789191969624883,False,False,review_flags_only_no_automatic_exclusion
TCGA-A2-A0D0,TCGA-A2-A0D0-01,TCGA-A2-A0D0-01A,,TCGA-A2-A0D0-01A|d2a12641-a25f-4aab-99a4-433cf664ae73,d2a12641-a25f-4aab-99a4-433cf664ae73,60660,52810562,0.7736782771720325,29676,15757,999999.9996999999,1.0695095191838238,0.0,0.0,5.580059686131003,7.837208530572659,17367,0.8895677526574234,0.23800685786560308,False,False,review_flags_only_no_automatic_exclusion
TCGA-A2-A0D2,TCGA-A2-A0D2-01,TCGA-A2-A0D2-01A,,TCGA-A2-A0D2-01A|64bfe46f-8152-4c70-b69d-ea412a4dfcff,64bfe46f-8152-4c70-b69d-ea412a4dfcff,60660,54762380,0.7821172911576585,31838,16701,1000000.0006,1.1528044745634256,0.048375704538976265,0.0,5.78361966131311,7.904530783705123,17367,0.9071152080411894,1.4143443362673316,False,False,review_flags_only_no_automatic_exclusion
TCGA-A2-A0SX,TCGA-A2-A0SX-01,TCGA-A2-A0SX-01A,,TCGA-A2-A0SX-01A|6e112ec6-1791-4764-8a62-7ad4dfea2d3b,6e112ec6-1791-4764-8a62-7ad4dfea2d3b,60660,65036717,0.7692938712181765,34772,18354,999999.9999999999,1.2235990641761574,0.11855906970682514,0.0,5.6195032469998925,7.580209311673625,17367,0.8988151097419399,0.8579265258047101,False,False,review_flags_only_no_automatic_exclusion
TCGA-A2-A0T0,TCGA-A2-A0T0-01,TCGA-A2-A0T0-01A,,TCGA-A2-A0T0-01A|bbd09e9b-84ba-458f-a595-b03069b843dd,bbd09e9b-84ba-458f-a595-b03069b843dd,60660,64043789,0.7766554318212485,32010,16076,1000000.0155000001,1.0992507381641603,0.043204498565167566,0.0,5.622073496326723,7.689070401000408,17367,0.8978104828119018,0.7905788515254626,False,False,review_flags_only_no_automatic_exclusion
TCGA-A2-A0T2,TCGA-A2-A0T2-01,TCGA-A2-A0T2-01A,,TCGA-A2-A0T2-01A|54600389-6de5-44ce-ada1-8a8508b50980,54600389-6de5-44ce-ada1-8a8508b50980,60660,53545972,0.7756968962141174,31068,15377,999999.9947000002,0.993894252001398,0.023326331860027503,0.0,5.181876357777655,7.421876501845518,17367,0.8856026106129423,-0.027806337956780214,False,False,review_flags_only_no_automatic_exclusion
TCGA-A2-A0YE,TCGA-A2-A0YE-01,TCGA-A2-A0YE-01A,,TCGA-A2-A0YE-01A|c94fb480-7f46-4c24-bcb1-26f66a57c45a,c94fb480-7f46-4c24-bcb1-26f66a57c45a,60660,62232052,0.7867545496756853,32161,17345,1000000.0028999998,1.2063740153556015,0.05838577100035305,0.0,5.887979696051788,7.97819577423717,17367,0.8820742659630036,-0.2643377299830531,False,False,review_flags_only_no_automatic_exclusion
TCGA-A2-A1G6,TCGA-A2-A1G6-01,TCGA-A2-A1G6-01A,,TCGA-A2-A1G6-01A|0c3ddae2-366f-4b21-ab46-a2cfe1963e42,0c3ddae2-366f-4b21-ab46-a2cfe1963e42,60660,57126023,0.7711836126072743,33691,19264,999999.9981999999,1.3050363032495507,0.12273897195454528,0.0,5.853133114705156,7.753064565309543,17367,0.8520034538649527,-2.280209689950486,False,False,review_flags_only_no_automatic_exclusion
TCGA-A2-A3XT,TCGA-A2-A3XT-01,TCGA-A2-A3XT-01A,TCGA-A2-A3XT-01A-11R-A22U-07,TCGA-A2-A3XT-01A-11R-A22U-07,0c068d5a-ccad-47a5-bfe0-0dc5f136d6aa,60660,66960414,0.7512508737753192,33860,17216,1000000.0007,1.1586236441043831,0.07683269555739859,0.0,5.64815891178885,7.77187754576932,17367,0.8893165867205083,0.2211693222554852,False,False,review_flags_only_no_automatic_exclusion
TCGA-A2-A3XX,TCGA-A2-A3XX-01,TCGA-A2-A3XX-01A,,TCGA-A2-A3XX-01A|c0f6d246-c872-41a5-8135-2bdbdb1f924f,c0f6d246-c872-41a5-8135-2bdbdb1f924f,60660,62551616,0.7735616971923169,33110,17278,999999.9996999999,1.1568947496509228,0.06846445096690573,0.0,5.645637527401851,7.835933654060399,17367,0.8891284221225764,0.20855523868525522,False,False,review_flags_only_no_automatic_exclusion
TCGA-A2-A3XY,TCGA-A2-A3XY-01,TCGA-A2-A3XY-01A,,TCGA-A2-A3XY-01A|fc9fab5b-52f0-4c79-bdf3-750c650a0fdc,fc9fab5b-52f0-4c79-bdf3-750c650a0fdc,60660,78023832,0.7799326721850974,35021,18425,1000000.0088000001,1.2594265973896481,0.11556599592160316,0.0,5.861128603347623,7.9092256929000655,17367,0.8975374155943225,0.7722731088900646,False,False,review_flags_only_no_automatic_exclusion
TCGA-A7-A0DA,TCGA-A7-A0DA-01,TCGA-A7-A0DA-01A,,TCGA-A7-A0DA-01A|3293a2fa-d57c-448e-a336-a92def5dd92a,3293a2fa-d57c-448e-a336-a92def5dd92a,60660,63240518,0.7930151287965022,33604,17657,999999.9926,1.1810265420018373,0.08814159686901755,0.0,5.646318066060619,7.610802727153631,17367,0.8902938011094856,0.28667932841005256,False,False,review_flags_only_no_automatic_exclusion
TCGA-A7-A26G,TCGA-A7-A26G-01,TCGA-A7-A26G-01A,,TCGA-A7-A26G-01A|cd417f4e-c065-4e73-a7c7-955b2fe71add,cd417f4e-c065-4e73-a7c7-955b2fe71add,60660,86981112,0.7788452224384141,35684,17446,1000000.0074,1.179273320695902,0.11123167124071535,0.0,5.613467708425483,7.597034606392528,17367,0.877427469593066,-0.5758473252441337,False,False,review_flags_only_no_automatic_exclusion
TCGA-A7-A4SE,TCGA-A7-A4SE-01,TCGA-A7-A4SE-01A,,TCGA-A7-A4SE-01A|87b7171a-7340-4e1e-849b-c52351f23ab0,87b7171a-7340-4e1e-849b-c52351f23ab0,60660,34174471,0.7801349034494207,31853,19437,999999.9862999999,1.3049023156107151,0.09761079662642233,0.0,5.9341108177693,7.901595455997202,17367,0.8876937433762089,0.11237796728556113,False,False,review_flags_only_no_automatic_exclusion
TCGA-A7-A6VV,TCGA-A7-A6VV-01,TCGA-A7-A6VV-01A,,TCGA-A7-A6VV-01A|1aa289bb-8ac9-4e9e-be61-3164afbe06a2,1aa289bb-8ac9-4e9e-be61-3164afbe06a2,60660,57498758,0.7908979516992451,32902,17896,1000000.0031,1.227989954263103,0.08317932033962158,0.0,5.8541876933940955,7.942184740695236,17367,0.8960925914483402,0.675415715299471,False,False,review_flags_only_no_automatic_exclusion
TCGA-A7-A6VW,TCGA-A7-A6VW-01,TCGA-A7-A6VW-01A,,TCGA-A7-A6VW-01A|b4835808-46fa-4b6c-a933-92acc9908319,b4835808-46fa-4b6c-a933-92acc9908319,60660,48965890,0.7516039464714221,32418,16596,1000000.0016999999,1.112695763319218,0.054640130538345405,0.0,5.611778628726711,7.908308883699054,17367,0.8818974392295054,-0.2761917515063003,False,False,review_flags_only_no_automatic_exclusion
TCGA-A7-A6VY,TCGA-A7-A6VY-01,TCGA-A7-A6VY-01A,,TCGA-A7-A6VY-01A|9f06e9cd-8184-4b66-a2e0-96da9a7159e8,9f06e9cd-8184-4b66-a2e0-96da9a7159e8,60660,62223450,0.7621314756026605,33560,16775,1000000.0086,1.1278900770130647,0.07244885006969244,0.0,5.554614902418342,7.766973630278884,17367,0.9051050765336713,1.2795901524215503,False,False,review_flags_only_no_automatic_exclusion
TCGA-A8-A07C,TCGA-A8-A07C-01,TCGA-A8-A07C-01A,,TCGA-A8-A07C-01A|d9ea5bde-aa1a-4210-976f-b2f67c6d0191,d9ea5bde-aa1a-4210-976f-b2f67c6d0191,60660,81498528,0.7666848331920961,35593,17677,999999.9937999999,1.2262948775546423,0.11742908358689448,0.0,5.887213911250836,7.852705541585203,17367,0.8773865023831335,-0.5785936644354918,False,False,review_flags_only_no_automatic_exclusion
TCGA-A8-A07O,TCGA-A8-A07O-01,TCGA-A8-A07O-01A,,TCGA-A8-A07O-01A|d1237195-a00b-4c52-86b3-4627c42eb14c,d1237195-a00b-4c52-86b3-4627c42eb14c,60660,73108479,0.757562124106635,32027,16292,999999.9987000001,1.125639438394685,0.04362447674703463,0.0,5.741209435307723,7.793964717994609,17367,0.8906325065911004,0.30938529593923275,False,False,review_flags_only_no_automatic_exclusion
TCGA-A8-A08R,TCGA-A8-A08R-01,TCGA-A8-A08R-01A,,TCGA-A8-A08R-01A|f6cb208f-cc43-4245-8392-dc5ada57bb9b,f6cb208f-cc43-4245-8392-dc5ada57bb9b,60660,69189240,0.7623301003820947,34761,17632,999999.9901,1.1938716436087453,0.10500752476097375,0.0,5.703538598024144,7.739700839788732,17367,0.8990200340874563,0.8716641408945285,False,False,review_flags_only_no_automatic_exclusion
TCGA-A8-A09X,TCGA-A8-A09X-01,TCGA-A8-A09X-01A,,TCGA-A8-A09X-01A|09f1c0ee-ee22-435f-88c9-d9f5c936c45c,09f1c0ee-ee22-435f-88c9-d9f5c936c45c,60660,54147655,0.695345957750003,31192,16862,1000000.0116999999,1.1145663823594851,0.039138393906958314,0.0,5.466949905293539,7.7015892090852125,17367,0.8743516859590343,-0.7820401597626574,False,False,review_flags_only_no_automatic_exclusion
TCGA-AC-A2BK,TCGA-AC-A2BK-01,TCGA-AC-A2BK-01A,,TCGA-AC-A2BK-01A|bd86e2d9-6098-4f78-9e9b-f2f95367c739,bd86e2d9-6098-4f78-9e9b-f2f95367c739,60660,56635321,0.7935490481710896,30237,17188,1000000.0109000001,1.206829555992213,0.0,0.0,5.965698990009847,7.908969854049758,17367,0.8467929788106392,-2.6295068930273904,False,False,review_flags_only_no_automatic_exclusion
TCGA-AC-A2QH,TCGA-AC-A2QH-01,TCGA-AC-A2QH-01A,,TCGA-AC-A2QH-01A|ff570f9a-a252-496d-a452-344063851a7b,ff570f9a-a252-496d-a452-344063851a7b,60660,73893785,0.3863981262120176,43371,16741,1000000.0035000001,0.9259443944372532,0.15962918582122781,0.0,4.208161372507004,6.3708131100034775,17367,0.7410711281922311,-9.716835080992356,True,True,review_flags_only_no_automatic_exclusion
TCGA-AC-A2QJ,TCGA-AC-A2QJ-01,TCGA-AC-A2QJ-01A,,TCGA-AC-A2QJ-01A|a260d9e5-d88e-44eb-8431-4266c1baf68a,a260d9e5-d88e-44eb-8431-4266c1baf68a,60660,52048654,0.7679021013841406,27972,14945,1000000.0096999999,0.941429258604967,0.0,0.0,5.139677312267525,7.8362031104612875,17367,0.7893656183522522,-6.479293367218032,True,True,review_flags_only_no_automatic_exclusion
TCGA-AC-A6IW,TCGA-AC-A6IW-01,TCGA-AC-A6IW-01A,,TCGA-AC-A6IW-01A|3208ca18-f70a-415e-8d10-5e9cb8a24b52,3208ca18-f70a-415e-8d10-5e9cb8a24b52,60660,67418679,0.7704563688077541,33389,16736,999999.9929000001,1.131055491964821,0.06695024392462703,0.0,5.633696096147961,7.825183178945301,17367,0.8845532413075379,-0.09815342906684815,False,False,review_flags_only_no_automatic_exclusion
TCGA-AC-A7VC,TCGA-AC-A7VC-01,TCGA-AC-A7VC-01A,,TCGA-AC-A7VC-01A|aedc877a-f4b9-4657-b5c9-b7768b5751c9,aedc877a-f4b9-4657-b5c9-b7768b5751c9,60660,41754927,0.7451843171255863,30356,16699,1000000.0094999998,1.0857378391240717,0.008702006104728096,0.0,5.429895102854269,7.647707606675695,17367,0.8260137671380519,-4.022493222243015,False,True,review_flags_only_no_automatic_exclusion
