analysis_id,stage,cohort,population,N,endpoint,predictor,analysis_type,beta,effect_measure,effect,ci_low,ci_high,ci_type,p,robust_p,adjusted_p,fdr,r_squared,spearman_rho,events,status,interpretation,primary_secondary,supports_main_claim,limitation,source_output,source_row,robust_ci_low,robust_ci_high,robust_adjusted_p,omitted_gene,AUC,seed,iterations,percentile,tested_dependencies
E0001,2,TCGA,clinically defined TNBC,103,HRD_total,candidate_mean_z,Model 0,16.002834430972655,OLS beta per signature unit,16.002834430972655,8.317696168049016,23.68797269389629,conventional 95% CI,7.465452030491402e-05,0.0002200278310652,,,0.1445247111934061,0.3538653107356274,,estimated,Association detected; scope limited to this model.,primary,QUALIFIED_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/primary_hrd_model.csv,0,7.721368266465271,24.28430059548004,,,,,,,
E0002,2,TCGA,clinically defined TNBC,103,HRD_total,candidate_mean_z,Model 0,16.002834430972655,OLS beta per signature unit,16.002834430972655,8.317696168049016,23.68797269389629,conventional 95% CI,7.465452030491402e-05,0.0002200278310652,,,0.1445247111934061,0.3538653107356274,,estimated,Association detected; scope limited to this model.,sensitivity,EXPLORATORY_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/adjusted_models.csv,0,7.721368266465271,24.28430059548004,,,,,,,
E0003,2,TCGA,clinically defined TNBC,100,HRD_total,candidate_mean_z,Model 1,14.725932490684382,OLS beta per signature unit,14.725932490684382,6.442634385259552,23.00923059610921,conventional 95% CI,0.0006458485490164,0.0022387732460289,,,0.1916206857224114,0.335312139951065,,estimated,Association detected; scope limited to this model.,sensitivity,EXPLORATORY_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/adjusted_models.csv,1,5.42260986351593,24.029255117852838,,,,,,,
E0004,2,TCGA,clinically defined TNBC,97,HRD_total,candidate_mean_z,Model 2,15.504944938671263,OLS beta per signature unit,15.504944938671263,6.712694571427376,24.297195305915157,conventional 95% CI,0.0007175416727093,0.0042339954107234,,,0.2178337077246566,0.3595474010536538,,estimated,Association detected; scope limited to this model.,sensitivity,EXPLORATORY_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/adjusted_models.csv,2,5.009343713283274,26.00054616405925,,,,,,,
E0005,2,TCGA,clinically defined TNBC,97,HRD_total,candidate_mean_z,Model 3,13.198646605801844,OLS beta per signature unit,13.198646605801844,4.355788824307243,22.04150438729644,conventional 95% CI,0.0038761826482368,0.0194171916673756,,,0.2596355953672157,0.3595474010536538,,estimated,Association detected; scope limited to this model.,sensitivity,EXPLORATORY_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/adjusted_models.csv,3,2.182373184017763,24.21492002758592,,,,,,,
E0006,2,TCGA,clinically defined TNBC,100,HRD_total,candidate_mean_z,Model 1 matched-case M0,15.539299581447072,OLS beta per signature unit,15.539299581447072,7.617559669287639,23.461039493606503,conventional 95% CI,0.0001809452731337,0.0005091763163133,,,0.1339189784978521,0.335312139951065,,estimated,Association detected; scope limited to this model.,sensitivity,EXPLORATORY_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/adjusted_models.csv,4,6.962563093974639,24.116036068919502,,,,,,,
E0007,2,TCGA,clinically defined TNBC,97,HRD_total,candidate_mean_z,Model 2 matched-case M0,16.64060229434882,OLS beta per signature unit,16.64060229434882,8.496901644278381,24.78430294441926,conventional 95% CI,0.0001020731694549,0.0002782593341764,,,0.1476460118673487,0.3595474010536538,,estimated,Association detected; scope limited to this model.,sensitivity,EXPLORATORY_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/adjusted_models.csv,5,7.890221990982923,25.39098259771472,,,,,,,
E0008,2,TCGA,clinically defined TNBC,97,HRD_total,candidate_mean_z,Model 3 matched-case M0,16.64060229434882,OLS beta per signature unit,16.64060229434882,8.496901644278381,24.78430294441926,conventional 95% CI,0.0001020731694549,0.0002782593341764,,,0.1476460118673487,0.3595474010536538,,estimated,Association detected; scope limited to this model.,sensitivity,EXPLORATORY_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/adjusted_models.csv,6,7.890221990982923,25.39098259771472,,,,,,,
E0009,2,TCGA,clinically defined TNBC,103,HRD_total,candidate_mean_z,Adjust Proliferation,12.887990434535991,OLS beta per signature unit,12.887990434535991,5.147988420975389,20.627992448096595,conventional 95% CI,0.0013254672264941,0.0051080831695266,,,0.2086441193020075,0.3538653107356274,,estimated,Association detected; scope limited to this model.,sensitivity,EXPLORATORY_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/sensitivity_analysis.csv,0,3.957996951766804,21.817983917305177,,,,,,,
E0010,2,TCGA,clinically defined TNBC,100,HRD_total,candidate_mean_z,Adjust Purity,16.08824398133062,OLS beta per signature unit,16.08824398133062,7.839382773053423,24.33710518960782,conventional 95% CI,0.0001966492687983,0.0006592689903102,,,0.164588859616361,0.3770611044688316,,estimated,Association detected; scope limited to this model.,sensitivity,EXPLORATORY_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/sensitivity_analysis.csv,1,7.016800265100024,25.159687697561218,,,,,,,
