analysis_id,stage,cohort,population,N,endpoint,predictor,analysis_type,beta,effect_measure,effect,ci_low,ci_high,ci_type,p,robust_p,adjusted_p,fdr,r_squared,spearman_rho,events,status,interpretation,primary_secondary,supports_main_claim,limitation,source_output,source_row,robust_ci_low,robust_ci_high,robust_adjusted_p,omitted_gene,AUC,seed,iterations,percentile,tested_dependencies
E0001,2.0,TCGA,clinically defined TNBC,103,HRD_total,candidate_mean_z,Model 0,16.002834430972655,OLS beta per signature unit,16.002834430972655,8.317696168049016,23.68797269389629,conventional 95% CI,7.465452030491402e-05,0.0002200278310652,,,0.1445247111934061,0.3538653107356274,,estimated,Association detected; scope limited to this model.,primary,QUALIFIED_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/primary_hrd_model.csv,0,7.721368266465271,24.28430059548004,,,,,,,
E0002,2.0,TCGA,clinically defined TNBC,103,HRD_total,candidate_mean_z,Model 0,16.002834430972655,OLS beta per signature unit,16.002834430972655,8.317696168049016,23.68797269389629,conventional 95% CI,7.465452030491402e-05,0.0002200278310652,,,0.1445247111934061,0.3538653107356274,,estimated,Association detected; scope limited to this model.,sensitivity,EXPLORATORY_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/adjusted_models.csv,0,7.721368266465271,24.28430059548004,,,,,,,
E0003,2.0,TCGA,clinically defined TNBC,100,HRD_total,candidate_mean_z,Model 1,14.725932490684382,OLS beta per signature unit,14.725932490684382,6.442634385259552,23.00923059610921,conventional 95% CI,0.0006458485490164,0.0022387732460289,,,0.1916206857224114,0.335312139951065,,estimated,Association detected; scope limited to this model.,sensitivity,EXPLORATORY_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/adjusted_models.csv,1,5.42260986351593,24.029255117852838,,,,,,,
E0004,2.0,TCGA,clinically defined TNBC,97,HRD_total,candidate_mean_z,Model 2,15.504944938671263,OLS beta per signature unit,15.504944938671263,6.712694571427376,24.297195305915157,conventional 95% CI,0.0007175416727093,0.0042339954107234,,,0.2178337077246566,0.3595474010536538,,estimated,Association detected; scope limited to this model.,sensitivity,EXPLORATORY_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/adjusted_models.csv,2,5.009343713283274,26.00054616405925,,,,,,,
E0005,2.0,TCGA,clinically defined TNBC,97,HRD_total,candidate_mean_z,Model 3,13.198646605801844,OLS beta per signature unit,13.198646605801844,4.355788824307243,22.04150438729644,conventional 95% CI,0.0038761826482368,0.0194171916673756,,,0.2596355953672157,0.3595474010536538,,estimated,Association detected; scope limited to this model.,sensitivity,EXPLORATORY_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/adjusted_models.csv,3,2.182373184017763,24.21492002758592,,,,,,,
E0006,2.0,TCGA,clinically defined TNBC,100,HRD_total,candidate_mean_z,Model 1 matched-case M0,15.539299581447072,OLS beta per signature unit,15.539299581447072,7.617559669287639,23.461039493606503,conventional 95% CI,0.0001809452731337,0.0005091763163133,,,0.1339189784978521,0.335312139951065,,estimated,Association detected; scope limited to this model.,sensitivity,EXPLORATORY_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/adjusted_models.csv,4,6.962563093974639,24.116036068919502,,,,,,,
E0007,2.0,TCGA,clinically defined TNBC,97,HRD_total,candidate_mean_z,Model 2 matched-case M0,16.64060229434882,OLS beta per signature unit,16.64060229434882,8.496901644278381,24.78430294441926,conventional 95% CI,0.0001020731694549,0.0002782593341764,,,0.1476460118673487,0.3595474010536538,,estimated,Association detected; scope limited to this model.,sensitivity,EXPLORATORY_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/adjusted_models.csv,5,7.890221990982923,25.39098259771472,,,,,,,
E0008,2.0,TCGA,clinically defined TNBC,97,HRD_total,candidate_mean_z,Model 3 matched-case M0,16.64060229434882,OLS beta per signature unit,16.64060229434882,8.496901644278381,24.78430294441926,conventional 95% CI,0.0001020731694549,0.0002782593341764,,,0.1476460118673487,0.3595474010536538,,estimated,Association detected; scope limited to this model.,sensitivity,EXPLORATORY_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/adjusted_models.csv,6,7.890221990982923,25.39098259771472,,,,,,,
E0009,2.0,TCGA,clinically defined TNBC,103,HRD_total,candidate_mean_z,Adjust Proliferation,12.887990434535991,OLS beta per signature unit,12.887990434535991,5.147988420975389,20.627992448096595,conventional 95% CI,0.0013254672264941,0.0051080831695266,,,0.2086441193020075,0.3538653107356274,,estimated,Association detected; scope limited to this model.,sensitivity,EXPLORATORY_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/sensitivity_analysis.csv,0,3.957996951766804,21.817983917305177,,,,,,,
E0010,2.0,TCGA,clinically defined TNBC,100,HRD_total,candidate_mean_z,Adjust Purity,16.08824398133062,OLS beta per signature unit,16.08824398133062,7.839382773053423,24.33710518960782,conventional 95% CI,0.0001966492687983,0.0006592689903102,,,0.164588859616361,0.3770611044688316,,estimated,Association detected; scope limited to this model.,sensitivity,EXPLORATORY_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/sensitivity_analysis.csv,1,7.016800265100024,25.159687697561218,,,,,,,
E0011,2.0,TCGA,clinically defined TNBC,0,HRD_total,candidate_mean_z,Adjust BRCA1/2,,OLS beta per signature unit,,,,conventional 95% CI,,,,,,,,unavailable,Not estimable: fewer than 10 complete patients,sensitivity,UNAVAILABLE,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/sensitivity_analysis.csv,2,,,,,,,,,
E0012,2.0,TCGA,clinically defined TNBC,102,HRD_total,candidate_mean_z,Adjust FGA,11.69648746738591,OLS beta per signature unit,11.69648746738591,4.087661592144315,19.305313342627507,conventional 95% CI,0.0029346916992996,0.010164459460367,,,0.2506320562936778,0.3552019978832241,,estimated,Association detected; scope limited to this model.,sensitivity,EXPLORATORY_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/sensitivity_analysis.csv,3,2.839865503660977,20.553109431110844,,,,,,,
E0013,2.0,TCGA,clinically defined TNBC,80,HRD_total,candidate_mean_z,Adjust PAM50,11.385254745971636,OLS beta per signature unit,11.385254745971636,2.652616134144891,20.11789335779838,conventional 95% CI,0.0113149671935348,0.0248393826904208,,,0.2777077997055353,0.357079655373514,,estimated,Association detected; scope limited to this model.,sensitivity,EXPLORATORY_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/sensitivity_analysis.csv,4,1.4812635588769627,21.28924593306631,,,,,,,
E0014,2.0,TCGA,clinically defined TNBC,103,HRD_total,candidate_median_z,Prespecified alternative predictor,14.928337191406008,OLS beta per signature unit,14.928337191406008,7.319630792751976,22.53704359006004,conventional 95% CI,0.0001784233565073,0.0006175453068656,,,0.1304228084325068,0.3655071711261031,,estimated,Association detected; scope limited to this model.,sensitivity,EXPLORATORY_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/sensitivity_analysis.csv,5,6.550413385451316,23.306260997360702,,,,,,,
E0015,2.0,TCGA,clinically defined TNBC,103,HRD_total,HORMAD1_z,Prespecified alternative predictor,7.119835749865414,OLS beta per signature unit,7.119835749865414,2.995679475319462,11.243992024411366,conventional 95% CI,0.0008909124507058,0.0007458047204416,,,0.1040404696689102,0.2915853099781313,,estimated,Association detected; scope limited to this model.,sensitivity,CONTEXT_ONLY,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/sensitivity_analysis.csv,6,3.059336712134841,11.180334787595989,,,,,,,
E0016,2.0,TCGA,clinically defined TNBC,103,HRD_total,STAG3_z,Prespecified alternative predictor,2.534584373637358,OLS beta per signature unit,2.534584373637358,-1.655558048064064,6.72472679533878,conventional 95% CI,0.2329684685361925,0.2839277893550579,,,0.0140557008197733,0.145367063276069,,estimated,No statistical support at the recorded threshold; not proof of no effect.,sensitivity,CONTEXT_ONLY,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/sensitivity_analysis.csv,7,-2.1327251238571714,7.201893871131888,,,,,,,
E0017,2.0,TCGA,clinically defined TNBC,103,HRD_total,REC8_z,Prespecified alternative predictor,3.0173025285667183,OLS beta per signature unit,3.0173025285667183,-1.5201986887545331,7.55480374588797,conventional 95% CI,0.1901112661620946,0.2363875928869288,,,0.0169367414183426,0.1542657423309069,,estimated,No statistical support at the recorded threshold; not proof of no effect.,sensitivity,CONTEXT_ONLY,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/sensitivity_analysis.csv,8,-2.007699595045594,8.04230465217903,,,,,,,
E0018,2.0,TCGA,clinically defined TNBC,103,HRD_total,candidate_mean_z,Exploratory candidate conditional on HORMAD1,12.497899836214682,OLS beta per signature unit,12.497899836214682,4.137127441465962,20.8586722309634,conventional 95% CI,0.0037769061238257,0.0064944834997552,,,0.1764724373544858,0.3538653107356274,,estimated,Association detected; scope limited to this model.,sensitivity,EXPLORATORY_SUPPORT,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/sensitivity_analysis.csv,9,3.5788533667565368,21.416946305672827,,,,,,,
