analysis_id,stage,cohort,population,N,endpoint,predictor,analysis_type,beta,effect_measure,effect,ci_low,ci_high,ci_type,p,robust_p,adjusted_p,fdr,r_squared,spearman_rho,events,status,interpretation,primary_secondary,supports_main_claim,limitation,source_output,source_row,robust_ci_low,robust_ci_high,robust_adjusted_p,omitted_gene,AUC,seed,iterations,percentile,tested_dependencies
E0042,2,TCGA,clinically defined TNBC,102,aneuploidy,candidate_mean_z,Secondary outcome,-2.1827728264434154,OLS beta per signature unit,-2.1827728264434154,-4.656437930543092,0.290892277656261,conventional 95% CI,0.083070374132419,0.0844212425462131,,0.1107604988432253,0.0297368974199953,-0.1905607605692013,,estimated,No statistical support at the recorded threshold; not proof of no effect.,secondary/exploratory,NO_SUPPORT_AT_THRESHOLD,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/secondary_outcomes.csv,3,-4.667428425225798,0.301882772338967,,,,,,,
E0045,2,TCGA,clinically defined TNBC,100,ploidy,candidate_mean_z,Secondary outcome,-0.0526175171837651,OLS beta per signature unit,-0.0526175171837651,-0.3716010186066867,0.2663659842391565,conventional 95% CI,0.7441049500956578,0.7191730780162863,,0.7441049500956578,0.0010922235625294,-0.0439383711083047,,estimated,No statistical support at the recorded threshold; not proof of no effect.,secondary/exploratory,NO_SUPPORT_AT_THRESHOLD,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/secondary_outcomes.csv,6,-0.3421825934413039,0.2369475590737736,,,,,,,
E0046,2,TCGA,clinically defined TNBC,100,WGD,candidate_mean_z,Secondary outcome,-0.1480756533696421,odds ratio per predictor SD,0.8623658715900867,0.5763782354813228,1.2902549935153274,conventional 95% CI,0.4713358781773118,,,0.538669575059785,0.0038959135653303,,,estimated,No statistical support at the recorded threshold; not proof of no effect.,secondary/exploratory,NO_SUPPORT_AT_THRESHOLD,Observational; endpoint-specific complete cases; no causal or clinical utility inference.,outputs/v2/stage2/secondary_outcomes.csv,7,,,,,,,,,
E0086,4,SCAN-B,clinically defined TNBC,225,HRDetect_probability,candidate_mean_z,proliferation,0.075726787161104,OLS beta per signature unit,0.075726787161104,-0.0492669173536412,0.2007204916758493,conventional 95% CI,0.2337745371630358,0.275496949933034,,,0.1362009646593825,0.2774673409186684,,estimated,No statistical support at the recorded threshold; not proof of no effect.,sensitivity,NO_SUPPORT_AT_THRESHOLD,Observational; endpoint-specific complete cases; no causal or clinical utility inference. Proliferation attenuation; BRCA/purity unavailable; correlated genomic endpoints.,outputs/v2/stage4/scanb_adjusted_results.csv,0,-0.0607873455230932,0.2122409198453014,,,,,,,
E0088,4,SCAN-B,clinically defined TNBC,225,HRDetect_probability,candidate_mean_z,age + proliferation,0.0740119682907071,OLS beta per signature unit,0.0740119682907071,-0.0438815704017168,0.1919055069831312,conventional 95% CI,0.217320581725918,0.2705772047793344,,,0.2350699770582214,0.2774673409186684,,estimated,No statistical support at the recorded threshold; not proof of no effect.,sensitivity,NO_SUPPORT_AT_THRESHOLD,Observational; endpoint-specific complete cases; no causal or clinical utility inference. Proliferation attenuation; BRCA/purity unavailable; correlated genomic endpoints.,outputs/v2/stage4/scanb_adjusted_results.csv,2,-0.0580473331848246,0.206071269766239,,,,,,,
E0090,4,SCAN-B,clinically defined TNBC,225,HRDetect_probability,candidate_mean_z,previous Stage2/3 proliferation,0.0643513276248003,OLS beta per signature unit,0.0643513276248003,-0.0583856340609311,0.1870882893105318,conventional 95% CI,0.3026124438074816,0.3532923328957077,,,0.1534654285999755,0.2774673409186684,,estimated,No statistical support at the recorded threshold; not proof of no effect.,sensitivity,NO_SUPPORT_AT_THRESHOLD,Observational; endpoint-specific complete cases; no causal or clinical utility inference. Proliferation attenuation; BRCA/purity unavailable; correlated genomic endpoints.,outputs/v2/stage4/scanb_adjusted_results.csv,4,-0.0719864904511723,0.200689145700773,,,,,,,
E0091,4,SCAN-B,clinically defined TNBC,225,HRDetect_probability,candidate_mean_z,PAM50 + proliferation,-0.0372253948387448,OLS beta per signature unit,-0.0372253948387448,-0.1619963440331943,0.0875455543557046,conventional 95% CI,0.5571495118103023,0.6021165615017897,,,0.2368073697612317,0.2774673409186684,,estimated,No statistical support at the recorded threshold; not proof of no effect.,sensitivity,NO_SUPPORT_AT_THRESHOLD,Observational; endpoint-specific complete cases; no causal or clinical utility inference. Proliferation attenuation; BRCA/purity unavailable; correlated genomic endpoints.,outputs/v2/stage4/scanb_adjusted_results.csv,5,-0.1777363205072165,0.1032855308297268,,,,,,,
E0095,4,SCAN-B,clinically defined TNBC,225,scarHRD_score,candidate_mean_z,proliferation,1.1908592998794598,OLS beta per signature unit,1.1908592998794598,-5.256261232275883,7.637979832034802,conventional 95% CI,0.7161948024912931,0.7631035775447719,,,0.2677917230536129,0.3052387630038308,,estimated,No statistical support at the recorded threshold; not proof of no effect.,sensitivity,NO_SUPPORT_AT_THRESHOLD,Observational; endpoint-specific complete cases; no causal or clinical utility inference. Proliferation attenuation; BRCA/purity unavailable; correlated genomic endpoints.,outputs/v2/stage4/scanb_adjusted_results.csv,9,-6.585827084457779,8.967545684216699,,,,,,,
E0097,4,SCAN-B,clinically defined TNBC,225,scarHRD_score,candidate_mean_z,age + proliferation,1.1293531568044524,OLS beta per signature unit,1.1293531568044524,-5.151221078254012,7.409927391862916,conventional 95% CI,0.7233956080078016,0.7710456324838542,,,0.3083171216990468,0.3052387630038308,,estimated,No statistical support at the recorded threshold; not proof of no effect.,sensitivity,NO_SUPPORT_AT_THRESHOLD,Observational; endpoint-specific complete cases; no causal or clinical utility inference. Proliferation attenuation; BRCA/purity unavailable; correlated genomic endpoints.,outputs/v2/stage4/scanb_adjusted_results.csv,11,-6.509455558130424,8.768161871739329,,,,,,,
E0099,4,SCAN-B,clinically defined TNBC,225,scarHRD_score,candidate_mean_z,previous Stage2/3 proliferation,0.5849094793622854,OLS beta per signature unit,0.5849094793622854,-5.675003405299332,6.844822364023903,conventional 95% CI,0.8540735853207377,0.8753432300653002,,,0.2983877542156625,0.3052387630038308,,estimated,No statistical support at the recorded threshold; not proof of no effect.,sensitivity,NO_SUPPORT_AT_THRESHOLD,Observational; endpoint-specific complete cases; no causal or clinical utility inference. Proliferation attenuation; BRCA/purity unavailable; correlated genomic endpoints.,outputs/v2/stage4/scanb_adjusted_results.csv,13,-6.754404595423371,7.924223554147942,,,,,,,
