patient_id,sample_id,expression_sample_id,predictor_role,n_genes_scored,predictor_status,candidate_mean_z,candidate_median_z,HORMAD1_z,STAG3_z,REC8_z
TCGA-A1-A0SK,TCGA-A1-A0SK-01,TCGA-A1-A0SK-01A|507952aa-23c0-4239-ae19-04d8f862acc2,expression_predictor,9,complete,1.1564854420598791,1.0248792820628496,-1.2578605714406594,2.182163605868775,-0.9129974308341876
TCGA-A1-A0SP,TCGA-A1-A0SP-01,TCGA-A1-A0SP-01A-11R-A084-07,expression_predictor,9,complete,0.04248287896719918,-0.23287352758422164,-0.23287352758422164,-0.6163425440479671,-1.147603349072218
TCGA-A2-A0CM,TCGA-A2-A0CM-01,TCGA-A2-A0CM-01A|8fb0660c-fb39-47f0-8450-1f7abff3b656,expression_predictor,9,complete,0.3762959159065514,0.47281657864869275,0.8197503229707249,-0.6509071137570429,1.0182141381546737
TCGA-A2-A0D0,TCGA-A2-A0D0-01,TCGA-A2-A0D0-01A|d2a12641-a25f-4aab-99a4-433cf664ae73,expression_predictor,9,complete,-0.6082079401928617,-0.7199547483856693,-1.3204975210462855,-1.0071655209489137,0.7074891034488354
TCGA-A2-A0D2,TCGA-A2-A0D2-01,TCGA-A2-A0D2-01A|64bfe46f-8152-4c70-b69d-ea412a4dfcff,expression_predictor,9,complete,-0.128826532291063,-0.21795677425329715,1.0152903586503261,0.2455685578986348,0.0675225965414498
TCGA-A2-A0SX,TCGA-A2-A0SX-01,TCGA-A2-A0SX-01A|6e112ec6-1791-4764-8a62-7ad4dfea2d3b,expression_predictor,9,complete,0.6784632708226362,0.706955699663478,-0.6937257941183331,-0.16288216264263103,0.706955699663478
TCGA-A2-A0T0,TCGA-A2-A0T0-01,TCGA-A2-A0T0-01A|bbd09e9b-84ba-458f-a595-b03069b843dd,expression_predictor,9,complete,-0.735166142372427,-0.8686955704956424,0.5444071072753044,-0.6118997536432103,-1.456926745269337
TCGA-A2-A0T2,TCGA-A2-A0T2-01,TCGA-A2-A0T2-01A|54600389-6de5-44ce-ada1-8a8508b50980,expression_predictor,9,complete,-0.32045648016801753,-0.4888105230150044,0.2883257636837097,-0.7271280129075478,-1.5421825032850773
TCGA-A2-A0YE,TCGA-A2-A0YE-01,TCGA-A2-A0YE-01A|c94fb480-7f46-4c24-bcb1-26f66a57c45a,expression_predictor,9,complete,0.12743329160854233,0.07942283111261933,0.8718575456364049,0.07942283111261933,-0.6465652244495211
TCGA-A2-A1G6,TCGA-A2-A1G6-01,TCGA-A2-A1G6-01A|0c3ddae2-366f-4b21-ab46-a2cfe1963e42,expression_predictor,9,complete,-0.03911399173541105,-0.060459064773794716,-1.2739367724671695,-0.10493473856148922,-0.060459064773794716
TCGA-A2-A3XT,TCGA-A2-A3XT-01,TCGA-A2-A3XT-01A-11R-A22U-07,expression_predictor,9,complete,0.41973799305945647,0.24127851772541106,0.24127851772541106,-0.5432267323226235,0.9857093246992725
TCGA-A2-A3XX,TCGA-A2-A3XX-01,TCGA-A2-A3XX-01A|c0f6d246-c872-41a5-8135-2bdbdb1f924f,expression_predictor,9,complete,0.6115264440082684,0.8233388870081825,0.8233388870081825,2.106830275716889,0.322672608624071
TCGA-A2-A3XY,TCGA-A2-A3XY-01,TCGA-A2-A3XY-01A|fc9fab5b-52f0-4c79-bdf3-750c650a0fdc,expression_predictor,9,complete,0.4867090369697098,0.35522966023361685,0.8973475100395003,0.000621868155448555,1.5811708428529323
TCGA-A7-A0DA,TCGA-A7-A0DA-01,TCGA-A7-A0DA-01A|3293a2fa-d57c-448e-a336-a92def5dd92a,expression_predictor,9,complete,0.018218843386774798,0.04110488228077041,0.6036214765748233,-0.3717212878820144,0.21849997975373528
TCGA-A7-A26G,TCGA-A7-A26G-01,TCGA-A7-A26G-01A|cd417f4e-c065-4e73-a7c7-955b2fe71add,expression_predictor,9,complete,-0.31488630557874364,-0.18261462619512756,1.1156066350908131,-0.18261462619512756,-1.2072167280018178
