model,outcome,predictor,N,status,reason,beta,se,ci_low,ci_high,p,r_squared,hc3_se,hc3_ci_low,hc3_ci_high,hc3_p,spearman_rho,spearman_p,pearson_r,pearson_p,vif,coefficient_stability_warning,breusch_pagan_p,shapiro_residual_p,reset_quadratic_p,cooks_threshold,influential_n,gene,fdr,incremental_r_squared,incremental_f_p
Canonical single gene,HRD_total,BRCA1_expr_z,103,estimated,,-3.7398206711017843,2.221603913974696,-8.146885231384674,0.6672438891811052,0.09538866239393376,0.02729163587485628,2.376459852000928,-8.454077756628193,0.9744364144246238,0.1186856196503911,-0.17388678034564847,0.07898104938457867,-0.16520180348548363,0.09538866239393416,{'BRCA1_expr_z': 1.0},False,0.8819876963797134,0.06812710906586925,0.005766806107386396,0.038834951456310676,6,BRCA1,0.1240052611121139,,
Candidate beyond canonical BRCA1,HRD_total,candidate_mean_z,103,estimated,,17.94943311840009,3.827277579500779,10.356223407469692,25.54264282933049,8.673365542473223e-06,0.20266458532487852,3.8258276604581543,10.359100005554318,25.539766231245864,8.611864135403273e-06,0.3538653107356274,0.00024550761780329974,0.38016405826091193,7.465452030491522e-05,"{'candidate_mean_z': 1.0367812980155122, 'BRCA1_expr_z': 1.0367812980155122}",False,0.11636136238803865,0.3348105217793731,0.9760065477650267,0.038834951456310676,8,BRCA1,0.0001127537520521519,0.17537294945002224,8.673365542473308e-06
Canonical single gene,HRD_total,BRCA2_expr_z,103,estimated,,6.2689217893254146,2.2182912529298706,1.8684286574591953,10.669414921191635,0.0056816280106056945,0.07327847874355853,2.3065927394097208,1.693262261128261,10.844581317522568,0.0077343693902611945,0.24332394203219576,0.013261309955895985,0.2706999792086406,0.005681628010605709,{'BRCA2_expr_z': 1.0},False,0.08171579646195008,0.004121432192659034,0.6928359312235564,0.038834951456310676,7,BRCA2,0.024620388045958008,,
Candidate beyond canonical BRCA2,HRD_total,candidate_mean_z,103,estimated,,13.62028423414812,4.230805259833797,5.226487098530965,22.01408136976527,0.0017332233376020593,0.16030431253914001,4.428046482234768,4.83516613102325,22.40540233727299,0.002706769897812967,0.3538653107356274,0.00024550761780329974,0.38016405826091193,7.465452030491522e-05,"{'candidate_mean_z': 1.2030188568095574, 'BRCA2_expr_z': 1.203018856809558}",False,0.9543336099430509,0.02092752612626311,0.30997404209236223,0.038834951456310676,4,BRCA2,0.0021250926114141882,0.08702583379558149,0.0017332233376020423
Canonical single gene,HRD_total,PALB2_expr_z,103,estimated,,4.989679910020041,2.2724063553111233,0.4818369718358202,9.497522848204262,0.030397112054282846,0.045561694682023646,2.3762797985850224,0.2757800020369414,9.703579818003142,0.03823940400234556,0.15003612327397778,0.13035754636799593,0.21345185565373662,0.03039711205428308,{'PALB2_expr_z': 1.0},False,0.1918498844366025,0.005678294767943624,0.9099462014740769,0.038834951456310676,5,PALB2,0.06586040945094616,,
Candidate beyond canonical PALB2,HRD_total,candidate_mean_z,103,estimated,,15.059959838812846,4.381985193446262,6.366226020747455,23.753693656878237,0.0008589687880649208,0.14638643743604796,4.624713253011621,5.884660463841236,24.235259213784456,0.001540992170777126,0.3538653107356274,0.00024550761780329974,0.38016405826091193,7.465452030491522e-05,"{'candidate_mean_z': 1.2694885585760698, 'PALB2_expr_z': 1.2694885585760693}",False,0.9057134870730472,0.012695164894855462,0.488754099770745,0.038834951456310676,6,PALB2,0.0013958242806054962,0.10082474275402431,0.0008589687880649128
Canonical single gene,HRD_total,RAD51_expr_z,103,estimated,,4.449235943663584,2.3669330096284864,-0.24612244928900928,9.144594336616178,0.06302469223197545,0.033802098079297904,2.6347836502441258,-0.777466069220937,9.675937956548106,0.09437116582171406,0.13189819843504266,0.18414700117093055,0.18385346904341487,0.06302469223197553,{'RAD51_expr_z': 1.0},False,0.40487049698291633,0.015572148866231648,0.7766890890383117,0.038834951456310676,9,RAD51,0.09103566655729786,,
Candidate beyond canonical RAD51,HRD_total,candidate_mean_z,103,estimated,,15.184470552469765,3.8996777026117906,7.447621059354873,22.921320045584658,0.00017830311322661598,0.16100607591226868,4.2046749308856155,6.842515245253523,23.526425859686007,0.00047836869264305344,0.3538653107356274,0.00024550761780329974,0.38016405826091193,7.465452030491522e-05,"{'candidate_mean_z': 1.0229323214139658, 'RAD51_expr_z': 1.0229323214139656}",False,0.6896921351898291,0.01942212687810662,0.2579149291237168,0.038834951456310676,7,RAD51,0.0004635880943892015,0.12720397783297077,0.00017830311322661734
Canonical single gene,HRD_total,RAD51B_expr_z,103,estimated,,1.7493725736401862,2.1861098074548257,-2.587281227119524,6.086026374399896,0.4254605611877139,0.006300202507584118,2.6010443098589486,-3.41039966370536,6.909144810985732,0.502759601392325,0.11779763724135807,0.2359952367075564,0.07937381499955966,0.42546056118771364,{'RAD51B_expr_z': 1.0},False,0.12811303755449113,0.004461939636662643,0.4301999737194451,0.038834951456310676,5,RAD51B,0.46091560795335673,,
Candidate beyond canonical RAD51B,HRD_total,candidate_mean_z,103,estimated,,15.944615084021597,3.9658148525016688,8.076551369213753,23.81267879882944,0.00011276694387218786,0.1445755800942523,4.397800277200912,7.219504590225085,24.66972557781811,0.00045564886637913647,0.3538653107356274,0.00024550761780329974,0.38016405826091193,7.465452030491522e-05,"{'candidate_mean_z': 1.0376037010923764, 'RAD51B_expr_z': 1.0376037010923767}",False,0.8814866511674826,0.014665451504659479,0.5293931677904111,0.038834951456310676,6,RAD51B,0.00036649256758461055,0.1382753775866682,0.00011276694387218737
