iteration,genes,beta,abs_t,mean_matching_distance,max_matching_distance
1,CEMIP;CYP2C18;FAM166B;PTPN22;HBA2;CYP2J2;GUCY2C;GPR21;ZNF781,0.6874121474686611,0.1245896667228344,0.03157897817761763,0.060943362054718515
2,A2ML1;NCR2;LAMC3;KLRB1;TMEM71;TNS4;CHKB;CTXND1;ADAMTS6,3.2386808530659974,0.6368409249989162,0.031007781268463472,0.04434384421990981
3,CPA4;MALRD1;NAP1L2;ZNF502;EFR3B;EPHB6;SETSIP;LLCFC1;RAD9B,8.206454546501892,1.546340908094937,0.03261578553144406,0.06788448764442408
4,EDIL3;RAX;SLC19A3;STON1;CH25H;CCN5;SLC18A2;CNTN6;CCDC87,-3.135158834494025,0.6641873396981561,0.030853346857987837,0.04988220711512283
5,PPP1R1A;HOXD12;MKRN3;PTGER2;DYNC1I1;BATF2;TMEM155;TOGARAM2;NPIPB11,11.05389831287234,2.0178720480127033,0.02739826717322636,0.06715489709312301
6,SHC4;TDGF1;CD8B;SAMD12;RIPOR2;HPN;TMEM249;TMEM244;LINC00672,3.6267130182965,0.676861087463195,0.031307553612012484,0.05011711015723675
7,F2RL2;OR4C6;SCN4B;PLCE1;CD3G;FST;AC021087.5;PKHD1L1;AC068831.6,3.2839312346913037,0.6478132328405003,0.032451667821987155,0.05817184465084257
8,MYBL1;ELMOD1;SLC22A3;FAM24B;DHDH;RAB36;TSKS;CNTNAP3B;CBARP,10.902667708383612,2.146041491006069,0.03115294129473754,0.048609721824998724
9,TNFRSF19;TCF23;PCBP3;ASIC1;BLACAT1;SHC4;PGAM4;GABRB2;RNF112,8.516445152789332,1.737473773753636,0.03672629515548826,0.06685875831765516
10,RERG;APOL5;EIF5AL1;RFX3;CCNP;PLA2G2A;AC008687.4;CFAP57;MRPL46,6.751776459803379,1.2848081649618472,0.030674273418890802,0.0528025906598395
11,AHNAK2;KCNT1;SIK1;SETBP1;CX3CR1;ATP6V1C2;GET4;DPEP3;SLC25A34,3.3392912389313225,0.5938933559107586,0.025917645770794154,0.05300284316540802
12,CAPN6;PRB2;LYPD6;SACS;LDHD;MYCL;KCNRG;CNTN2;C11orf94,10.123885078480038,1.7936675502977175,0.02654595657184998,0.05473283289226659
13,LAG3;STH;HCAR2;ARHGAP15;DNAJC6;PCDH18;AC000093.1;PPFIA2;PINLYP,-1.0115914536679926,0.20131541282202767,0.033011995258566525,0.07016421633229138
14,AGT;DACH2;IQCA1;CNTLN;MEOX1;CCDC8;ANKRD55;CDH8;TOMM20L,-2.74603688756339,0.6300741573823033,0.026715375860997263,0.047988845132601765
15,ART3;NPIPB13;GLYATL1;COX4I2;C1QTNF3;PRR36;DNAH10;MTTP;MRPL38,3.7681563564872316,0.7288700294951385,0.020837278644455202,0.04000080034271241
16,TUBB2B;HEMGN;TMEM130;C9orf116;DUOXA1;FAM107A;FLACC1;RAB6C;TOMM5,6.906087334443519,1.3409389754345322,0.029102341866797846,0.0484900903209074
17,HPN;KCNJ1;FAM166B;PAQR5;ACY3;SCNN1B;ARL6IP4;UTS2R;NEK5,4.417232827243577,0.7695415747138185,0.027791004048773365,0.054415694202660854
18,CCL28;CTXND2;ESRRG;PLXDC1;CLPSL2;IRS1;NAIP;TOGARAM2;RANGRF,-9.710637509972724,1.6298973434208723,0.024304713854236264,0.043628671425562926
19,SOX8;CRB1;OR2B6;KLRB1;PRKCQ;HOXB2;PGAM4;MTRNR2L3;AC068831.6,12.936332263899732,2.0049434335163108,0.023824110932449648,0.05125816090940697
20,SPATC1L;FAM217A;PLCH2;PAQR5;TESC;FERMT1;PMFBP1;RNASEH2A;ADAMTS6,7.603082833503504,1.3579130564225206,0.03019930688254606,0.05554077472211284
21,TRPV4;CYP2C18;HPX;ZNF354C;TMEM71;GPC3;DCDC2B;P2RX6;RNF112,3.8216387397608043,0.7243656236494995,0.02969788754715594,0.06525412315433622
22,EGFL6;TREML4;HCAR2;FCGR1A;TMEM63C;P3H2;SLC4A5;TMPRSS12;GRID2IP,9.547422634960471,1.6686853107508806,0.03506771194813371,0.0574130829752893
23,ZNF469;SPATA22;ZBED9;SLIT2;KCNIP3;NMU;C3orf49;MCF2;ATP2A1,4.595661701999394,1.0060189734882983,0.027670784438993914,0.0692463822320167
24,MUC5B;ABCB5;ZNF334;ADORA3;XCL2;IRS1;FBXO24;CFAP221;SYPL2,-8.827243045352663,1.6053638813863707,0.029019311317077277,0.04725951717343468
25,CCL13;C12orf42;NMNAT2;F2RL3;CXXC4;EGFL6;PMFBP1;ASPDH;IL10,-0.15916716925976243,0.030049308880516896,0.03116631777322331,0.04902529847592484
26,ACKR1;STMN4;ST6GAL2;BMERB1;PRSS27;ART3;AC000093.1;SLC14A2;GLIPR1L2,-4.570751287824708,0.8957095673025972,0.032165379311651324,0.04781374868902744
27,LOXL4;LGALS9C;SSTR2;MSX1;LYPD6B;TGFB2;JAKMIP3;DNAJB13;LINC00672,-6.245406959744148,1.1481692808836745,0.027977736077921183,0.0685263618491914
28,CLIC3;TENT5D;STAP1;TMEM154;MAL;TRPV4;OR1L8;CCDC166;GLIPR1L2,-0.23058949476854956,0.04700107115444133,0.028425112448594334,0.058047408267561273
29,GPR27;GNAT1;LILRA4;PCDHB9;DOC2B;CA12;A3GALT2;CR1L;NPIPB4,11.70989794764614,2.468674985822989,0.027905002853138468,0.047369021921201966
30,BNIPL;HAVCR1;TLR10;RIN1;ARSL;FRMD3;FAM47E;DPEP3;WDR73,2.9173844528863624,0.5050643973320932,0.021951070299637603,0.037047851698726805
31,FRZB;TEKT1;MGAT5B;RFX3;ERICH2;LMOD1;LRRC63;ASPDH;NDUFA13,3.424318745700929,0.7216421934991243,0.03436105385291236,0.07051120237917698
32,CXCL8;ANKFN1;IGSF10;RFX3;PRIMA1;NMU;HINT2;CNTN6;RAB43,10.991216113224391,2.2219954222765486,0.027124127024435247,0.047715193569017385
33,EPHB6;TMEM272;CHL1;USP49;B4GALNT1;SCNN1B;RSPH14;GALR2;ALPK2,5.377508196928297,1.0975352596255876,0.03380175768907187,0.06988905524087242
34,IL12RB2;NLRP14;ATP1B2;COX4I2;CDH2;ZNF469;MGAM;CNTNAP3B;CNTD1,4.742229910715741,1.002257422101131,0.022699163464804963,0.0369699238984085
35,CAPN6;SMIM32;KCNK15;ADCY7;ICOS;EDIL3;AL365205.1;IZUMO1;SPATA12,4.731715894789379,0.8632399710875397,0.022626199857153376,0.04791097424835279
36,SCNN1B;ANKRD63;LILRA4;NTM;STON2;TSPAN2;SERPINC1;VSTM1;NEK5,-0.30846026889753175,0.06034550470127641,0.021855279745148084,0.04006774944711655
37,IL12RB2;AL845331.1;GPR158;ZNF597;TDO2;IGF2BP2;SPNS1;CDRT15;GCNA,8.555627798867718,1.653564258550891,0.03063120703665043,0.05424907862113574
38,SLC4A11;NLRP14;CELSR3;ZNF502;BEND5;CNIH2;PGAM4;CTAGE15;SAMD3,3.327475232621821,0.6121623175844284,0.027538804239786784,0.04510492268085962
39,NMU;SMIM2;UBXN10;SHOX2;SDK2;TGFBR3;KCNRG;RP1L1;C11orf94,6.572618324220095,1.2202659138401695,0.02384958598903817,0.05502295571674532
40,IGF2BP2;FLG;LRP4;PAQR5;PNMA3;TGFB2;TTC9B;WDR38;C5orf63,6.091559445767603,1.260375136839741,0.030654385531457898,0.054415694202660854
41,FBXO2;PCDHA5;KCNAB1;RNFT2;ATP2C2;KANK4;TAX1BP3;NUTM2A;GTF2IRD2,14.389605005807455,2.8970483178087623,0.030381631644662954,0.05163081653724227
42,WNK2;ERVFRD-1;CSPG5;RNF43;CHST6;LRRN2;RHOF;TMPRSS12;ARPC1B,16.771022096469256,3.461504453771543,0.02527862490324552,0.0601920799337653
43,DIO2;MAG;MAST1;GDPD3;RIPPLY3;GALNT14;LEXM;KCNJ9;CDHR3,9.198016221683577,1.6122891645407635,0.019932062518266513,0.04572854675738045
44,TGFBR3;SMIM2;SLC52A1;RNFT2;CLEC4E;ISM1;TMEM249;CRYBA4;ALPK2,16.550822706633404,2.9195682210632077,0.03069301363866645,0.060644517457680805
45,SPATC1L;ABCB5;NKX3-2;GPR132;IL1R2;FOXA1;TEX38;GPR45;RNF112,1.9269128129733426,0.34319346194400546,0.033917874991782025,0.05554077472211284
46,SLC4A11;LMX1A;SH3RF2;NBPF3;PLCB1;GLB1L2;CACNA1F;RXFP1;FILIP1,-6.087612065947967,1.2049036672498143,0.02633100477966975,0.04630216103013782
47,CNIH2;NLRP9;H3C8;MAP9;TMEM108;PAQR6;C6orf58;RFPL2;SAMD3,8.612105040509448,1.5119580294143422,0.025725234416755487,0.04772274827200744
48,GSDMC;MLN;VWDE;GDPD3;TESC;ITGA11;RAB40A;CFAP57;ZC3H12B,-0.6667764463932294,0.1135484821364836,0.030662182013875845,0.058135188778980086
49,P3H2;OR4C6;LSAMP;ARHGAP22;FAM189A2;MATN2;C2orf50;LIPI;ALPK2,12.053618413007182,2.312922814607237,0.02747936550032159,0.06575364171364163
50,ACBD7;NUTM1;KCNAB1;ZNF528;ZNF727;SGPP2;CDRT15;SLC46A2;MYH3,11.217889576755054,2.304301652504112,0.03184391828698495,0.07175050254232344
51,EPHB6;LACRT;IQCA1;MAML3;RGL3;B4GALNT3;MYCBPAP;C6orf58;RPP21,1.5923990564492847,0.3326608368382807,0.030769704191224267,0.06988905524087242
52,DSG3;HOXD12;CSPG5;TMEM229B;FOXL1;DCHS1;ARL17B;RP1L1;NPIPB3,12.049209447920857,2.352359012467591,0.025624896307237917,0.0364461951364827
53,HPDL;H4C6;APOBEC3A;PPARG;ERICH5;TDRD5;TUBB1;SCN9A;C5orf63,12.956257710860996,2.1586006253795693,0.02906106597921569,0.056900305041149034
54,NMU;FGF8;SSTR2;ZNF860;CLEC4E;CXCR3;LIPI;TEX53;DGKG,13.342792517579328,2.646025371824783,0.028532856216017945,0.04493498320071847
55,GRB14;LGALS9B;PTPRD;MAPK12;MEOX1;MYBL1;LYG2;PTTG2;CFAP69,11.781701766657163,2.1527753366649374,0.030273220080969474,0.06953718669670697
56,IL33;LGALS9B;GPRASP1;RTKN2;AKR1C1;ST6GALNAC5;KLHL4;GALR2;PLA2G10,4.8600162924967645,0.957113158547475,0.030356255811998103,0.06242349177847538
57,EDN2;AL845331.1;H1-4;ARHGAP42;PRIMA1;MT1M;ERAS;NME9;KIF17,12.024820405709729,2.0218270871463395,0.0322824129435095,0.04791257361687549
58,CCN5;TENT5D;MPP2;MSX1;ERICH5;DMKN;NME9;CDRT15;ZNF442,-2.556235469572577,0.47313147498043234,0.03310857933646232,0.06613236198953902
59,LAG3;TMEM215;NRG2;ZNF528;C2orf88;FAM107A;KLHL4;CDHR5;C20orf204,4.758365959727548,0.8533133287516249,0.0324444557412952,0.07016421633229138
60,APLP1;TAS2R40;NAP1L2;SACS;OXTR;NUPR2;ZNF80;SLC14A2;C20orf204,4.685825301993556,0.9360372051563353,0.030681603249275505,0.05473283289226659
61,ROPN1;ANKFN1;PIEZO2;MCOLN2;LAX1;MEDAG;ASAH2;IL2;NBPF10,6.784317818042593,1.305998889803317,0.03165044649431113,0.06773994890714662
62,GJB3;CCDC144A;PDE1C;PARVG;CNGA1;COBL;ASAH2;GUCY2D;ALPK2,7.266432850190915,1.4904019553650856,0.01829573491192637,0.041469459575039176
63,IL12RB2;TAS2R50;DPEP1;PAIP2B;C1QTNF3;ZNF711;FAM47E;NLRP12;ZNF781,-2.017906474477682,0.40013250184849203,0.02788742609768698,0.05119455192824732
64,MAPK8IP2;STMN4;HYAL1;ZMYND15;TESC;FBXO27;CEBPE;CTXND1;CFAP69,-3.1836080281335777,0.5274239176897846,0.023345689477752105,0.04786278640920779
65,CA9;C12orf42;CNNM1;DAPK2;XCL2;CD36;PCDHGC5;WNT3A;ALPK2,2.4057963105912283,0.3949604866457384,0.023040012857922284,0.060849329400388064
66,TSPAN1;LIPJ;TP73;FAM24B;SIM2;AADAT;FKBP2;HES7;AC004706.3,5.185504132460988,1.116581378899873,0.03585794913694221,0.056239639170982174
67,NMU;LACRT;FAM155B;PLA2G4C;PLPP4;HPN;CHTF8;KRT39;FMC1,4.906865288304837,0.7875489427524021,0.02586731348792865,0.04363633496185394
68,GJB3;LRRTM4;BTNL9;POPDC2;BVES;CCL28;SPATA9;MCF2L2;FMC1,-3.376143090403748,0.6145790325656205,0.02825306790699228,0.04933031502976561
69,OBP2B;HSPB2;DMRTA1;MAP9;CCL3L3;SPATC1L;GPS2;FETUB;ZGLP1,10.369831535545526,1.8865931505596156,0.02601826873475576,0.05388544904481415
70,CT83;FGF8;AMPH;NCF1;BEND5;OLFM4;MGAM;GLYAT;FOXF1,5.426875503860766,0.867835033073661,0.034672185143549555,0.0683353858203454
71,ARFGEF3;HBD;RAB39B;FOXS1;LRRC10B;BOC;COQ8A;CNTN2;AATK,4.599255483778058,0.9706396610208803,0.030399498134366328,0.06781271906108641
72,CT83;TSHB;PNMA6A;NOSTRIN;IL20RA;EDIL3;GALR2;CXCR5;RASA4B,8.196281709383245,1.4582807929288601,0.028174668764233468,0.0683353858203454
73,NUPR2;H1-7;TTPA;HPSE;DOC2B;SLC5A1;AC008687.4;AL391650.1;LRP11,8.292713384970131,1.7367421966878018,0.0294658388474186,0.04876075038002914
74,CCL28;NOTCH2NLR;SLC52A1;ZNF667;IGSF21;DPT;ANKRD55;RXFP4;KCNMB3,0.16157901623999651,0.028779638742558133,0.02863610954255272,0.040120481680768545
75,OLFM4;FRMD7;EIF5AL1;PGAP1;GPR173;IRS1;TMEM249;AL451007.3;ALG1L2,8.624322496185997,1.4541318951229727,0.026172328527711453,0.044937812394686506
76,RORC;CYP3A4;P2RY2;NLRC3;PLD4;WNK2;IZUMO1;NPPA;FAM71F2,3.332476922790093,0.6612684902420151,0.03158496917724439,0.07297944920178495
77,MAP2;NUTM1;PLCH2;OSGIN1;TGM5;PCSK1N;ANKRD55;CDH8;MFSD14A,6.464125355503545,1.2634346367100695,0.028174175664992203,0.048160412178792016
78,NPY1R;TEX55;IGSF10;YPEL1;ACY3;ARL9;AL391987.2;CTAGE15;ASNS,18.99047548956532,3.912436666130119,0.024585543065448138,0.050085512643715024
79,MYBL1;NFILZ;GLYATL1;CPNE5;PDCD1;XYLT1;FBXO24;ANGPTL8;TAF10,1.9695050251242554,0.35347960920396315,0.0336029501077899,0.04515593794028597
80,CEMIP;WDR49;MTCL1;ADAMTS10;ATP2C2;SCNN1A;GRIK1;H2BE1;CCDC87,-0.47121462834218736,0.09015736256365514,0.031225682298173383,0.060943362054718515
81,IL33;WFIKKN2;RASSF9;PRRT3;ULBP1;AGT;CEBPE;PTGDR2;SRCAP,0.8338461758875834,0.1641812541073997,0.03301003511152839,0.06242349177847538
82,ARFGEF3;NUTM2E;CST2;ZNF69;PRSS27;B3GNT3;TEX53;LIPI;ERFL,6.7818851430768134,1.2487876557274937,0.03115939158861007,0.06781271906108641
83,KLK10;ANKFN1;MAST1;WASF3;C4orf19;GASK1A;PCDHGC5;AP001453.3;PLCXD2,14.711141358541747,2.326517762806578,0.024969643424381738,0.03953396003981543
84,C6orf141;NPIPB13;PHEX;ATF7IP2;PTGFR;ISM1;EPX;FGF14;SAMD14,4.037446289988678,0.7643135785376792,0.029072206711829238,0.0715767199755066
85,AGT;HBA1;SCG2;OSGIN1;GATA2;MT1M;GALR2;GPHA2;BEST1,-6.8460557314184785,1.301217398013328,0.028111948499054944,0.04583977120207938
86,BBOX1;LMX1A;PARP15;TSTD2;ADAMTSL3;FERMT1;EFCAB12;RAB6C;AATK,6.810704272914339,1.3359559151323213,0.03264892511822372,0.0657465430508642
87,NXPH4;SPINK4;GPIHBP1;HAGHL;TIMP4;A2ML1;TMEM249;HES7;PPP1R36,-1.8929076967158829,0.34549257530373756,0.03363812301365164,0.05123889276946965
88,CCL4L2;APOL5;KCNK15;NOSTRIN;CDH2;MAP2;DLEU7;ACOD1;OVOL3,-0.08378719195849299,0.014316779350987468,0.03187531766966044,0.07301130027292299
89,CCR7;ANGPTL5;KLHDC8A;HAGHL;KCNIP3;CST6;SLC26A8;CLDN18;FMC1,3.9629775400632794,0.6889523979778719,0.030863331213629233,0.045219645336418354
90,IGF2BP2;RP1;CNTN4;PGAP1;PLA1A;CAVIN3;KCNN2;OR52N4;EIF3CL,5.1800252792639165,0.9161051580679977,0.028166427808557794,0.05118349474170968
91,IL12RB2;TEX55;FAM167A;ZNF667;SNPH;ISM1;PRC1;UROC1;NPHP1,13.49301699637093,3.024888419158775,0.02409377953855187,0.040120481680768545
92,SLC4A11;WDR49;IGSF10;MAP2K6;ZNF683;FMO2;OPRL1;SLC9C1;TAF10,-0.6367301027190944,0.1371982080991436,0.03278797816100967,0.055519605118177585
93,BOC;FRMD7;F5;MAP2K6;H4C5;MYB;KLRK1;PPFIA2;AC093512.2,2.1855498887022415,0.4358473677694401,0.03310424338125412,0.06376997132349789
94,TSPAN1;FRMD1;IGSF10;GRIP1;PLPP4;FAM107A;GCNT7;SMIM6;FMC1,2.8612437738542975,0.49962389004434116,0.036749495414450495,0.056239639170982174
95,BBOX1;CCL16;SH3RF2;BMERB1;RGL3;LGR6;ZNF670-ZNF695;SKOR1;CFAP92,-1.3959867983134555,0.25602855136308406,0.033420332700317815,0.0657465430508642
96,DMKN;ZNF534;MYO3B;FBLN7;SULT4A1;MYB;ZNF670-ZNF695;MYBPHL;PLA2G10,4.136541243670652,0.8010389795992409,0.027941173485096935,0.050981834946123954
97,OBP2B;PCDHA5;PHEX;HPSE;S1PR5;SMKR1;TEX53;DNAH7;CDHR3,9.321278434755275,1.7841630356445006,0.03248706530376323,0.05388544904481415
98,FOSB;KCNH1;EPHA3;SPIRE2;TIMP4;C15orf48;ANXA13;IL2;NBPF10,-6.0637119838814355,1.061962182767648,0.028831384382696074,0.04820317239696266
99,BATF2;CDH16;SIGLEC12;GDPD3;ATP2C2;CST1;KCNRG;MYBPHL;TOMM5,6.544861829142204,1.1080425568253347,0.029797154524982786,0.05228150238404661
100,LIPH;H4C13;CAPN9;ST8SIA1;GRIN2D;EPHB6;TSKS;CEACAM3;GDF9,0.3294492938328237,0.05295266663014767,0.028616738262145884,0.061616539830680835
101,MAB21L4;DMRTC2;KBTBD11;CYP2S1;NEURL3;SHC4;GNG3;AL021997.2;ERFL,6.025254656573532,1.2049615879920261,0.034751592082175514,0.06981061634936957
102,SMOC1;TRHDE;UPK2;MSX1;ACY3;IL12RB2;FAM47E;VSTM1;CFAP92,7.461820370724927,1.1596221528382766,0.02703024056460151,0.056125348641934754
103,CTSW;DMRTC2;PGM5;CD163L1;SERHL2;IGF2BP2;LMOD3;MCF2L2;NOS2,-1.1167161739434082,0.17208135937813718,0.029826936214066915,0.056513708352706554
104,CTSW;NAT8;GNMT;KIAA0895;TMEM71;LRRN2;AL391650.1;C6orf58;TIGD7,9.918730463150952,1.9746049700555954,0.033885109597402575,0.056513708352706554
105,HOXB2;SLC45A2;BHLHE22;HHAT;CNGA1;ACKR1;CDRT4;RGPD2;PFDN5,-9.649580541352089,1.8940139972842818,0.03179628781422641,0.06158965445629357
106,CNIH2;NPIPB13;DRAXIN;ACTRT3;SORCS2;AREG;LRRC37A;CDH20;WBP2NL,12.06299803161175,2.4418031950595296,0.028890172603006206,0.04405008376702648
107,GSDMC;STH;GNMT;FBLN7;KYNU;PTK6;SETSIP;MTRNR2L6;PIH1D2,-12.464727714583997,2.1498652287818714,0.028740563124859744,0.058135188778980086
108,B4GALNT3;NAT16;LAMC3;BRSK1;ZAP70;TGFBR3;RHOF;MCF2;MRPL38,9.561083744386389,2.100177468236992,0.027324994989532635,0.05052104703829345
109,CXCR3;TGM7;PPEF1;N4BP2L1;EFR3B;ROPN1B;RNF212B;GPR21;GPR35,1.7504314127051501,0.3116698998254994,0.03555404483672368,0.06731681194575152
110,COBL;RGS8;CFB;INKA2;XCL2;IL12RB2;A3GALT2;TTLL9;FILIP1,5.809700916058845,1.2050415186234151,0.025005758044830646,0.0470353369700238
111,FBXO2;BTNL2;TFR2;MAP9;KCNQ3;CMBL;TEX53;CYP2A6;TIGD4,2.731949125602085,0.5410352134941893,0.021662589885577385,0.050001816761036634
112,GNLY;TUBA3E;SLC52A1;ARHGAP42;C16orf74;DPT;TTC9B;WFDC10B;C10orf143,-6.248250787393653,1.169104821163174,0.031215734259708774,0.0616271946138291
113,MYBL1;DMP1;SCG2;RTKN2;H4C5;GJB3;GRIK1;SLCO1C1;TAS2R20,4.269777949721785,0.7629759332937164,0.028556676394584923,0.04583977120207938
114,SPATC1L;C10orf67;PDE3A;TNFSF4;ZNF626;PCSK1N;OR52N4;MCF2;RSPH4A,1.8902853125848655,0.34544821115427693,0.027619621903367704,0.05554077472211284
115,C6orf141;H4C13;SRPK3;PCDHB14;DCLK1;ISM1;CTAGE4;TRPC3;CAMK1,2.3806071350607425,0.47633956183722925,0.03611330278342187,0.0715767199755066
116,ROPN1;MYH8;ZFHX4;ACTRT3;SIM2;PRF1;ENO4;BCL2L15;FMC1,9.013302401365621,1.3432053679357283,0.0360105367135584,0.06773994890714662
117,SGPP2;SH2D6;DPEP1;ZNF662;C16orf74;PRF1;COQ8A;LDHAL6A;ZNF665,13.572802357010923,2.3553374741862383,0.03522375307381615,0.061341676635406406
118,CXCL8;KCNH1;FAM131C;PARP8;PLAC8;ARFGEF3;AC008687.4;DUOXA2;TAS2R20,2.723743962373033,0.5018167139342666,0.027425366255894014,0.05264403685894358
119,CT83;NLRP9;WFDC1;ZNF860;PIP5K1B;TTC39A;RHOF;CNTNAP3B;TIGD4,15.357309719436248,2.9742072147502987,0.031802518368979654,0.0683353858203454
120,IGF2BP2;SERPINA10;PLCH2;ATL1;SORCS2;CCR7;OR52N4;GRIN3B;MRPL46,10.40936087788544,2.30609381571407,0.024156402814337525,0.040123216305450085
121,CCL28;NLRP10;WDR86;PRRT3;MMP28;ARFGEF3;AKNAD1;RGPD2;DGKG,-4.799445563858143,0.8322619825165161,0.02890768011369249,0.05264403685894358
122,TINCR;LACRT;CD8B;ZNF391;SERHL2;PRF1;SYT2;CDH20;ERFL,3.7782704791265527,0.7096099284484925,0.0305061911498312,0.0517996676342003
123,GRB14;CT55;KCNF1;OPN3;KCNJ11;ACKR1;TEX11;KCTD19;NOX1,8.007673394885618,1.4928218423280564,0.03010685623986967,0.06953718669670697
124,GPRIN2;AL845331.1;TNN;LDLRAD4;CHST6;PCDH18;SLC12A3;KCTD19;MRPL38,7.332890107551851,1.7781090293635438,0.027577760159215686,0.0466019807091556
125,KRT6A;SMIM2;TRAT1;GGTA1;DERL3;MYB;TAS2R10;SPRN;IZUMO4,-2.243504516602729,0.40628497396128266,0.025874568075113125,0.04185874281339149
126,AKT3;HBD;BHLHE22;ADAM28;CXXC4;ART3;AC099489.1;CDH20;EML6,7.332791126496563,1.3972561707648543,0.03467810595820451,0.051097166568523415
127,EPHB6;CSTL1;CELSR3;TBX15;SORCS2;MRC1;GRIK1;ZNF80;AP006621.6,-6.993259039697147,1.3593765989454705,0.032163142516741794,0.06988905524087242
128,EGFL6;TAS2R40;SLC9A2;CYP2S1;ADGRB2;HLA-G;APOBEC2;MTTP;CHMP4A,6.230174575359729,1.3013839329781653,0.030583725671409774,0.0574130829752893
129,FRMD3;FOXE1;LILRA4;CNTLN;ACY3;CAPN6;CACNA1F;PTGDR2;BEST1,8.910302202810888,1.8158410469249775,0.03031574214537342,0.051782249006715006
130,MAB21L4;SERPINA10;ATP1B2;PARP8;PNMA3;GAMT;TEX38;TTC16;RASA4B,-1.681189550362592,0.33438975960257533,0.028092680659256273,0.06981061634936957
131,CA12;NOTCH2NLR;RETN;ZNF662;KYNU;H3C10;SCN9A;GRIN3B;GJD3,5.511608005638091,0.9152442827695273,0.024053198384797473,0.045783355901652376
132,AKR1C3;IL5RA;FCRL3;FOXS1;PLPP4;MANEAL;PRR5-ARHGAP8;LIPI;CCDC17,6.548290998678291,1.1038014066219348,0.029848214669744536,0.04618597946173913
133,NRTN;POTEF;CELSR3;PLA2G4C;TNFSF15;SHC4;FBP2;GPR45;NPIPB4,14.961692136923032,3.2092263702177446,0.02588571595266755,0.04485868280830944
134,AHNAK2;HBA1;H4C4;CD28;IL6;GPR27;CYP2E1;TSPO2;EFCAB13,6.399871295031102,1.2657701396765302,0.02354991150752711,0.04253834557626352
135,COBL;TMEM272;TNNC2;ZNF713;CH25H;HSPA6;AKNAD1;POLN;ZNF781,8.617854755753733,1.6284478905880537,0.03407041904605237,0.0470353369700238
136,ROPN1B;FRMD1;MPP2;SLC11A1;SH2D1A;HLA-G;LRRC70;PCDHGC5;BEST1,11.054457213336676,2.030545310694449,0.02874791914238934,0.05214761987123972
137,HPN;PCDHGA8;SCN4B;IL1RAP;PNPLA3;REEP6;FAM47E;NUTM2A;TOMM5,-5.429515081445119,0.8749934611406003,0.029019816483954256,0.047758024217635336
138,ROPN1;C17orf98;HOXB6;STON1;SRSF12;ARL9;CHD1L;IL31RA;KLB,11.716543980576677,2.3856190965934654,0.03355502262364604,0.06773994890714662
