model,outcome,predictor,N,status,reason,beta,se,ci_low,ci_high,p,r_squared,hc3_se,hc3_ci_low,hc3_ci_high,hc3_p,spearman_rho,spearman_p,pearson_r,pearson_p,vif,coefficient_stability_warning,breusch_pagan_p,shapiro_residual_p,reset_quadratic_p,cooks_threshold,influential_n
Adjust Proliferation,HRD_total,candidate_mean_z,103,estimated,,12.887990434535991,3.901266697421643,5.147988420975389,20.627992448096595,0.0013254672264941883,0.20864411930200755,4.501069395264048,3.9579969517668037,21.817983917305177,0.0051080831695266785,0.3538653107356274,0.00024550761780329974,0.38016405826091193,7.465452030491522e-05,"{'candidate_mean_z': 1.0853947914703619, 'proliferation': 1.0853947914703617}",False,0.465879008971365,0.0524930302771735,0.1297271074298471,0.038834951456310676,5.0
Adjust Purity,HRD_total,candidate_mean_z,100,estimated,,16.08824398133062,4.156177176923697,7.839382773053423,24.33710518960782,0.000196649268798335,0.16458885961636105,4.570634222492851,7.016800265100024,25.159687697561218,0.0006592689903102735,0.3770611044688316,0.00011020437137289212,0.39819848795420837,4.079250120591679e-05,"{'candidate_mean_z': 1.0895231366005806, 'purity': 1.0895231366005806}",False,0.8021996259276574,0.02501223482945853,0.5078129582250379,0.04,6.0
Adjust BRCA1/2,HRD_total,candidate_mean_z,0,unavailable,fewer than 10 complete patients,,,,,,,,,,,,,,,,,,,,,
Adjust FGA,HRD_total,candidate_mean_z,102,estimated,,11.69648746738591,3.834674363333248,4.087661592144315,19.305313342627507,0.0029346916992996903,0.2506320562936778,4.463535077145105,2.8398655036609775,20.553109431110844,0.010164459460367078,0.3552019978832241,0.0002489211991293411,0.37861739684447937,8.714749938101972e-05,"{'candidate_mean_z': 1.094956110478994, 'FGA': 1.094956110478994}",False,0.4214343204924351,0.07882836816695987,0.28841010395078226,0.0392156862745098,7.0
Adjust PAM50,HRD_total,candidate_mean_z,80,estimated,,11.385254745971636,4.3826589647589005,2.652616134144891,20.11789335779838,0.011314967193534801,0.2777077997055353,4.970526972709996,1.4812635588769627,21.28924593306631,0.02483938269042088,0.357079655373514,0.0011481681574523205,0.3768999286097712,0.0005688395046276342,"{'candidate_mean_z': 1.1238374547233145, 'PAM50_Her2': 1.0855167841219993, 'PAM50_LumA': 1.010074979900958, 'PAM50_LumB': 1.004369875888647, 'PAM50_Normal': 1.0463768348756426}",False,0.06819778895136053,0.029188800695064507,0.7037331874230998,0.05,4.0
Prespecified alternative predictor,HRD_total,candidate_median_z,103,estimated,,14.928337191406008,3.835553503770109,7.319630792751976,22.53704359006004,0.00017842335650730733,0.13042280843250686,4.223316464666448,6.550413385451316,23.306260997360702,0.0006175453068656946,0.36550717112610315,0.00014677967152024624,0.36114098138055045,0.00017842335650730944,{'candidate_median_z': 1.0000000000000002},False,0.8458885585272136,0.03284968193570329,0.43144035468554254,0.038834951456310676,8.0
Prespecified alternative predictor,HRD_total,HORMAD1_z,103,estimated,,7.119835749865414,2.078989675791467,2.995679475319462,11.243992024411366,0.0008909124507058961,0.10404046966891023,2.046900024158866,3.059336712134841,11.180334787595989,0.0007458047204416943,0.29158530997813137,0.0028046413750498034,0.32255304938708984,0.0008909124507058833,{'HORMAD1_z': 0.9999999999999998},False,0.804476977717155,0.018088376439964828,0.549572480151679,0.038834951456310676,3.0
Prespecified alternative predictor,HRD_total,STAG3_z,103,estimated,,2.534584373637358,2.112253332537011,-1.655558048064064,6.72472679533878,0.23296846853619252,0.014055700819773365,2.3527935444402788,-2.1327251238571714,7.201893871131888,0.28392778935505797,0.14536706327606902,0.14289254807537655,0.11855674092928548,0.23296846853619324,{'STAG3_z': 0.9999999999999998},False,0.701701865478995,0.0023212686126854723,0.621658602768064,0.038834951456310676,4.0
Prespecified alternative predictor,HRD_total,REC8_z,103,estimated,,3.0173025285667183,2.28735711178662,-1.5201986887545331,7.55480374588797,0.1901112661620946,0.01693674141834267,2.5331066139025844,-2.007699595045594,8.04230465217903,0.2363875928869288,0.15426574233090698,0.1197442131416564,0.13014123642544206,0.19011126616209612,{'REC8_z': 1.0},False,0.7709468517881946,0.006497789387626067,0.38881336785903087,0.038834951456310676,5.0
Exploratory candidate conditional on HORMAD1,HRD_total,candidate_mean_z,103,estimated,,12.497899836214682,4.21415948616148,4.137127441465962,20.8586722309634,0.0037769061238257786,0.1764724373544858,4.495551668215428,3.5788533667565368,21.416946305672827,0.006494483499755221,0.3538653107356274,0.00024550761780329974,0.38016405826091193,7.465452030491522e-05,"{'candidate_mean_z': 1.2170042148348543, 'HORMAD1_expr_z': 1.2170042148348543}",False,0.6794825767557137,0.04727487714076298,0.4471755345279914,0.038834951456310676,4.0
