dependency,depmap_column,N,beta,se,ci_low,ci_high,p,N_adjusted,beta_adjusted,se_adjusted,ci_low_adjusted,ci_high_adjusted,p_adjusted,fdr,fdr_adjusted,stronger_dependency_high_signature,annotation
PIERCE1,PIERCE1 (138162),25,-0.13238400029603728,0.0413507911015652,-0.21792462900513807,-0.046843371586936494,0.003964567047879402,25,-0.1867962579908555,0.03463506164645941,-0.2586249795446429,-0.11496753643706806,2.044012209707143e-05,0.9996683886512429,0.36620522749113177,True,
TRAPPC14,TRAPPC14 (55262),25,-0.14158587758659116,0.0281897631176872,-0.19990084559590476,-0.08327090957727756,4.4102706104191216e-05,25,-0.1389681411386063,0.031216216147195133,-0.20370661108814472,-0.0742296711890679,0.00020009746626830204,0.7901440825626899,0.6572505001166208,True,
FCN3,FCN3 (8547),25,-0.12039764841951173,0.03505770681839088,-0.1929200404332155,-0.04787525640580795,0.002262404329385906,25,-0.15456018552692233,0.03398405094696343,-0.22503879352410772,-0.08408157752973694,0.0001581928900134218,0.9996683886512429,0.6572505001166208,True,
SYT1,SYT1 (6857),25,0.10367114077480558,0.038978943882244925,0.023037051866702907,0.18430522968290824,0.014000217965592646,25,0.151994696491016,0.03399923756731561,0.08148459337088973,0.22250479961114225,0.00019114463610151513,0.9996683886512429,0.6572505001166208,False,
CENPH,CENPH (64946),25,-0.21783352525702462,0.09486132428532623,-0.4140691256742933,-0.02159792483975595,0.031101700285235026,25,-0.3424318056482642,0.07956338846470211,-0.5074361741763949,-0.17742743712013354,0.00028720856338524964,0.9996683886512429,0.6572505001166208,True,
ADCK5,ADCK5 (203054),25,-0.19504197019866817,0.05643512295149551,-0.31178691678721365,-0.07829702361012271,0.0021458477455318903,25,-0.2431987336998973,0.05663581503459575,-0.36065422517893875,-0.1257432422208559,0.00029417430245881105,0.9996683886512429,0.6572505001166208,True,
LGALSL,LGALSL (29094),25,-0.10235127581624004,0.044236279174276215,-0.19386099138672785,-0.010841560245752238,0.02996732710316517,25,-0.16005792756951465,0.03729054453395933,-0.23739378356596819,-0.08272207157306112,0.00029553964920557254,0.9996683886512429,0.6572505001166208,True,
TOR1AIP1,TOR1AIP1 (26092),25,-0.09303939834137732,0.030369480343622097,-0.15586345497868265,-0.030215341704072016,0.005501735307753098,25,-0.12394080936509354,0.029027437595646792,-0.1841400304249699,-0.06374158830521719,0.00031217059764800033,0.9996683886512429,0.6572505001166208,True,
WASHC3,WASHC3 (51019),25,0.16198738971434148,0.06690053301134681,0.023593092959328654,0.3003816864693543,0.023757895298616962,25,0.2457491055884862,0.05799472628408989,0.1254754046674471,0.3660228065095253,0.0003378413521519952,0.9996683886512429,0.6572505001166208,False,
RIN3,RIN3 (79890),25,-0.11718688060441797,0.060309549533036425,-0.24194668922687787,0.007572928018041936,0.06434348251300068,25,-0.20159685380711925,0.04795678026774851,-0.30105312882779356,-0.10214057878644493,0.0003668511387121125,0.9996683886512429,0.6572505001166208,True,
SLC12A1,SLC12A1 (6557),25,0.10574765457231682,0.03572480041602723,0.03184527431100079,0.17965003483363284,0.00701716440283489,25,0.14058057020826928,0.03462449186236185,0.06877376904505532,0.21238737137148322,0.0005208594977747673,0.9996683886512429,0.7489206079999301,False,
WLS,WLS (79971),25,0.12007136105990526,0.04092761268113649,0.035406143610789434,0.2047365785090211,0.007461865319699685,25,0.16023074789105823,0.039589055826773266,0.07812807122816465,0.24233342455395182,0.0005373778373266974,0.9996683886512429,0.7489206079999301,False,
CFAP73,CFAP73 (387885),25,-0.14346035304876328,0.052155632032340846,-0.2513524981786803,-0.035568207918846295,0.011388001010646354,25,-0.19866266389085357,0.04914031698051165,-0.300573443825003,-0.09675188395670413,0.0005434230801517689,0.9996683886512429,0.7489206079999301,True,
PLEK,PLEK (5341),25,-0.1417715719228342,0.035825363264216356,-0.21588198228538208,-0.06766116156028633,0.0006254428948632557,25,-0.15570686079942397,0.038962356211381645,-0.23650984200829106,-0.07490387959055687,0.0006085470938119313,0.9996683886512429,0.7645452400324472,True,
SULF1,SULF1 (23213),25,0.10170619931307115,0.033947422049980906,0.031480606335271,0.1719317922908713,0.006450734552442831,25,0.13296575187592155,0.03344552380813558,0.06360398080828665,0.20232752294355644,0.0006401082049836296,0.9996683886512429,0.7645452400324472,False,
ANKRD6,ANKRD6 (22881),25,-0.11105711912673231,0.03536197283723489,-0.18420893335590965,-0.03790530489755496,0.004584058209764246,25,-0.13955445125139324,0.03590754017603666,-0.21402213175715706,-0.06508677074562942,0.0007951486729292479,0.9996683886512429,0.8051102663559447,True,
MMGT1,MMGT1 (93380),25,0.21697276456282305,0.1002999490644389,0.009486511606029396,0.4244590175196167,0.04115818571067398,25,0.3402613650432991,0.08794053730225829,0.15788385315513728,0.5226388769314609,0.0008292569475821369,0.9996683886512429,0.8051102663559447,False,
