gene,domain,endpoint,N,effect,effect_measure,ci_low,ci_high,p,fdr,support,note
composite,TCGA_HRD,HRD_total,103.0,16.002834430972655,linear regression coefficient per predictor unit,8.317696168049016,23.68797269389629,7.465452030491402e-05,,supports,Frozen TCGA discovery; not external replication
composite,TCGA_CIN,HRD_LOH,103.0,3.875274607359197,linear regression coefficient per predictor unit,1.4068927292466316,6.343656485471762,0.0023989301514027,0.0047978603028054,supports,Frozen TCGA result
composite,TCGA_CIN,LST,103.0,6.107254443115797,linear regression coefficient per predictor unit,2.6848080545210853,9.529700831710509,0.0006068988849504,0.0024275955398019,supports,Frozen TCGA result
composite,TCGA_CIN,TAI,103.0,6.020305380497664,linear regression coefficient per predictor unit,3.360551109489293,8.680059651506035,1.8941506965856187e-05,0.0001515320557268,supports,Frozen TCGA result
composite,TCGA_CIN,aneuploidy,102.0,-2.1827728264434154,linear regression coefficient per predictor unit,-4.656437930543092,0.290892277656261,0.083070374132419,0.1107604988432253,does_not_support,Frozen TCGA result
composite,TCGA_CIN,FGA,108.0,0.1446109088318806,linear regression coefficient per predictor unit,0.0580378318037374,0.2311839858600237,0.0012685853349993,0.0033828942266649,supports,Frozen TCGA result
composite,TCGA_CIN,LOH_fraction,102.0,0.0763069126605255,linear regression coefficient per predictor unit,0.0135756907086233,0.1390381346124277,0.0176280631654778,0.0282049010647645,supports,Frozen TCGA result
composite,TCGA_CIN,ploidy,100.0,-0.0526175171837651,linear regression coefficient per predictor unit,-0.3716010186066867,0.2663659842391565,0.7441049500956578,0.7441049500956578,does_not_support,Frozen TCGA result
composite,TCGA_CIN,WGD,100.0,-0.1480756533696421,linear regression coefficient per predictor unit,-0.5509911749705715,0.2548398682312872,0.4713358781773118,0.538669575059785,does_not_support,Frozen TCGA result
composite,METABRIC,altered_gene_fraction,258.0,0.11654864204074314,linear regression coefficient per predictor unit,0.050009408276861525,0.18308787580462477,0.0006570021754762334,0.0019710065264287,supports,Gene-weighted CNA proxy is not HRD scar
composite,METABRIC,altered_gene_fraction_adjusted,258.0,0.041968029727289066,linear regression coefficient per predictor unit,-0.02064049125789362,0.10457655071247175,0.18798936415717554,,does_not_support,Gene-weighted CNA proxy is not HRD scar
composite,METABRIC,OS,258.0,-0.017377826596715985,log hazard ratio per predictor SD,-0.19063160115358732,0.15587594796015533,0.8441486012883581,0.844148601288358,does_not_support,Gene-weighted CNA proxy is not HRD scar
composite,METABRIC,RFS,258.0,-0.11725315546893984,log hazard ratio per predictor SD,-0.32033508221615553,0.08582877127827583,0.25779341646495046,0.3866901246974257,does_not_support,Gene-weighted CNA proxy is not HRD scar
composite,METABRIC,HRD_scar,0.0,,linear regression coefficient per predictor unit,,,,,unavailable,No independent HRD scar table local
composite,GSE25066,pCR,112.0,-0.014232178972276686,linear regression coefficient per predictor unit,-0.4077065374783254,0.37924217953377204,0.9434829539735161,0.9434829539735161,does_not_support,GPL96 mapping unavailable; no gene coverage inferred
composite,GSE25066,DRFS,114.0,0.08600144609055174,log hazard ratio per predictor SD,-0.2535804861644436,0.42558337834554716,0.6196303682906579,0.9434829539735161,does_not_support,GPL96 mapping unavailable; no gene coverage inferred
composite,single_cell,malignant_vs_nonmalignant_combined,8.0,0.016924906896976427,paired mean difference in program z-score,-0.2723578816974581,0.2542422561292419,0.546875,0.546875,does_not_support,Paired donor/sample analysis; RNA specificity is not HRD
composite,DepMap,genome_wide_CRISPR,25.0,-0.1867962579908555,strongest genome-wide CRISPR gene-effect beta; negative means stronger dependency,,,2.044012209707143e-05,0.36620522749113177,does_not_support,Genome-wide screen; strongest dependency=PIERCE1; cohort=curated_TNBC
composite,drug,compound_wide_response,,,linear regression coefficient per predictor unit,,,,,unavailable,Drug response resources missing; not tested
HORMAD1,TCGA_HRD,HRD_total,103.0,7.119835749863233,linear regression coefficient per predictor unit,2.995679475317356,11.24399202440911,0.0008909124507087,0.0080182120563791,supports,Frozen TCGA discovery; not external replication
HORMAD1,TCGA_CIN,HRD_LOH,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
HORMAD1,TCGA_CIN,LST,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
HORMAD1,TCGA_CIN,TAI,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
HORMAD1,TCGA_CIN,aneuploidy,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
HORMAD1,TCGA_CIN,FGA,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
HORMAD1,TCGA_CIN,LOH_fraction,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
