model,outcome,predictor,N,status,reason,beta,se,ci_low,ci_high,p,r_squared,hc3_se,hc3_ci_low,hc3_ci_high,hc3_p,spearman_rho,spearman_p,pearson_r,pearson_p,vif,coefficient_stability_warning,breusch_pagan_p,shapiro_residual_p,reset_quadratic_p,cooks_threshold,influential_n,component,endpoint,gene,validation_type,fdr,events,hazard_ratio,hr_ci_low,hr_ci_high,ph_diagnostic_log_time_spearman_p
METABRIC independent CNA proxy,altered_gene_fraction,candidate_mean_z,258,estimated,,0.11654864204074314,0.03378871477117796,0.050009408276861525,0.18308787580462477,0.0006570021754762334,0.04441214471547461,0.03241810771504594,0.05270850896547924,0.18038877511600704,0.0003888463572243809,0.223306778058725,0.0003001413099345125,0.2107418912211676,0.0006570021754762341,{'candidate_mean_z': 0.9999999999999998},False,0.6114902728601141,4.291074670238628e-06,0.14007833778415146,0.015503875968992248,10.0,METABRIC,altered_gene_fraction,composite,partial genomic replication; not HRD scar,0.0019710065264287,,,,,
,,,258,estimated,,-0.017377826596715985,0.08839640724190598,-0.19063160115358732,0.15587594796015533,0.8441486012883581,,,,,,,,,,,,,,,,,METABRIC,OS,composite,secondary clinical outcome,0.844148601288358,136.0,0.9827722969669486,0.826436990510949,1.1686812168082599,0.4026335279061628
,,,258,estimated,,-0.11725315546893984,0.10361513188461625,-0.32033508221615553,0.08582877127827583,0.25779341646495046,,,,,,,,,,,,,,,,,METABRIC,RFS,composite,secondary clinical outcome,0.3866901246974257,106.0,0.8893600183099994,0.7259057582065763,1.08961973813586,0.6287622037155112
CNA proxy adjusted for age/proliferation,altered_gene_fraction,candidate_mean_z,258,estimated,,0.041968029727289066,0.031791504397561385,-0.02064049125789362,0.10457655071247175,0.18798936415717554,0.2343836454658894,0.030618017051258696,-0.018329486838974902,0.10226554629355303,0.17167940257111444,0.223306778058725,0.0003001413099345125,0.2107418912211676,0.0006570021754762341,"{'candidate_mean_z': 1.0963064886851956, 'age': 1.0395307221907688, 'proliferation': 1.1355252096045862}",False,0.9308779996184728,0.004677722186594713,0.08000084325311134,0.015503875968992248,14.0,METABRIC,altered_gene_fraction_adjusted,composite,prespecified sensitivity,,,,,,
,,,0,unavailable,No independent HRD scar table local,,,,,,,,,,,,,,,,,,,,,,METABRIC,HRD_scar,composite,,,,,,,
Exploratory individual gene CNA,altered_gene_fraction,HORMAD1_z,258,estimated,,0.05039378323136956,0.014324221476729243,0.022185467887611006,0.07860209857512812,0.0005141810104710315,0.04611760452734304,0.013195422791762734,0.024408381664592475,0.07637918479814665,0.0001681576528112626,0.16279401273013053,0.00880174519281907,0.21475009785176585,0.0005141810104710325,{'HORMAD1_z': 1.0},False,0.000591405909569405,0.000229433322184227,0.26316425239793945,0.015503875968992248,6.0,METABRIC,altered_gene_fraction,HORMAD1,exploratory gene; not weight optimization,0.002313814547119642,,,,,
Exploratory individual gene CNA,altered_gene_fraction,HORMAD2_z,258,estimated,,-0.003862035924467915,0.014664416464291168,-0.032740288374623686,0.02501621652568785,0.7924841694891637,0.00027086034806611536,0.015001872758665187,-0.03340483224403418,0.025680760395098347,0.7970483113391764,-0.02239934679708501,0.7202799529287609,-0.016457835461145667,0.7924841694891613,{'HORMAD2_z': 1.0},False,0.1194152702291892,1.3384827287115902e-07,0.3997909538875609,0.015503875968992248,11.0,METABRIC,altered_gene_fraction,HORMAD2,exploratory gene; not weight optimization,0.8915446906753092,,,,,
Exploratory individual gene CNA,altered_gene_fraction,STAG3_z,258,estimated,,0.01647420714733726,0.014630215955733878,-0.012336695134303709,0.04528510942897823,0.26120311655749395,0.0049285805492873536,0.015269844889398799,-0.013596299692437922,0.04654471398711245,0.28166028446558566,0.06921724012880583,0.2679810617774615,0.07020384996057755,0.2612031165574935,{'STAG3_z': 1.0},False,0.45842985512098666,3.984295197105224e-07,0.47179778190649124,0.015503875968992248,11.0,METABRIC,altered_gene_fraction,STAG3,exploratory gene; not weight optimization,0.4701656098034891,,,,,
Exploratory individual gene CNA,altered_gene_fraction,REC8_z,258,estimated,,-0.001223732434744225,0.0146662034460533,-0.030105503941425447,0.027658039071936997,0.9335677359551926,2.719479290136384e-05,0.014745230353653849,-0.03026112956714339,0.02781366469765494,0.9339229569141301,0.020054304314840253,0.7485226919590324,-0.005214862692470264,0.933567735955193,{'REC8_z': 1.0},False,0.11286307398006608,1.0446357528877886e-07,0.4248936514874917,0.015503875968992248,12.0,METABRIC,altered_gene_fraction,REC8,exploratory gene; not weight optimization,0.9335677359551925,,,,,
Exploratory individual gene CNA,altered_gene_fraction,SMC1B_z,258,estimated,,0.05583442295724354,0.014245199404575472,0.027781723716883845,0.08388712219760325,0.00011394136507737126,0.05661309236909495,0.01352716934968798,0.029195721555961344,0.08247312435852575,4.9636837645750706e-05,0.25563293760712813,3.2473997280722304e-05,0.2379350591423947,0.00011394136507737118,{'SMC1B_z': 1.0000000000000002},False,0.12608471090206566,6.023119221030788e-06,0.21948433160981154,0.015503875968992248,5.0,METABRIC,altered_gene_fraction,SMC1B,exploratory gene; not weight optimization,0.0010254722856963413,,,,,
