resource_id,file_id,filename,size_bytes,url,expected_local_path,status,role
depmap_effect,51064667,CRISPRGeneEffect.csv,428678699,https://ndownloader.figshare.com/files/51064667,E:\apply\journal publication\TNBC_SV_DNA_Repair\TNBC-SV-DNA-Repair-v2-scaffold\TNBC-SV-DNA-Repair-v2\data\external\depmap_effect\CRISPRGeneEffect.csv,present,required within component or alternative drug resource
depmap_probability,51064631,CRISPRGeneDependency.csv,421115594,https://ndownloader.figshare.com/files/51064631,E:\apply\journal publication\TNBC_SV_DNA_Repair\TNBC-SV-DNA-Repair-v2-scaffold\TNBC-SV-DNA-Repair-v2\data\external\depmap_probability\CRISPRGeneDependency.csv,missing,optional probability sensitivity
depmap_model,51065297,Model.csv,645696,https://ndownloader.figshare.com/files/51065297,E:\apply\journal publication\TNBC_SV_DNA_Repair\TNBC-SV-DNA-Repair-v2-scaffold\TNBC-SV-DNA-Repair-v2\data\external\depmap_model\Model.csv,present,required within component or alternative drug resource
depmap_condition,51065300,ModelCondition.csv,219100,https://ndownloader.figshare.com/files/51065300,E:\apply\journal publication\TNBC_SV_DNA_Repair\TNBC-SV-DNA-Repair-v2-scaffold\TNBC-SV-DNA-Repair-v2\data\external\depmap_condition\ModelCondition.csv,present,required within component or alternative drug resource
depmap_profiles,51065723,OmicsProfiles.csv,254733,https://ndownloader.figshare.com/files/51065723,E:\apply\journal publication\TNBC_SV_DNA_Repair\TNBC-SV-DNA-Repair-v2-scaffold\TNBC-SV-DNA-Repair-v2\data\external\depmap_profiles\OmicsProfiles.csv,present,required within component or alternative drug resource
depmap_default,51065339,OmicsDefaultModelProfiles.csv,90080,https://ndownloader.figshare.com/files/51065339,E:\apply\journal publication\TNBC_SV_DNA_Repair\TNBC-SV-DNA-Repair-v2-scaffold\TNBC-SV-DNA-Repair-v2\data\external\depmap_default\OmicsDefaultModelProfiles.csv,present,required within component or alternative drug resource
depmap_expression,51065489,OmicsExpressionProteinCodingGenesTPMLogp1.csv,506628654,https://ndownloader.figshare.com/files/51065489,E:\apply\journal publication\TNBC_SV_DNA_Repair\TNBC-SV-DNA-Repair-v2-scaffold\TNBC-SV-DNA-Repair-v2\data\external\depmap_expression\OmicsExpressionProteinCodingGenesTPMLogp1.csv,present,required within component or alternative drug resource
depmap_readme,51065795,README.txt,43103,https://ndownloader.figshare.com/files/51065795,E:\apply\journal publication\TNBC_SV_DNA_Repair\TNBC-SV-DNA-Repair-v2-scaffold\TNBC-SV-DNA-Repair-v2\data\external\depmap_readme\README.txt,present,required within component or alternative drug resource
prism_response,20237739,secondary-screen-dose-response-curve-parameters.csv,264340589,https://ndownloader.figshare.com/files/20237739,E:\apply\journal publication\TNBC_SV_DNA_Repair\TNBC-SV-DNA-Repair-v2-scaffold\TNBC-SV-DNA-Repair-v2\data\external\prism_response\secondary-screen-dose-response-curve-parameters.csv,missing,required within component or alternative drug resource
prism_treatment,20237760,secondary-screen-replicate-treatment-info.csv,15690740,https://ndownloader.figshare.com/files/20237760,E:\apply\journal publication\TNBC_SV_DNA_Repair\TNBC-SV-DNA-Repair-v2-scaffold\TNBC-SV-DNA-Repair-v2\data\external\prism_treatment\secondary-screen-replicate-treatment-info.csv,missing,required within component or alternative drug resource
prism_models,20237769,secondary-screen-cell-line-info.csv,40979,https://ndownloader.figshare.com/files/20237769,E:\apply\journal publication\TNBC_SV_DNA_Repair\TNBC-SV-DNA-Repair-v2-scaffold\TNBC-SV-DNA-Repair-v2\data\external\prism_models\secondary-screen-cell-line-info.csv,missing,required within component or alternative drug resource
prism_readme,20238123,secondary-screen-readme.txt,7647,https://ndownloader.figshare.com/files/20238123,E:\apply\journal publication\TNBC_SV_DNA_Repair\TNBC-SV-DNA-Repair-v2-scaffold\TNBC-SV-DNA-Repair-v2\data\external\prism_readme\secondary-screen-readme.txt,missing,required within component or alternative drug resource
gdsc_response,GDSC2_fitted_dose_response_24Jul22.csv,GDSC2_fitted_dose_response_24Jul22.csv,39834719,https://ftp.sanger.ac.uk/pub/project/cancerrxgene/releases/current_release/GDSC2_fitted_dose_response_24Jul22.csv,E:\apply\journal publication\TNBC_SV_DNA_Repair\TNBC-SV-DNA-Repair-v2-scaffold\TNBC-SV-DNA-Repair-v2\data\external\gdsc_response\GDSC2_fitted_dose_response_24Jul22.csv,missing,required within component or alternative drug resource
gdsc_models,Cell_Lines_Details.xlsx,Cell_Lines_Details.xlsx,117316,https://ftp.sanger.ac.uk/pub/project/cancerrxgene/releases/current_release/Cell_Lines_Details.xlsx,E:\apply\journal publication\TNBC_SV_DNA_Repair\TNBC-SV-DNA-Repair-v2-scaffold\TNBC-SV-DNA-Repair-v2\data\external\gdsc_models\Cell_Lines_Details.xlsx,missing,required within component or alternative drug resource
gdsc_compounds,screened_compounds_rel_8.4.csv,screened_compounds_rel_8.4.csv,46414,https://ftp.sanger.ac.uk/pub/project/cancerrxgene/releases/current_release/screened_compounds_rel_8.4.csv,E:\apply\journal publication\TNBC_SV_DNA_Repair\TNBC-SV-DNA-Repair-v2-scaffold\TNBC-SV-DNA-Repair-v2\data\external\gdsc_compounds\screened_compounds_rel_8.4.csv,missing,required within component or alternative drug resource
gpl96,GPL96.annot.gz,GPL96.annot.gz,4522748,https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPLnnn/GPL96/annot/GPL96.annot.gz,E:\apply\journal publication\TNBC_SV_DNA_Repair\TNBC-SV-DNA-Repair-v2-scaffold\TNBC-SV-DNA-Repair-v2\data\external\gpl96\GPL96.annot.gz,present,required within component or alternative drug resource
