donor_sample_id,cell_class,subtype,n_cells,library_counts,HORMAD1,HORMAD2,STAG3,REC8,SMC1B,SYCP2,SYCP3,MSH4,MSH5
CID3586,immune,HER2+,5117,11952383.0,1.0,0.0,120.0,103.0,1.0,11.0,5.0,0.0,17.0
CID3586,normal_epithelial,HER2+,698,5433586.0,0.0,0.0,6.0,34.0,0.0,66.0,1.0,1.0,5.0
CID3586,stromal,HER2+,363,975445.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0
CID3838,immune,HER2+,1893,27401354.0,8.0,3.0,204.0,151.0,4.0,28.0,33.0,0.0,14.0
CID3838,stromal,HER2+,460,12931021.0,1.0,0.0,46.0,76.0,2.0,52.0,12.0,0.0,10.0
CID3921,immune,HER2+,2195,10352596.0,1.0,0.0,86.0,83.0,1.0,23.0,0.0,0.0,11.0
CID3921,malignant_epithelial,HER2+,441,13515331.0,0.0,0.0,8.0,24.0,5.0,725.0,1.0,0.0,17.0
CID3921,stromal,HER2+,388,2732398.0,0.0,0.0,2.0,12.0,0.0,5.0,0.0,0.0,2.0
CID3941,immune,ER+,358,724840.0,0.0,0.0,20.0,3.0,0.0,1.0,2.0,0.0,6.0
CID3941,malignant_epithelial,ER+,196,1430433.0,1.0,0.0,10.0,0.0,0.0,30.0,0.0,0.0,1.0
CID3941,stromal,ER+,77,362180.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0
CID3946,immune,TNBC,249,277519.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
CID3946,stromal,TNBC,525,802297.0,0.0,1.0,5.0,2.0,0.0,2.0,1.0,0.0,0.0
CID3948,immune,ER+,1904,3289188.0,0.0,0.0,23.0,26.0,1.0,3.0,4.0,1.0,2.0
CID3948,malignant_epithelial,ER+,261,2339114.0,0.0,0.0,2.0,5.0,0.0,79.0,0.0,0.0,3.0
CID3948,stromal,ER+,162,337533.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,2.0
CID3963,immune,TNBC,3151,10835757.0,3.0,0.0,72.0,133.0,4.0,31.0,8.0,0.0,12.0
CID3963,malignant_epithelial,TNBC,222,2853046.0,5.0,0.0,10.0,12.0,26.0,111.0,1.0,0.0,3.0
CID3963,normal_epithelial,TNBC,1,4595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID3963,stromal,TNBC,153,606448.0,0.0,0.0,1.0,9.0,0.0,6.0,0.0,0.0,0.0
CID4040,immune,ER+,1741,9654093.0,1.0,0.0,160.0,97.0,2.0,33.0,13.0,2.0,9.0
CID4040,stromal,ER+,790,13442315.0,1.0,0.0,35.0,56.0,4.0,68.0,9.0,1.0,6.0
CID4066,immune,HER2+,2430,5154639.0,0.0,0.0,43.0,65.0,3.0,22.0,1.0,0.0,7.0
CID4066,malignant_epithelial,HER2+,521,9781665.0,0.0,0.0,10.0,14.0,8.0,118.0,3.0,0.0,6.0
CID4066,normal_epithelial,HER2+,270,2657794.0,0.0,0.0,3.0,10.0,4.0,16.0,0.0,0.0,1.0
CID4066,stromal,HER2+,2088,10640476.0,0.0,0.0,6.0,33.0,1.0,15.0,7.0,1.0,6.0
CID4067,immune,ER+,1008,1842338.0,0.0,0.0,12.0,10.0,0.0,5.0,2.0,1.0,2.0
CID4067,malignant_epithelial,ER+,2352,11260042.0,0.0,0.0,26.0,17.0,22.0,61.0,19.0,2.0,27.0
CID4067,stromal,ER+,404,1168891.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0
CID4290A,immune,ER+,1000,1433072.0,1.0,0.0,10.0,7.0,1.0,4.0,2.0,0.0,10.0
CID4290A,malignant_epithelial,ER+,4053,30262485.0,0.0,0.0,35.0,33.0,1.0,982.0,7.0,2.0,60.0
CID4290A,normal_epithelial,ER+,18,130990.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CID4290A,stromal,ER+,718,1998555.0,0.0,1.0,4.0,8.0,0.0,5.0,1.0,1.0,1.0
CID4398,immune,ER+,4085,8013322.0,2.0,0.0,104.0,37.0,2.0,19.0,6.0,0.0,0.0
CID4398,stromal,ER+,366,1635984.0,0.0,0.0,3.0,1.0,2.0,5.0,4.0,0.0,0.0
CID44041,immune,TNBC,1023,2468196.0,0.0,0.0,36.0,32.0,1.0,6.0,3.0,0.0,4.0
CID44041,normal_epithelial,TNBC,151,1370666.0,0.0,0.0,3.0,7.0,0.0,47.0,5.0,0.0,3.0
