component,population,endpoint,gene,N,effect,ci_low,ci_high,p,status,reason,fdr
single_cell,TNBC,malignant_vs_nonmalignant_combined,composite,8,0.016924906896976427,-0.2723578816974581,0.2542422561292419,0.546875,estimated,,0.546875
single_cell,TNBC,malignant_vs_immune,composite,8,0.015075334019338547,-0.2805049169771395,0.2556145161111258,0.546875,estimated,,0.546875
single_cell,TNBC,malignant_vs_stromal,composite,8,0.26489546998801733,-0.03768584117626453,0.5403082256463942,0.1484375,estimated,,0.4453125
single_cell,TNBC,malignant_vs_normal_epithelial,composite,3,,,,,unavailable,fewer than 5 paired donor/sample units,
single_cell,TNBC,malignant_vs_nonmalignant_combined,HORMAD1,8,1.6954533996443382,0.604521374358565,2.967877321452582,0.03125,estimated,,0.087890625
single_cell,TNBC,malignant_vs_nonmalignant_combined,HORMAD2,8,0.012555381249973973,0.0,0.035839467875676274,0.5,estimated,,0.625
single_cell,TNBC,malignant_vs_nonmalignant_combined,STAG3,8,-1.32001381944281,-1.9202008474038001,-0.6731378040919116,0.015625,estimated,,0.0703125
single_cell,TNBC,malignant_vs_nonmalignant_combined,REC8,8,-1.9261485665651978,-2.494974262123013,-1.4024470898414683,0.0078125,estimated,,0.0703125
single_cell,TNBC,malignant_vs_nonmalignant_combined,SMC1B,8,1.207978470760851,0.3390992794444746,2.1428443521113434,0.078125,estimated,,0.140625
single_cell,TNBC,malignant_vs_nonmalignant_combined,SYCP2,8,1.5487886799071091,0.5385046960193739,2.4954266047345426,0.0390625,estimated,,0.087890625
single_cell,TNBC,malignant_vs_nonmalignant_combined,SYCP3,8,-0.21935098568401729,-0.4959615963791328,0.047611199290229646,0.296875,estimated,,0.4453125
single_cell,TNBC,malignant_vs_nonmalignant_combined,MSH4,8,-0.02727736378447435,-0.07799859879313037,0.018053361197331124,0.625,estimated,,0.625
single_cell,TNBC,malignant_vs_nonmalignant_combined,MSH5,8,0.1783652521849394,-0.19576274538747618,0.5809376415390215,0.578125,estimated,,0.625
single_cell,all_breast,malignant_vs_nonmalignant_combined,composite,20,-0.007226310222631076,-0.20061908476698948,0.17302145699278876,0.8123550415039062,estimated,,0.9854354858398438
single_cell,all_breast,malignant_vs_immune,composite,20,-0.016572996177913506,-0.2180074896993123,0.1823801808979375,0.9854354858398438,estimated,,0.9854354858398438
single_cell,all_breast,malignant_vs_stromal,composite,20,0.2529208047648974,0.043920378297834795,0.45582572714996406,0.029575347900390625,estimated,,0.109375
single_cell,all_breast,malignant_vs_normal_epithelial,composite,8,0.34250305489919275,0.10392769490887543,0.5672761875607406,0.0546875,estimated,,0.109375
single_cell,all_breast,malignant_vs_nonmalignant_combined,HORMAD1,20,0.649960193041241,0.10874624232044927,1.3189572587602694,0.12404279309009482,estimated,,0.22327702756217066
single_cell,all_breast,malignant_vs_nonmalignant_combined,HORMAD2,20,-0.018340211198528723,-0.05995891168043837,0.009678969825130048,0.4652088184521418,estimated,,0.46520881845214185
single_cell,all_breast,malignant_vs_nonmalignant_combined,STAG3,20,-1.1189096363645896,-1.4889561984123127,-0.7310667406543583,4.76837158203125e-05,estimated,,0.0001430511474609375
single_cell,all_breast,malignant_vs_nonmalignant_combined,REC8,20,-1.4441104976479382,-1.8290960952504511,-1.0376974805428312,9.5367431640625e-06,estimated,,8.58306884765625e-05
single_cell,all_breast,malignant_vs_nonmalignant_combined,SMC1B,20,0.5025341242759281,0.08415970700166957,0.997911040807902,0.20967491728457333,estimated,,0.31451237592686
single_cell,all_breast,malignant_vs_nonmalignant_combined,SYCP2,20,2.026134169235216,1.3881639132535002,2.639774386811519,1.9073486328125e-05,estimated,,8.58306884765625e-05
single_cell,all_breast,malignant_vs_nonmalignant_combined,SYCP3,20,-0.16444581956397636,-0.4957529159214259,0.18563010245246886,0.33413808059574546,estimated,,0.4296061036231013
single_cell,all_breast,malignant_vs_nonmalignant_combined,MSH4,20,-0.004561503134019207,-0.08968128703526736,0.08890192332618507,0.43276758066778476,estimated,,0.46520881845214185
single_cell,all_breast,malignant_vs_nonmalignant_combined,MSH5,20,0.19661648249884967,-0.15733897356199922,0.5180254176503557,0.11654426427752806,estimated,,0.22327702756217066
