model,outcome,predictor,N,status,reason,beta,se,ci_low,ci_high,p,r_squared,hc3_se,hc3_ci_low,hc3_ci_high,hc3_p,spearman_rho,spearman_p,pearson_r,pearson_p,vif,coefficient_stability_warning,breusch_pagan_p,shapiro_residual_p,reset_quadratic_p,cooks_threshold,influential_n,covariance,effect_scale
proliferation,HRDetect_probability,candidate_mean_z,225,estimated,,0.07572678716110408,0.06342580578509002,-0.04926691735364121,0.20072049167584938,0.2337745371630358,0.13620096465938258,0.06927163972107475,-0.06078734552309324,0.2122409198453014,0.27549694993303403,0.2774673409186684,2.4211728832191016e-05,0.2524896681067248,0.0001289446560722053,"{'candidate_mean_z': 1.376313126125864, 'proliferation_mean_z': 1.3763131261258643}",False,0.2663401246418675,1.5309340135145346e-10,0.048757138594874204,0.017777777777777778,9.0,,
age,HRDetect_probability,candidate_mean_z,225,estimated,,0.1693557317837993,0.0526197960422433,0.06565751058317153,0.2730539529844271,0.001481474418369593,0.20074618721167048,0.0574230311295705,0.05619173967511999,0.28251972389247865,0.0035262725021755746,0.2774673409186684,2.4211728832191016e-05,0.2524896681067248,0.0001289446560722053,"{'candidate_mean_z': 1.0237916517448344, 'age': 1.0237916517448344}",False,0.0006550677870857198,2.2563111772588385e-07,0.7849087244058424,0.017777777777777778,9.0,,
age + proliferation,HRDetect_probability,candidate_mean_z,225,estimated,,0.07401196829070719,0.05982147080177826,-0.04388157040171682,0.1919055069831312,0.21732058172591806,0.2350699770582214,0.0670094539102118,-0.05804733318482461,0.206071269766239,0.27057720477933445,0.2774673409186684,2.4211728832191016e-05,0.2524896681067248,0.0001289446560722053,"{'candidate_mean_z': 1.37635271939092, 'age': 1.0871929356841987, 'proliferation_mean_z': 1.4615453305009085}",False,0.038607241222537544,2.0679298682493564e-06,0.13592247910461344,0.017777777777777778,8.0,,
Same-complete-case unadjusted for age + proliferation,HRDetect_probability,candidate_mean_z,225,estimated,,0.21883717954010434,0.056159177905151916,0.10816659236821892,0.3295077667119898,0.00012894465607220443,0.06375103250064407,0.06174706538924112,0.09715477182556367,0.34051958725464504,0.0004798614621651824,0.2774673409186684,2.4211728832191016e-05,0.2524896681067248,0.0001289446560722053,{'candidate_mean_z': 1.0000000000000002},False,0.45383373995656084,5.187763474325699e-14,4.186199088124404e-05,0.017777777777777778,10.0,,
previous Stage2/3 proliferation,HRDetect_probability,candidate_mean_z,225,estimated,,0.06435132762480036,0.06228066225217682,-0.05838563406093111,0.18708828931053184,0.30261244380748165,0.15346542859997558,0.06918217204634869,-0.07198649045117231,0.20068914570077304,0.3532923328957077,0.2774673409186684,2.4211728832191016e-05,0.2524896681067248,0.0001289446560722053,"{'candidate_mean_z': 1.3541280202749655, 'previous_proliferation_mean_z': 1.3541280202749653}",False,0.5501324752466402,4.959580757157635e-10,0.23661741600012795,0.017777777777777778,10.0,,
PAM50 + proliferation,HRDetect_probability,candidate_mean_z,225,estimated,,-0.037225394838744846,0.0633112024367928,-0.16199634403319435,0.08754555435570467,0.5571495118103023,0.23680736976123173,0.07129797214024476,-0.17773632050721655,0.10328553082972686,0.6021165615017897,0.2774673409186684,2.4211728832191016e-05,0.2524896681067248,0.0001289446560722053,"{'candidate_mean_z': 1.5451271898484429, 'proliferation_mean_z': 1.6587318227735621, 'PAM50_nonBasal': 1.6795806949539565}",False,0.1193960144345649,2.2202361321314133e-13,0.6881045210801209,0.017777777777777778,16.0,,
Adjust BRCA1 alteration,HRDetect_probability,candidate_mean_z,0,unavailable,No patient-level BRCA1 alteration supplied in local inputs,,,,,,,,,,,,,,,,,,,,,,,
Adjust BRCA2 alteration,HRDetect_probability,candidate_mean_z,0,unavailable,No patient-level BRCA2 alteration supplied in local inputs,,,,,,,,,,,,,,,,,,,,,,,
Adjust tumor purity,HRDetect_probability,candidate_mean_z,0,unavailable,No patient-level tumor purity supplied in local inputs,,,,,,,,,,,,,,,,,,,,,,,
proliferation,scarHRD_score,candidate_mean_z,225,estimated,,1.1908592998794598,3.2714752821596083,-5.256261232275883,7.6379798320348025,0.7161948024912931,0.2677917230536129,3.946139545022771,-6.585827084457779,8.967545684216699,0.7631035775447719,0.30523876300383085,3.0878397076709763e-06,0.288190552067782,1.1214295148630474e-05,"{'candidate_mean_z': 1.376313126125864, 'proliferation_mean_z': 1.3763131261258643}",False,0.007847438205502403,0.01760056738143166,0.3504463993859014,0.017777777777777778,12.0,,
age,scarHRD_score,candidate_mean_z,225,estimated,,11.75295215191202,2.999483695625905,5.841847450803201,17.66405685302084,0.00011875043078918083,0.1725418719375078,3.208056754081267,5.430810982040912,18.07509332178313,0.00031107305025242286,0.30523876300383085,3.0878397076709763e-06,0.288190552067782,1.1214295148630474e-05,"{'candidate_mean_z': 1.0237916517448344, 'age': 1.0237916517448344}",False,0.14943906587488717,0.00718346607282776,0.1258146368328859,0.017777777777777778,9.0,,
age + proliferation,scarHRD_score,candidate_mean_z,225,estimated,,1.1293531568044524,3.186885323725502,-5.151221078254012,7.409927391862916,0.7233956080078016,0.3083171216990468,3.876079873156027,-6.509455558130424,8.768161871739329,0.7710456324838542,0.30523876300383085,3.0878397076709763e-06,0.288190552067782,1.1214295148630474e-05,"{'candidate_mean_z': 1.37635271939092, 'age': 1.0871929356841987, 'proliferation_mean_z': 1.4615453305009085}",False,0.010872962068481476,0.0783200219115627,0.2678089382379781,0.017777777777777778,5.0,,
Same-complete-case unadjusted for age + proliferation,scarHRD_score,candidate_mean_z,225,estimated,,13.993421847893854,3.113606211796663,7.857565866106857,20.129277829680852,1.121429514863037e-05,0.08305379430113291,3.319782950759024,7.451261827955049,20.53558186783266,3.6270371302501444e-05,0.30523876300383085,3.0878397076709763e-06,0.288190552067782,1.1214295148630474e-05,{'candidate_mean_z': 1.0000000000000002},False,0.7134552312961998,0.0007378006791221177,0.0016789858123641328,0.017777777777777778,9.0,,
previous Stage2/3 proliferation,scarHRD_score,candidate_mean_z,225,estimated,,0.5849094793622854,3.1764801307036414,-5.675003405299332,6.844822364023903,0.8540735853207377,0.29838775421566255,3.7242028381374865,-6.754404595423371,7.924223554147942,0.8753432300653002,0.30523876300383085,3.0878397076709763e-06,0.288190552067782,1.1214295148630474e-05,"{'candidate_mean_z': 1.3541280202749655, 'previous_proliferation_mean_z': 1.3541280202749653}",False,0.04039378647610094,0.023570357705271144,0.932628416896797,0.017777777777777778,11.0,,
PAM50 + proliferation,scarHRD_score,candidate_mean_z,225,estimated,,-3.9092925087121584,3.315475203393972,-10.443286055448567,2.6247010380242495,0.23962431365911518,0.3331452765746945,3.9720131160539593,-11.73716226363639,3.918577246212074,0.3260888426865317,0.30523876300383085,3.0878397076709763e-06,0.288190552067782,1.1214295148630474e-05,"{'candidate_mean_z': 1.5451271898484429, 'proliferation_mean_z': 1.6587318227735621, 'PAM50_nonBasal': 1.6795806949539565}",False,0.03280625000487847,0.09724353921566126,0.2531076906533766,0.017777777777777778,11.0,,
Adjust BRCA1 alteration,scarHRD_score,candidate_mean_z,0,unavailable,No patient-level BRCA1 alteration supplied in local inputs,,,,,,,,,,,,,,,,,,,,,,,
Adjust BRCA2 alteration,scarHRD_score,candidate_mean_z,0,unavailable,No patient-level BRCA2 alteration supplied in local inputs,,,,,,,,,,,,,,,,,,,,,,,
Adjust tumor purity,scarHRD_score,candidate_mean_z,0,unavailable,No patient-level tumor purity supplied in local inputs,,,,,,,,,,,,,,,,,,,,,,,
Fractional logit,HRDetect_probability,candidate_mean_z,225,estimated,,0.9901277644896079,0.30391690059285253,0.3944615850345772,1.5857939439446387,0.0011224399305683446,,,,,,,,,,,,,,,,,HC0 sandwich quasi-likelihood,logit conditional mean per signature unit; not binary-HRD OR
Fractional logit adjusted,HRDetect_probability,candidate_mean_z,225,estimated,,0.35724630282020325,0.33097537618566547,-0.29145351427329697,1.0059461199137034,0.28042091929296553,,,,,,,,,,,,,,,,,HC0 sandwich quasi-likelihood,logit conditional mean per signature unit; not binary-HRD OR
