model,outcome,predictor,N,status,reason,beta,se,ci_low,ci_high,p,r_squared,hc3_se,hc3_ci_low,hc3_ci_high,hc3_p,spearman_rho,spearman_p,pearson_r,pearson_p,vif,coefficient_stability_warning,breusch_pagan_p,shapiro_residual_p,reset_quadratic_p,cooks_threshold,influential_n,gene,fdr
Exploratory canonical gene,HRDetect_probability,BRCA1_comparison_z,225,estimated,,-0.12451248699546372,0.02935917675899583,-0.1823694117583023,-0.06665556223262514,3.26131775137344e-05,0.0746355943146757,0.025880178952760798,-0.17551349355672172,-0.07351148043420572,2.764035550209686e-06,-0.3964148756847872,6.931172251771285e-10,-0.2731951579268485,3.2613177513734216e-05,{'BRCA1_comparison_z': 0.9999999999999998},False,2.6933022410749388e-08,3.2238037745159284e-13,1.9768763207000705e-05,0.017777777777777778,6,BRCA1,0.0001059928269196368
Exploratory canonical gene,HRDetect_probability,BRCA2_comparison_z,225,estimated,,0.10430086807094349,0.02971026376001941,0.0457520705635053,0.16284966557838168,0.0005409115929494464,0.05237162214687441,0.027364899904958908,0.05037398286089758,0.1582277532809894,0.0001787296101185152,0.27975453013063634,2.0600678622525422e-05,0.2288484698373016,0.0005409115929494392,{'BRCA2_comparison_z': 1.0},False,0.0005718371348010088,1.2159494224589194e-14,0.5438216065377688,0.017777777777777778,5,BRCA2,0.001171975118057134
Exploratory canonical gene,HRDetect_probability,PALB2_comparison_z,225,estimated,,0.053493594827245555,0.03030925473239928,-0.006235609607371989,0.1132227992618631,0.0789449799248957,0.013776019465780998,0.031573661144470445,-0.008727323433456606,0.11571451308794772,0.09161435313920183,0.1588922668806068,0.017066024264963692,0.11737128893294554,0.07894497992489558,{'PALB2_comparison_z': 1.0},False,0.17736454243382227,1.3077467473139682e-17,0.8877687755109587,0.017777777777777778,6,PALB2,0.11403163766929378
Exploratory canonical gene,HRDetect_probability,RAD51_comparison_z,225,estimated,,0.11376045364738113,0.029554182177789472,0.05551923970858559,0.1720016675861767,0.00015478640578870084,0.06230211790979412,0.029386237235954002,0.05585020191314048,0.17167070538162177,0.00014226466128993133,0.30483986514959965,3.185450047237446e-06,0.24960392206412582,0.00015478640578870436,{'RAD51_comparison_z': 1.0},False,0.024399733999382445,5.695683124943397e-14,0.8221240728523429,0.017777777777777778,7,RAD51,0.00040244465505062215
Exploratory canonical gene,HRDetect_probability,RAD51B_comparison_z,225,estimated,,0.00941159479593585,0.03051369921513842,-0.05072049999058474,0.06954368958245645,0.7580367420382619,0.00042642889181443433,0.030428138928043438,-0.05055188984412945,0.06937507943600116,0.7573778508982618,0.01222713864306785,0.8552748247036719,0.02065015476490225,0.7580367420382613,{'RAD51B_comparison_z': 1.0},False,0.4241446675603271,9.71253173743365e-20,0.2804370352295444,0.017777777777777778,6,RAD51B,0.7580367420382619
Exploratory canonical gene,HRDetect_probability,RAD51C_comparison_z,225,estimated,,0.03777486303019345,0.03041519711845556,-0.022163117716838085,0.09771284377722499,0.2155510065029816,0.006869513422971818,0.031204824291206242,-0.02371920358053762,0.09926892964092451,0.22735107777888364,0.22476085124315215,0.0006833033865259267,0.08288252785099971,0.21555100650298248,{'RAD51C_comparison_z': 1.0000000000000002},False,0.004250772988602761,2.1735847200744474e-18,0.010899849687121778,0.017777777777777778,6,RAD51C,0.2802163084538761
Exploratory canonical gene,HRDetect_probability,RAD51D_comparison_z,225,estimated,,0.026347761619718413,0.030469165171095127,-0.03369657175384608,0.0863920949932829,0.3881133518290071,0.0033420091219856785,0.03121045174697258,-0.03515739478714529,0.08785291802658211,0.39946418589620625,0.06207227138643069,0.35403445303953707,0.0578101126273397,0.3881133518290047,{'RAD51D_comparison_z': 0.9999999999999998},False,0.9604167438681687,4.561544942725569e-19,0.2822605328573077,0.017777777777777778,7,RAD51D,0.420456131148091
Exploratory canonical gene,HRDetect_probability,BRIP1_comparison_z,225,estimated,,0.15160467960767599,0.02878221466837476,0.09488475035878163,0.20832460885657034,3.2559943241161546e-07,0.11064846509183346,0.027655796655286995,0.0971045361099184,0.20610482310543357,1.1351254456455247e-07,0.37650021070375056,5.474509302641583e-09,0.332638640407024,3.255994324116205e-07,{'BRIP1_comparison_z': 1.0},False,0.1788206133270609,1.3934327223828932e-11,0.08192845323029152,0.017777777777777778,5,BRIP1,4.232792621351001e-06
Exploratory canonical gene,HRDetect_probability,ATM_comparison_z,225,estimated,,0.028324569223627718,0.03046121103037803,-0.03170408925125688,0.08835322769851232,0.35345061806620515,0.003862307141035304,0.03037114652891268,-0.0315266028343911,0.08817574128164654,0.35202771894604845,-0.024176148335440375,0.7183423372867703,0.06214746286885153,0.3534506180662029,{'ATM_comparison_z': 1.0000000000000002},False,0.49589282492792675,9.612994021410225e-19,0.35277689937007783,0.017777777777777778,5,ATM,0.41771436680551516
Exploratory canonical gene,HRDetect_probability,CHEK2_comparison_z,225,estimated,,0.12467827518023555,0.029356021535553892,0.06682756828674627,0.18252898207372484,3.180252180659488e-05,0.07483448099312262,0.02847198740738495,0.0685696980631059,0.1807868522973652,1.8338276691728194e-05,0.3357964601769912,2.4762501675923446e-07,0.2735589168590975,3.180252180659503e-05,{'CHEK2_comparison_z': 1.0},False,0.053681675165421515,4.0018625421438414e-13,0.24466750548757005,0.017777777777777778,7,CHEK2,0.0001059928269196368
Exploratory canonical gene,HRDetect_probability,STAG2_comparison_z,225,estimated,,0.06691109602492884,0.030189507993839165,0.0074178715736854944,0.12640432047617217,0.027676488991856544,0.021553433681757772,0.030230580259287692,0.007336932145737579,0.1264852599041201,0.02788627605627582,0.1134629161399073,0.0895168732261976,0.14681087725968356,0.027676488991856596,{'STAG2_comparison_z': 0.9999999999999998},False,0.07811358114655535,8.347558166236687e-17,0.5987306115153233,0.017777777777777778,6,STAG2,0.044974294611766885
Exploratory canonical gene,HRDetect_probability,RAD21_comparison_z,225,estimated,,0.14522727643595051,0.028929306022562804,0.0882174802918642,0.20223707258003681,1.056069743350492e-06,0.10153518523036376,0.029580916232582403,0.08693337879251783,0.2035211740793832,1.7637946597722153e-06,0.39831647703329126,5.64846463163401e-10,0.3186458617813256,1.0560697433504726e-06,{'RAD21_comparison_z': 1.0},False,0.9279720098248868,4.999650308195682e-12,0.005001009060935089,0.017777777777777778,7,RAD21,6.864453331778198e-06
