model,outcome,predictor,N,status,reason,beta,se,ci_low,ci_high,p,r_squared,hc3_se,hc3_ci_low,hc3_ci_high,hc3_p,spearman_rho,spearman_p,pearson_r,pearson_p,vif,coefficient_stability_warning,breusch_pagan_p,shapiro_residual_p,reset_quadratic_p,cooks_threshold,influential_n,gene,fdr,excluded_patient_ids
Exploratory individual candidate,HRDetect_probability,HORMAD1_z,225,estimated,,0.19404951475765006,0.027615676497181375,0.1396284344089734,0.2484705951063267,2.5381470348875068e-11,0.18127808389526012,0.027839510267740862,0.13918733438328298,0.24891169513201714,3.532275938251675e-11,0.39617443188825835,7.112206953294655e-10,0.4257676407329003,2.5381470348874438e-11,{'HORMAD1_z': 1.0000000000000002},False,0.03504178072446327,2.7662932785814083e-08,0.37763808213697003,0.017777777777777778,7,HORMAD1,2.284332331398756e-10,
Exploratory individual candidate,HRDetect_probability,HORMAD2_z,225,estimated,,0.046925693760450964,0.030358005840859476,-0.012899582482904279,0.1067509700038062,0.12358442494263754,0.010600871837740278,0.03296332375408956,-0.01803377557443373,0.11188516309533567,0.15596776627396747,0.0972965097157604,0.14573223273490893,0.10296053534116936,0.12358442494263663,{'HORMAD2_z': 1.0},False,0.05767311845370571,8.128699378421819e-19,0.16912885835849487,0.017777777777777778,5,HORMAD2,0.23573616817717058,
Exploratory individual candidate,HRDetect_probability,STAG3_z,225,estimated,,0.03847971926519487,0.030411234618329907,-0.021450452745456747,0.09840989127584648,0.20707978626823362,0.007128267184644432,0.031110154741753045,-0.022827785949588092,0.09978722447997783,0.21743034036623232,0.07905710071639276,0.2375625826028976,0.08442906599414962,0.20707978626823564,{'STAG3_z': 1.0},False,0.19687173431044258,1.3953994515359961e-18,0.0035452269144671095,0.017777777777777778,6,STAG3,0.26624543948772894,
Exploratory individual candidate,HRDetect_probability,REC8_z,225,estimated,,0.046028592002079,0.030364164114462362,-0.013808820098335041,0.10586600410249303,0.13096453787620588,0.010199421982140189,0.03127806984029045,-0.015609816606296102,0.10766700061045409,0.1425405620707999,0.08882532659081332,0.184315421425428,0.10099218772826044,0.1309645378762065,{'REC8_z': 1.0},False,0.7200787353311751,5.26206634222159e-18,0.3912581050962016,0.017777777777777778,8,REC8,0.23573616817717058,
Exploratory individual candidate,HRDetect_probability,SMC1B_z,225,estimated,,0.04269441530873888,0.030386000087340322,-0.017186028047295653,0.10257485866477342,0.1613923718549207,0.008775307033072832,0.03179646904475421,-0.019965581337202193,0.10535441195467996,0.18072107279129854,0.15882194912751493,0.01711569310708733,0.09367660878294348,0.16139237185492017,{'SMC1B_z': 1.0000000000000002},False,0.13314458295205947,3.424507450206616e-18,0.09553123861594398,0.017777777777777778,6,SMC1B,0.24208855778238103,
Exploratory individual candidate,HRDetect_probability,SYCP2_z,225,estimated,,0.017561854022748145,0.03049754100750473,-0.0425383984471081,0.07766210649260438,0.5653006703769543,0.0014847758862810423,0.03153760515043908,-0.04458801017022431,0.0797117182157206,0.5781853389678887,0.061701432785503586,0.35692272771063016,0.03853278975471545,0.5653006703769555,{'SYCP2_z': 1.0},False,0.16793856913283942,2.0108694906034346e-19,0.0132617636648332,0.017777777777777778,2,SYCP2,0.5823917195893457,
Exploratory individual candidate,HRDetect_probability,SYCP3_z,225,estimated,,0.07880469711741898,0.030060517443642538,0.019565669049783588,0.13804372518505437,0.009356118044312559,0.029896778116801692,0.03143922269415919,0.016848711193503396,0.14076068304133457,0.012904309539611391,0.20929530915055586,0.0015941141571244983,0.1729068480911082,0.009356118044312488,{'SYCP3_z': 1.0000000000000002},False,0.4632931479792535,5.158624406622155e-16,0.05902340649488273,0.017777777777777778,5,SYCP3,0.04210253119940652,
Exploratory individual candidate,HRDetect_probability,MSH4_z,225,estimated,,0.016796011256601188,0.03049947543444171,-0.04330805330903249,0.07690007582223488,0.5823917195893457,0.0013581023289440664,0.034059801860603464,-0.05032424248424397,0.08391626499744634,0.6224038874535558,0.052742090257953296,0.43112204785319774,0.03685243993203227,0.5823917195893461,{'MSH4_z': 1.0},False,0.838624087016256,1.807097906324982e-19,0.0951725326806186,0.017777777777777778,7,MSH4,0.5823917195893457,
Exploratory individual candidate,HRDetect_probability,MSH5_z,225,estimated,,0.0632730541018767,0.03022466259143411,0.003710551927868337,0.12283555627588505,0.037441478143783,0.019273375173446627,0.028995457864315993,0.0061328952380637625,0.12041321296568963,0.030141425903086636,0.14958912768647284,0.02483367917826943,0.13882858197592654,0.037441478143783,{'MSH5_z': 1.0},False,0.16736095153643687,4.285908098822962e-17,0.6792038411537029,0.017777777777777778,4,MSH5,0.112324434431349,
Prespecified median signature,HRDetect_probability,candidate_median_z,225,estimated,,0.19487894366934724,0.050955285972757655,0.09446345276524883,0.2952944345734457,0.00017009367380803748,0.06155393236183604,0.05602399850290385,0.08447474899782222,0.3052831383408723,0.0006062246987076062,0.31183951509010954,1.8327204312392277e-06,0.2481006496602457,0.00017009367380804017,{'candidate_median_z': 0.9999999999999998},False,0.8957361543308404,4.349466843085146e-14,0.0004969792582420838,0.017777777777777778,8,composite_median,,
