model,outcome,predictor,N,status,reason,beta,se,ci_low,ci_high,p,r_squared,hc3_se,hc3_ci_low,hc3_ci_high,hc3_p,spearman_rho,spearman_p,pearson_r,pearson_p,vif,coefficient_stability_warning,breusch_pagan_p,shapiro_residual_p,reset_quadratic_p,cooks_threshold,influential_n,omitted_gene
Leave one gene out,HRDetect_probability,leave_one_out_score,225,estimated,,0.1551480355348236,0.05648014821670059,0.04384492534232294,0.26645114572732426,0.006506833503757953,0.03272983644936445,0.06074668422180572,0.035437037932139565,0.2748590331375076,0.01131569176129702,0.21101664559629163,0.0014548397760416497,0.1809138923614339,0.00650683350375799,{'leave_one_out_score': 1.0},False,0.7443288483791553,5.570874321833631e-16,0.0022368549578306936,0.017777777777777778,8,HORMAD1
Leave one gene out,HRDetect_probability,leave_one_out_score,225,estimated,,0.20577180861660688,0.053769323183353354,0.09981081006732638,0.31173280716588736,0.00016852816729037644,0.06162729603978634,0.06332919275058847,0.08097156744024564,0.3305720497929681,0.001335896304669151,0.2877781289506953,1.1557992924472897e-05,0.24824845626868713,0.00016852816729038005,{'leave_one_out_score': 1.0},False,0.10885660371408029,4.764748352415148e-14,2.8230934460629234e-06,0.017777777777777778,8,HORMAD2
Leave one gene out,HRDetect_probability,leave_one_out_score,225,estimated,,0.2237325148634684,0.05540371045964261,0.11455069638269462,0.3329143333442422,7.408636264661346e-05,0.06814353603687884,0.05942779599992493,0.1066205961535728,0.340844433573364,0.0002132319138089611,0.2952085967130215,6.660620207848368e-06,0.26104316891441315,7.408636264661546e-05,{'leave_one_out_score': 1.0000000000000002},False,0.739536878752853,1.309320068438159e-13,0.0004049414061716698,0.017777777777777778,9,STAG3
Leave one gene out,HRDetect_probability,leave_one_out_score,225,estimated,,0.21420142009037035,0.054733082097633404,0.10634118140057977,0.3220616587801609,0.00012081416712857545,0.06426754525222822,0.05962481540589511,0.09670124332264134,0.33170159685809936,0.00040297447590492377,0.2929624947324063,7.880971980423547e-06,0.2535104440693286,0.00012081416712857778,{'leave_one_out_score': 1.0},False,0.7569820607678002,5.433274150594689e-14,5.8492971639960406e-05,0.017777777777777778,10,REC8
Leave one gene out,HRDetect_probability,leave_one_out_score,225,estimated,,0.22880831638049864,0.056234245306843914,0.11798979696080232,0.339626835800195,6.558260409481724e-05,0.06910918198035731,0.060622604621135154,0.10934183735473282,0.3482747954062645,0.00020571853994041285,0.27235672144964185,3.45565581771624e-05,0.26288625293148604,6.558260409481747e-05,{'leave_one_out_score': 1.0},False,0.3537298009163289,8.101045515800634e-14,2.9871317806375552e-05,0.017777777777777778,8,SMC1B
Leave one gene out,HRDetect_probability,leave_one_out_score,225,estimated,,0.23955754834417106,0.05594376963585736,0.12931145740840883,0.3498036392799333,2.7513030358460865e-05,0.0759789468061528,0.061100907455111576,0.11914849755263708,0.35996659913570506,0.00011752231996863207,0.28913084702907715,1.04665683121755e-05,0.275642788416735,2.7513030358461414e-05,{'leave_one_out_score': 1.0000000000000002},False,0.3625855951477678,2.5318486477998035e-13,3.521556184773641e-05,0.017777777777777778,7,SYCP2
Leave one gene out,HRDetect_probability,leave_one_out_score,225,estimated,,0.19689795424666817,0.054553283740389855,0.08939203680072291,0.3044038716926134,0.00037912416324059465,0.05519238183357922,0.05922427110940717,0.08018711368602426,0.3136087948073121,0.0010350404914556115,0.25666139907290353,9.864227996788536e-05,0.2349305893952063,0.00037912416324059134,{'leave_one_out_score': 1.0000000000000002},False,0.7634706868329288,1.5486809235813666e-14,0.00014468638248985616,0.017777777777777778,7,SYCP3
Leave one gene out,HRDetect_probability,leave_one_out_score,225,estimated,,0.2144670374548141,0.05311911580371074,0.10978737590462703,0.31914669900500114,7.430692179474025e-05,0.06811998821057463,0.0562891803317304,0.10354025983606156,0.32539381507356663,0.00017967544707570446,0.2848714707121787,1.427909743041187e-05,0.2609980616988842,7.430692179474122e-05,{'leave_one_out_score': 1.0000000000000002},False,0.722642298393001,8.622716186859635e-14,0.000170739751533257,0.017777777777777778,8,MSH4
Leave one gene out,HRDetect_probability,leave_one_out_score,225,estimated,,0.2153949135664832,0.05591585966293722,0.10520382366895265,0.32558600346401373,0.00015307272707026044,0.062390438624957634,0.06210292026388981,0.09301123725445945,0.33777858987850695,0.0006283311292305668,0.2787926675094817,2.205239387127439e-05,0.24978078113609475,0.00015307272707025941,{'leave_one_out_score': 1.0},False,0.2874067007111957,3.14818005945553e-14,5.3753332560368234e-06,0.017777777777777778,9,MSH5
Leave one gene out,scarHRD_score,leave_one_out_score,225,estimated,,10.707794590338478,3.136355043156983,4.5271084201827545,16.888480760494204,0.0007600841223744045,0.04967272153809932,3.249938682041575,4.303273804410645,17.112315376266313,0.0011457107629511485,0.24254444288228447,0.00023981560293895098,0.222873779386673,0.0007600841223744052,{'leave_one_out_score': 1.0},False,0.8609322090338483,0.00017818085363667573,0.01566527236282754,0.017777777777777778,10,HORMAD1
Leave one gene out,scarHRD_score,leave_one_out_score,225,estimated,,13.207816281669343,2.9812320008339084,7.332824724899492,19.082807838439194,1.4749286032373497e-05,0.08089655387272887,3.399625219252597,6.508314379870326,19.907318183468362,0.0001348728189339621,0.3105503051246811,2.031317472726964e-06,0.28442319503291025,1.4749286032373582e-05,{'leave_one_out_score': 1.0},False,0.2799981880727498,0.0011195854968439002,0.0003188703751544523,0.017777777777777778,10,HORMAD2
Leave one gene out,scarHRD_score,leave_one_out_score,225,estimated,,14.72694198559787,3.060398520025691,8.695940218384656,20.757943752811084,2.75171560998114e-06,0.09407153451245764,3.203827007585025,8.41329158413692,21.040592387058823,7.187913569063166e-06,0.3265686981205604,5.46387203233906e-07,0.30671083207551975,2.7517156099811187e-06,{'leave_one_out_score': 1.0000000000000002},False,0.9757263258418025,0.0021819116731323727,0.022126412992874666,0.017777777777777778,10,STAG3
Leave one gene out,scarHRD_score,leave_one_out_score,225,estimated,,14.134095901568475,3.0252606047104593,8.172338982036267,20.095852821100685,5.1565771646316245e-06,0.08915582175408265,3.242814279329969,7.743614883684862,20.524576919452088,1.998451949849661e-05,0.3291754736030011,4.3807314589788667e-07,0.2985897214474781,5.156577164631583e-06,{'leave_one_out_score': 1.0},False,0.7047206484291737,0.0007139705996924358,0.0022811795319866075,0.017777777777777778,10,REC8
Leave one gene out,scarHRD_score,leave_one_out_score,225,estimated,,13.812793886539975,3.1315121367420597,7.641651433307302,19.983936339772647,1.601938856638661e-05,0.08024570990067859,3.25792251801532,7.392539682708648,20.2330480903713,3.278192996139515e-05,0.29459407856108333,6.975350972878569e-06,0.2832767373094347,1.60193885663867e-05,{'leave_one_out_score': 1.0},False,0.6429711307958588,0.0005242502562466694,0.0019450476842407978,0.017777777777777778,9,SMC1B
Leave one gene out,scarHRD_score,leave_one_out_score,225,estimated,,14.607912589816204,3.1102444328118763,8.47868152790992,20.737143651722487,4.6209700504233105e-06,0.09001533287524954,3.2971871287543273,8.110281228988374,21.105543950644034,1.4743311777925874e-05,0.309330684016789,2.2379688536096896e-06,0.30002555370376294,4.620970050423187e-06,{'leave_one_out_score': 1.0000000000000002},False,0.9236870961402952,0.0007784474998756571,0.001248261078041644,0.017777777777777778,10,SYCP2
Leave one gene out,scarHRD_score,leave_one_out_score,225,estimated,,12.701448999851987,3.0270143650432506,6.736236016804808,18.666661982899164,3.922633151868239e-05,0.07317620546469539,3.1794744538863458,6.435789176556542,18.967108823147434,8.795343957302334e-05,0.28707826226510524,1.216419615991309e-05,0.2705110080286851,3.922633151868134e-05,{'leave_one_out_score': 1.0000000000000002},False,0.9378928106707324,0.0004818730493551599,0.0021031198813008926,0.017777777777777778,9,SYCP3
Leave one gene out,scarHRD_score,leave_one_out_score,225,estimated,,14.162331544899985,2.933238685768967,8.381918444523013,19.942744645276957,2.5575438347811495e-06,0.09464323845227052,3.0975235707243614,8.058168963856003,20.266494125943964,8.00147355701611e-06,0.32192781590050773,8.056174686086078e-07,0.3076414121217601,2.557543834781158e-06,{'leave_one_out_score': 1.0000000000000002},False,0.9862835255593146,0.0006044456988504027,0.001635628368084111,0.017777777777777778,10,MSH4
