outcome,iteration,N,genes,beta,abs_t,mean_matching_distance,max_matching_distance
HRDetect_probability,1,225,AK310094;DQ588536;GPR25;DQ598567;KIAA1644;SHISA2;C15orf26;AX748322;TMEM170B,0.09209538402275627,1.112195014539546,0.057675943943203155,0.2110956106907014
HRDetect_probability,2,225,CAPN6;BC050301;FAM21B;CCSER1;FAM90A1;PANX2;FLG-AS1;CACTIN-AS1;ZNF736,0.18296012996381217,2.283844092383273,0.03973014839384159,0.11000752991850728
HRDetect_probability,3,225,SPTSSB;AC098823.3;LRRN4CL;MACROD2;SDK2;BC049825;ST7-OT3;WDR63;ALG10,-0.15952738434493785,1.9641390615320489,0.043743077749077146,0.1483636886602253
HRDetect_probability,4,225,MSX2;FAM156A;XK;MAP6D1;NUP62CL;CTLA4;TMEM155;AK123421;LNP1,0.13654246448654875,1.5794034617326544,0.05922041589626154,0.1539749372921978
HRDetect_probability,5,225,PRR15;MDS2;RN7SL1;PPAPDC3;NCR3;NME1-NME2;ADCY10;RSPH4A;C1orf213,-0.23194944432660639,3.136646299656664,0.06600527657511165,0.19056322737249104
HRDetect_probability,6,225,OLFM4;AK127179;HIST1H3J;RPLP0P2;JQ778266;TMEM71;AKR7L;AX748196;AK297919,0.13575682950536536,1.5651021932602913,0.05866667338063263,0.17982915910687436
HRDetect_probability,7,225,GPT;KIF9-AS1;DACH1;SMAD9;CLDN14;LAMA3;HAVCR1P1;AX747754;MAP3K9,-0.1446539837420466,2.071857459911316,0.05990288242337476,0.20622790157142612
HRDetect_probability,8,225,HOXA9;BC034424;FCRL3;NTNG2;TNFRSF13B;FAM83B;AK127224;AX747952;LNP1,0.09505861130878049,1.1460073555814692,0.06174776416645936,0.18979655064091364
HRDetect_probability,9,225,FZD9;AX746484;PHOSPHO2-KLHL23;TTC21A;HOXB-AS3;RNF39;C17orf64;AX746617;MMEL1,-0.10609802234306731,1.2537232889769339,0.03637425629350773,0.07173420447418458
HRDetect_probability,10,225,CCL20;LOC399715;TMEM27;SCIN;HOXB-AS3;ZAP70;BX648695;DQ577714;KCNK13,0.171503719355207,1.9021070018806208,0.04612559791092055,0.08997722684045066
HRDetect_probability,11,225,PRR15;AK094934;PCP2;MAP6D1;NUP62CL;FGFR4;TAS2R4;MSANTD1;ARL17A,-0.23262266528041056,3.005141189403724,0.06743748602938786,0.18931440326669263
HRDetect_probability,12,225,NMU;LOC283693;SDK2;AK092048;AF086184;NME1-NME2;BX248253;C9orf96;SNAI3,-0.06572441671254811,0.7989180904624483,0.05223604814940292,0.17994719200806708
HRDetect_probability,13,225,SNORD22;AK128734;CHRNA1;AF086351;UBXN10-AS1;AIM2;BC069047;GSN-AS1;FAM212A,-0.034772365393414065,0.4386686769005573,0.038900333460406375,0.10782079949754163
HRDetect_probability,14,225,MIR8072;ELMOD1;SNCAIP;EME1;CLDN9;CDH2;BC132797;AX747652;ZNF788,0.24201123221043944,3.172193480440932,0.05520542801034415,0.12482527448401654
HRDetect_probability,15,225,DQ269213;AK055876;HIST1H2AL;IL7;HIST1H4J;FAM222A;TMC1;AX747440;TTLL3,0.06103374267999915,0.7258004137382278,0.036709452875558005,0.08312331095946579
HRDetect_probability,16,225,MUC15;RALGAPA1P;NUDT10;ZNF597;RN7SL1;APLP1;HAVCR1P1;NEXN-AS1;WDR78,-0.11396113899796971,1.3941566396320222,0.04677051357900796,0.17392411523810142
HRDetect_probability,17,225,ACTA1;AX748336;LINC00173;CACNA1C;TMEM249;CCL4L1;LOC100134868;SSBP3-AS1;VILL,0.18371083175449604,2.490797839525472,0.06022178643296927,0.18858682854609565
HRDetect_probability,18,225,TNNT1;FAM106A;KCNK3;ERCC6L;CRYBB2;OMD;AK026512;DLEU7-AS1;AC009948.5,0.1321287434746234,1.6276811119503594,0.0627188671750786,0.16804504194898806
HRDetect_probability,19,225,TMEM61;NEXN-AS1;PRIMA1;NTNG2;FAM178B;C3orf55;DIP2A-IT1;LOC100131347;TMEM86B,0.24167807774947583,3.1603247737416753,0.04658861862501356,0.09219534392661129
HRDetect_probability,20,225,L13711;EGFEM1P;MCOLN3;PGBD1;TNFRSF13B;HIST1H2AG;CALCR;AX747952;LINC00875,0.17547451612299836,2.1257597574788383,0.06636215904400383,0.18979655064091364
HRDetect_probability,21,225,SCGB2A1;BC040868;CHRNA1;LAIR2;LOC100131289;VPREB3;PCAT1;BC050301;ZNF530,-0.05774952525683932,0.644537489620842,0.056331981774383554,0.20594784738867652
HRDetect_probability,22,225,NCMAP;AK094599;TNXB;FBXL22;EPHA10;POU2F3;TEX40;FAM186B;AK001975,-0.04440845433438987,0.5197421623330809,0.04231251157861726,0.11637725217343432
HRDetect_probability,23,225,TCR;AK128739;JQ778266;AGMAT;VLDLR-AS1;GALNT16;BC044596;GNG12-AS1;IKZF2,0.0710821001592882,0.8941015657724701,0.06273700566388764,0.19511323348283136
HRDetect_probability,24,225,SLC38A3;RP11-231I16.1;TMEM249;PHACTR1;TNNC2;RNF128;NANOG;C21orf62;PBLD,-0.011570697398074028,0.1499142596847035,0.03540891461292736,0.05529965885105642
HRDetect_probability,25,225,COL17A1;MSANTD1;DGCR5;HLA-F-AS1;SLC16A9;TNFRSF11B;TMEM155;LINC01121;FLJ37453,0.19075926339185012,2.324901539606779,0.05521752564922101,0.19891169199395842
HRDetect_probability,26,225,PI16;BC045805;RN7SL2;LAIR2;LOC644554;IBSP;CALCR;SPAG5-AS1;TBC1D32,0.06881561406094723,0.8080695866869628,0.057110197259719137,0.1668600736931869
HRDetect_probability,27,225,CHRM3;DLEU7-AS1;KLHDC8A;PI4KAP1;AOC1;PLN;POM121L9P;BC034424;GLUD2,0.1399467321242988,1.9167835210180069,0.055829377318578365,0.18266111967403414
HRDetect_probability,28,225,MIR658;AK054972;P2RY12;SMAD9;PROX1;CCL11;AK300656;WNT9B;LINC00875,-0.09262334581605233,1.0728406666772612,0.062476711573558955,0.16972071338756584
HRDetect_probability,29,225,SRMS;DL492607;LUCAT1;ERCC6L;TMEM110-MUSTN1;RNF39;MS4A6E;AK128734;TRAF3IP2-AS1,-0.2824403889162288,2.8650888853453256,0.04213811961153532,0.09991223092202872
HRDetect_probability,30,225,ACKR2;BC045805;TCF15;VSIG10L;LUCAT1;MT1A;BC035411;LRP2BP;CASS4,-0.09973449536854069,1.2462827166919788,0.04902728516477894,0.16175660414617804
HRDetect_probability,31,225,FCER1A;STAU2-AS1;OR2A7;BC038201;FAM90A1;LYPD6B;POM121L9P;AX748196;LOC646762,0.17098805045810703,2.4442813220434383,0.05879811634413444,0.17982915910687436
HRDetect_probability,32,225,RND1;BCDIN3D-AS1;WT1;TMC7;STAP1;TCRBV14S1;AK001057;BC035094;AK001975,-0.08013456433237036,0.9295367734206917,0.05183215503394152,0.12920214452816692
HRDetect_probability,33,225,MSX2;TTC16;TNNC2;ABAT;TNFRSF13B;FAM83B;AX748052;ASAP1-IT2;ZNF570,-0.0670928794235806,0.838754768850507,0.05148119663677501,0.16389685445393573
HRDetect_probability,34,225,COL17A1;LINC00907;SV2B;CAPN3;ZIC4;DUOX1;HSD3BP4;C22orf15;TSSK6,-0.0641777232473252,0.9075829529407241,0.05901514981792519,0.17865127038177614
HRDetect_probability,35,225,PRSS12;KIR3DX1;AK313893;LRRC6;LRRN4CL;PDCD1;LOC100289656;FSCN3;ZFP28,0.17412400080323154,2.0682294849199416,0.06003189841280362,0.1955289264800642
HRDetect_probability,36,225,JN111512;ZC3H12B;FZD10;ERCC6L;UBXN10-AS1;ZNF683;CAGE1;SSBP3-AS1;ZNF501,0.29709956509445634,4.234462527897611,0.061726317354010046,0.1965184464180849
HRDetect_probability,37,225,AB306139;BC050301;VLDLR-AS1;TFAP2A-AS1;DNASE1L3;AF131837;SLC16A12;AK097447;MAN1B1-AS1,-0.11833213601249995,1.391185464890123,0.03694312289351781,0.06979785642428031
HRDetect_probability,38,225,CXCR2P1;AX747828;RP11-132A1.4;LRRC6;SLC16A9;SYBU;GNRH2;MPP4;SSR4P1,0.010992188298002954,0.11645108026507173,0.049928046616766295,0.13922975618355607
HRDetect_probability,39,225,SERPINA5;CCL16;FXYD7;TMC7;C19orf59;TNFRSF6B;AF279775;AK095583;NLRP3,0.15084170675370412,2.1540325718697417,0.05123879048641152,0.16911768267559088
HRDetect_probability,40,225,IGHD;AK092619;LINC00861;AX747534;LOC100131289;KMO;SCN11A;AC005594.3;SIGLEC7,-0.00044608946283074795,0.005899043728166148,0.04798541232252759,0.13671187926741393
HRDetect_probability,41,225,SLC38A3;BC040868;LY6H;ADAMTS14;UBXN10-AS1;IL20RA;AX748052;AX747516;ZNF630,-0.014349374355065324,0.1769823909972158,0.052963442110462826,0.20594784738867652
HRDetect_probability,42,225,SERPINA5;ECT2L;HLF;F2RL3;STEAP1B;GHR;AX746871;AX746991;ZNRF2P1,-0.09670223610297639,1.2938031307024163,0.06128419146177116,0.19558589658370915
HRDetect_probability,43,225,JQ778262;PA2G4P4;BC034319;DEPDC7;MEGF10;BC014312;AF279775;SSBP3-AS1;WDR78,0.1814251785575513,2.2117314333303133,0.06283346824387903,0.18858682854609565
HRDetect_probability,44,225,AY006263;BC013681;FLT3;FAM110D;DL490167;M34430;LINC00840;AX747952;TMEM86B,-0.09597798332737772,1.272895592004009,0.05509129403888161,0.18979655064091364
HRDetect_probability,45,225,MIR6759;LOXHD1;NME5;ZNF454;TMEM178B;APLN;BC040733;CCL16;KRBA2,0.0016724757580941644,0.02324203454456078,0.055825792559452796,0.12568001432028308
HRDetect_probability,46,225,TFAP2B;AK128734;LIN7A;SLC51A;DACH1;RTN4RL1;RAB40A;AK123834;KPNA5,-0.33059633990283976,4.441078897672106,0.061101531013779894,0.17242651371194484
HRDetect_probability,47,225,PI15;AK124194;C19orf59;ABLIM2;AK056584;JSRP1;AX747178;MGC13053;ATP6V1E2,0.2060928832689686,2.3057479201325206,0.043685855117069516,0.11448974534813092
HRDetect_probability,48,225,FOXC2;ERICH6;GPR55;BTBD19;AK056584;SYBU;IFNB1;AK055254;LINC00900,0.14812699298345317,1.7171719782546968,0.052824423444260075,0.20275988903268372
HRDetect_probability,49,225,MIR6748;ZNF99;FLT3;PKI55;FXYD7;IBSP;IL1A;LOC727896;ZFP37,0.134749811845908,1.5890162999969752,0.05956694371039484,0.17431242703747143
HRDetect_probability,50,225,MIR6850;AK056686;KCNK3;FAM110D;SLC16A11;JSRP1;C6orf163;AC105053.3;AC010226.4,0.0425802134236499,0.5577824411419046,0.06723138495054537,0.19982927607396514
HRDetect_probability,51,225,NLRP2;AX747535;HLF;ERCC6L;TCRBV20S1A1N2;CCR4;NANOG;BC047364;CALML4,0.13203064424145342,1.7645791349274924,0.05586788228942926,0.16882631406784504
HRDetect_probability,52,225,BC029816;DL492607;KCNK3;PVRL3;LOC100616530;SLC15A2;HLX-AS1;AX746617;LOC728752,-0.12194735931152,1.2785385057099004,0.044006404453137284,0.07173420447418458
HRDetect_probability,53,225,PLIN4;AX747865;HUNK;ZNF718;HIST1H4I;IL33;LOC388242;WNT9B;CCDC122,-0.22878909989816656,3.01148385865569,0.057920727354098284,0.18199503301903236
HRDetect_probability,54,225,KLK11;RP5-1074L1.1;DLX4;ST6GALNAC3;ADCY5;MIR4458HG;HAVCR1P1;BC040868;DPH3P1,0.12840811579835396,1.7430038115988624,0.05166378839611214,0.19136843779103793
HRDetect_probability,55,225,KIF1A;AX748196;SV2B;P2RY1;ATP5EP2;AB306028;UNC80;AK294189;ZNF570,0.12720724020742075,1.5060692368251898,0.061392966010927856,0.19142964315976435
HRDetect_probability,56,225,C9orf152;MPP4;HIST1H3J;RPL13AP20;KIAA1644;HBA1;DNAJB13;AX747516;CCDC122,-0.23754627638017076,2.955996679668657,0.04350746204089977,0.10969561747983937
HRDetect_probability,57,225,L13714;BC043227;FAM90A1;BC038201;LIN7A;TOX;ANKK1;BC033323;CHIC1,0.09455183057291143,1.1314715981778591,0.04556871669260201,0.17445059461178689
HRDetect_probability,58,225,CIDEC;RP4-724E16.2;SLC16A11;TMEM88;CXCL3;ENHO;AF306347;DISC2;PI4KAP2,0.010643623731337351,0.14866879052729987,0.0471717355517579,0.15000702256826476
HRDetect_probability,59,225,MSI1;TTC16;NME5;ATF7IP2;CNTNAP3;TNFRSF6B;ZNF474;BC006461;ZGRF1,0.16911836420412393,2.337623515367307,0.05576097839983131,0.16389685445393573
HRDetect_probability,60,225,LRG1;LOXHD1;ADCY5;FANCB;HIST1H4I;STAC;BC009838;CC2D2B;RSBN1L-AS1,-0.11720329620024941,1.2928014135765933,0.0526503781405117,0.12568001432028308
HRDetect_probability,61,225,RND1;LOC100506023;FER1L4;TNFSF15;MYO3B;VASH2;AK097934;PA2G4P4;CCDC122,0.009700810672039666,0.12635192940388115,0.05361245604896386,0.1649527490073328
HRDetect_probability,62,225,PI16;RPL31P11;AX747114;NTNG2;CITED1;BC050044;LOC100134868;PCDHB19P;TMEM183B,0.04730456601501653,0.555604141648515,0.05232688026820442,0.18358616451708054
HRDetect_probability,63,225,CHIT1;BC045784;HLF;SUCNR1;FAM178B;PDCD1;BC023651;AX747227;FLJ42627,0.047811234993007413,0.6221001732451324,0.06811340716056109,0.19007933201492855
HRDetect_probability,64,225,DHRS2;LOC100506023;HIST1H2AH;GRAMD1C;GPIHBP1;T-cell receptor alpha-chain;KCNS2;CFL1P1;CTC-338M12.4,-0.1801345250763184,2.2857641897878995,0.04965891513546493,0.1427432261651911
HRDetect_probability,65,225,MT1H;AK124973;PNPLA3;IFNLR1;TGFBR3L;NOSTRIN;SPATA1;AK097722;MAN1B1-AS1,-0.16564007779043752,1.8232787998315678,0.06497568238751682,0.19410987636211804
HRDetect_probability,66,225,CKMT1A;AX748196;TNXB;PEAR1;RND2;RASAL1;DQ574806;AX747754;AC010226.4,-0.008091518379083626,0.11382244614753732,0.05831142544476226,0.19142964315976435
HRDetect_probability,67,225,ACTA1;AK095880;AOC1;CACNA1H;FAM132A;APLP1;IFNB1;DL492607;SACS,0.15382497804881035,1.8814977728552946,0.04135090562434559,0.0761122031261003
HRDetect_probability,68,225,LRG1;AC005594.3;THEMIS;RRN3P1;HIST1H2AH;SYBU;AF306347;LINC00664;AK9,0.01707266257622703,0.20558676728418818,0.057907200912606926,0.19549755147072062
HRDetect_probability,69,225,FOXI1;RALGAPA1P;PROX1;TNFRSF10C;CSDC2;WIPF3;AK097934;AK095583;ZFP28,0.014137304849836689,0.19130126669249686,0.06309605302182426,0.17392411523810142
HRDetect_probability,70,225,TF;RP5-1074L1.1;C1QTNF4;FANK1;ADCY5;ZAP70;RP11-265P11.2;AX746867;GTF2IRD2B,0.006819988274196854,0.08989618538562119,0.054859513943126804,0.16870830529504194
HRDetect_probability,71,225,CT83;SRRM5;LOC100131289;DSEL;AK054837;BC049825;LOC100133050;BCDIN3D-AS1;CALML4,0.24142938303676023,3.3184640582999543,0.05172082268098382,0.13977548718575988
