Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Homologous recombination,10/41,4.467536749700738e-22,9.381827174371547e-21,0,0,494.9379652605459,24331.167621707784,RAD51B;BRIP1;RAD51D;RAD51;RAD51C;ATM;BRCA1;SYCP3;BRCA2;PALB2
KEGG_2021_Human,Fanconi anemia pathway,6/54,2.833463937371751e-11,2.9751371342403383e-10,0,0,146.53676470588235,3558.9290339169656,BRIP1;RAD51;RAD51C;BRCA1;BRCA2;PALB2
KEGG_2021_Human,Cell cycle,6/124,4.655201304650981e-09,3.2586409132556864e-08,0,0,59.3988035892323,1139.5827190539785,STAG2;RAD21;CHEK2;ATM;SMC1A;SMC1B
KEGG_2021_Human,Oocyte meiosis,4/129,1.3299629693177544e-05,6.98230558891821e-05,0,0,33.43494736842105,375.40004498310446,STAG3;SMC1A;REC8;SMC1B
KEGG_2021_Human,p53 signaling pathway,2/73,0.0031635487156869,0.0119826581723072,0,0,26.70154258886653,153.69570446963246,CHEK2;ATM
KEGG_2021_Human,Pancreatic cancer,2/76,0.0034236166206592,0.0119826581723072,0,0,25.615186615186616,145.4188948501949,RAD51;BRCA2
KEGG_2021_Human,Breast cancer,2/147,0.0122690254278839,0.0360586593530084,0,0,13.025944170771757,57.32297878566489,BRCA1;BRCA2
KEGG_2021_Human,Cellular senescence,2/156,0.0137366321344794,0.0360586593530084,0,0,12.259121830550402,52.56330349186209,CHEK2;ATM
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,2/219,0.0259627335722661,0.0548774214231563,0,0,8.672372174676322,31.663638149452428,CHEK2;ATM
KEGG_2021_Human,Mismatch repair,1/23,0.0261321054395982,0.0548774214231563,0,0,41.22933884297521,150.26406190976735,MLH3
KEGG_2021_Human,MicroRNAs in cancer,2/310,0.0489194015753988,0.0933915848257613,0,0,6.081941867656154,18.352753445150903,ATM;BRCA1
KEGG_2021_Human,NF-kappa B signaling pathway,1/104,0.1130599041103922,0.1978548321931863,0,0,8.770520741394527,19.118309794948487,ATM
KEGG_2021_Human,Pathways in cancer,2/531,0.1235593669439639,0.198495518735491,0,0,3.50130524799712,7.321346687787135,RAD51;BRCA2
KEGG_2021_Human,FoxO signaling pathway,1/131,0.1403488240507186,0.198495518735491,0,0,6.939510489510489,13.626591808289202,ATM
KEGG_2021_Human,Ubiquitin mediated proteolysis,1/140,0.1492652920740199,0.198495518735491,0,0,6.4872465663832575,12.33893805698733,BRCA1
KEGG_2021_Human,Apoptosis,1/142,0.1512346809413265,0.198495518735491,0,0,6.394584139264991,12.078873668454536,ATM
KEGG_2021_Human,Transcriptional misregulation in cancer,1/192,0.1990757064904679,0.2459170491941074,0,0,4.7087101380295096,7.600188205592125,ATM
KEGG_2021_Human,Human immunodeficiency virus 1 infection,1/212,0.217480479002833,0.2537272255033053,0,0,4.258078414476519,6.496321085038281,ATM
KEGG_2021_Human,Shigellosis,1/246,0.2478438019926275,0.2739326232550094,0,0,3.660853432282004,5.106731517584393,ATM
KEGG_2021_Human,Human papillomavirus infection,1/331,0.3189008190349999,0.33484585998675,0,0,2.706198347107438,3.0928468057699336,ATM
KEGG_2021_Human,PI3K-Akt signaling pathway,1/354,0.3369953148644328,0.3369953148644328,0,0,2.5269121813031163,2.748487637607967,BRCA1
