,TCGA-A1-A0SK-01,TCGA-A1-A0SP-01,TCGA-A2-A04U-01,TCGA-A2-A0CM-01,TCGA-A2-A0D0-01,TCGA-A2-A0D2-01,TCGA-A2-A0SX-01,TCGA-A2-A0T0-01,TCGA-A2-A0T2-01,TCGA-A2-A0YE-01,TCGA-A2-A1G6-01,TCGA-A2-A3XT-01,TCGA-A2-A3XX-01,TCGA-A2-A3XY-01,TCGA-A7-A0DA-01,TCGA-A7-A26G-01,TCGA-A7-A4SE-01,TCGA-A7-A6VV-01,TCGA-A7-A6VW-01,TCGA-A7-A6VY-01,TCGA-A8-A07O-01,TCGA-A8-A08R-01,TCGA-A8-A09X-01,TCGA-AC-A2BK-01,TCGA-AC-A2QH-01,TCGA-AC-A2QJ-01,TCGA-AC-A6IW-01,TCGA-AC-A7VC-01,TCGA-AN-A04D-01,TCGA-AN-A0AL-01,TCGA-AN-A0AR-01,TCGA-AN-A0AT-01,TCGA-AN-A0XU-01,TCGA-AO-A03U-01,TCGA-AO-A0J4-01,TCGA-AO-A0J6-01,TCGA-AO-A0JL-01,TCGA-AO-A124-01,TCGA-AO-A128-01,TCGA-AO-A129-01,TCGA-AO-A12F-01,TCGA-AO-A1KR-01,TCGA-AQ-A04J-01,TCGA-AR-A0TS-01,TCGA-AR-A0U1-01,TCGA-AR-A0U4-01,TCGA-AR-A1AR-01,TCGA-AR-A1AY-01,TCGA-AR-A256-01,TCGA-AR-A2LR-01,TCGA-AR-A5QQ-01,TCGA-B6-A3ZX-01,TCGA-B6-A400-01,TCGA-B6-A402-01,TCGA-BH-A0B3-01,TCGA-BH-A0B9-01,TCGA-BH-A0BG-01,TCGA-BH-A0BL-01,TCGA-BH-A0E0-01,TCGA-BH-A0RX-01,TCGA-BH-A0WA-01,TCGA-BH-A18G-01,TCGA-BH-A18V-01,TCGA-BH-A1EW-01,TCGA-BH-A1F6-01,TCGA-BH-A1FC-01,TCGA-BH-A42U-01,TCGA-C8-A12V-01,TCGA-C8-A131-01,TCGA-C8-A1HJ-01,TCGA-C8-A26X-01,TCGA-C8-A26Y-01,TCGA-C8-A27B-01,TCGA-C8-A3M7-01,TCGA-D8-A13Z-01,TCGA-D8-A143-01,TCGA-D8-A147-01,TCGA-D8-A1JF-01,TCGA-D8-A1JL-01,TCGA-D8-A1XK-01,TCGA-D8-A1XQ-01,TCGA-D8-A27F-01,TCGA-D8-A27H-01,TCGA-D8-A27M-01,TCGA-E2-A14N-01,TCGA-E2-A14R-01,TCGA-E2-A14X-01,TCGA-E2-A150-01,TCGA-E2-A158-01,TCGA-E2-A1L7-01,TCGA-E2-A1LH-01,TCGA-E2-A1LL-01,TCGA-E9-A5FL-01,TCGA-EW-A1OV-01,TCGA-EW-A1OW-01,TCGA-EW-A1P4-01,TCGA-EW-A1P8-01,TCGA-EW-A1PB-01,TCGA-EW-A1PH-01,TCGA-EW-A3U0-01,TCGA-EW-A6SB-01,TCGA-GI-A2C9-01,TCGA-GM-A2DB-01,TCGA-GM-A2DF-01,TCGA-GM-A2DH-01,TCGA-HN-A2NL-01,TCGA-LL-A441-01,TCGA-LL-A5YO-01,TCGA-LL-A73Y-01,TCGA-OL-A6VO-01,TCGA-S3-AA10-01,TCGA-S3-AA15-01
BRCA1,2.1792967870546507,1.9641230226435675,2.225482472746394,1.81753395834294,1.6058003132568592,1.8033698332530024,1.9643146104774745,1.9318480645704883,1.833530456200544,2.0969916654986056,2.092410429684445,1.8348068113607932,1.9494907898632292,1.976703563094564,2.0843519090075806,1.6224064910932627,1.9542470788205464,1.9444155198406523,1.7876224202823123,1.925764702663072,2.072741936913656,2.014786998047913,1.8962330922077977,1.6147483868444892,1.806466548011321,1.6435581768940712,1.939476210599248,1.922322422105116,2.130993750556245,1.721810104914037,1.777122226881513,1.99387194384298,1.9120749714682417,1.901954263628688,2.211807963191234,2.0587132097309664,1.7030644464812323,2.1787465059818163,1.9303175834019703,1.9182127397626092,1.858198061436356,1.4356043509473606,2.0095165615427533,2.18828869975378,1.8805537418764608,2.079022737123485,1.7400758373434229,1.9384089842081749,1.7904270537681406,2.086376167596937,1.95884267524324,1.966675437523161,2.052381113234277,1.887124663432052,1.9752633216784936,1.8769410421482295,2.210547555572573,1.9359465645224925,1.9450526089334084,1.738256883938872,2.017095886531014,1.5041026163786544,2.10417499571041,2.1478187897895733,1.854039183148419,1.8635889040387303,1.9420896314713028,1.8808493472793824,1.834906076965014,1.4884121759957325,1.5830332461500147,2.143019322754641,1.8318256628167413,1.8637366607822845,1.7995545610813797,2.178818923378977,2.1765171693733576,1.9415912263553825,2.182914722336,1.727532384222736,1.717254175938773,1.9108686929813223,1.9384979499005333,1.9659941159534011,1.72975643299838,1.7582954233957455,1.7221639409926326,2.0142838706625974,1.9731303248424024,1.7173339487368162,1.3997328958012742,2.083030746860176,1.4659459782656346,1.826932076462396,1.9264652855088384,1.830613039860678,1.949103630494464,1.9013189169402505,1.7027582726659312,2.1015156154912447,1.3426116329614424,2.343764413989403,1.6553185192516162,1.6098666880709458,2.227749475948829,1.9549813290275373,2.126780676286669,1.838449426229147,2.371698246703747,2.053916998065549,1.9051443153413017,1.812345126309916
BRCA2,0.0,0.0381386710492748,0.0,0.0,0.0,0.0,0.0029841389823118,0.0,0.0021031038154567,0.0,0.0037122811000398,0.0,0.0,0.0078371194517834,0.0066634174167771,0.0,0.0092291245288074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002670755433434,0.0024166106810055,0.0078962015019131,0.0,0.0,0.0,0.0,0.0066803119883033,0.0,0.0059029568582364,0.0,0.0,0.0,0.0026622846629423,0.0,0.0,0.0051336389686668,0.00422006967823,0.0,0.0382543769090219,0.0115040579019713,0.0,0.001145214933759,0.0,0.0,0.0,0.0,0.0,0.0,0.0034075221417887,0.0116387562468936,0.0,0.0,0.0,0.0,0.030788894505363,0.0,0.0,0.0,0.0008229500569591,0.0592738315418862,0.0,0.0,0.0055056680738014,0.0,0.0067141005378395,0.0,0.0,0.0055732994233695,0.0,0.0,0.0,0.0079468413334655,0.0136156907121988,0.0,0.0098529817274504,0.0,0.0,0.0054126697910832,0.0,0.0048460962106191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002890978010673,0.0070350522963804,0.0037715323110864,0.0,0.0
PALB2,2.059355277616421,2.214081275104387,2.041516353349599,2.1243446795752363,2.022903952044296,2.1558949193901173,1.9596217984792796,2.1414981881343063,2.1465118577656552,2.259504504971166,2.145021980430842,2.065758409318604,2.1691617742161355,2.0432325009145416,1.8752571387714725,2.018192610557094,2.19918233417106,1.989131739364833,2.0414742996260227,2.191041442986281,2.0465155065259726,1.8565076992068428,2.049177676401429,1.9339729117186728,1.9812571904410683,1.2803981262987545,2.076367543956068,1.9374762250990305,2.324309460627945,1.7616044183780493,2.141821860651095,1.9635555044767383,2.298148003904258,1.8646833862749144,2.0144159991644366,2.260230449907074,1.8612169598668475,2.475489611112556,2.104608397706068,2.1697807247242675,2.039468315629862,1.863224853345973,2.151654279754361,2.1864720330756704,2.0077229576363926,2.16387545835937,2.0391348836957754,2.186335741239762,2.263608364049283,1.7363494318237225,2.0570724359017785,2.0222328592420773,1.9806285826580388,2.338498580096306,2.121429908948958,2.265580918315084,2.1562089051662587,2.2868368019721603,1.7131415023461771,1.9340484225604704,2.273518873556406,1.8504033975829013,2.3280005846731737,2.185416227355192,2.230055415531018,2.118309885327953,1.868647260535898,2.115522717084504,2.021316260090993,2.2624993072004598,1.793221704584084,2.241245292362024,2.1899668450727914,2.1031451056996544,2.284712519783537,2.338196189904652,2.287531396532028,2.056469079268328,2.133165644763774,2.194906532422851,2.0797808659329595,2.212317195354752,1.9237653088672364,1.896089683735808,2.0611160351839897,2.1690783719827267,2.077366067193775,1.944071306545916,2.299230002144217,2.0268637843430164,1.7722741877936603,2.141910122372396,2.119927165406241,2.1760290968588127,2.2241421733083286,2.148127140731572,2.296665903954354,1.9162129224337228,2.06858483104465,2.042168029359245,1.862982943126738,1.8680387501854288,1.8688368736450955,1.7301616952454903,2.2783416586216423,2.1100825620903154,2.003695774972162,1.9762609752539595,1.974015283756472,2.249157076686471,1.9141817950022693,1.66724725194866
RAD51,1.99102186354542,1.8180104428451933,2.096087955106619,1.9970672404136924,2.072892054904488,2.07398629314329,2.0262498375897007,1.0745370532655036,1.6076844846292877,2.121826449729414,2.32627625529894,2.258646478315636,2.2968865657814868,2.0294420123555126,1.7574237571241442,1.9067071027245492,1.7584245474931934,2.0372064871784654,1.6474491276424144,1.906662705778492,2.2772248727496884,2.1171988871082865,2.5464243650130727,2.005234135308216,2.3830715209861792,1.448095841730246,2.0147810064960394,1.8361571994129804,0.8782937434010416,2.030480055438727,2.284461741889495,2.090973259298812,2.1503022080216105,2.3959971472324564,2.209606924994944,1.4506235140830397,1.0647926670640733,1.7433094719885385,1.7170347779973112,1.875846586982012,2.202557565735056,1.6952914757908155,1.939756042675362,2.1388648660881424,2.002960034972136,2.146996031221429,1.941383725626815,1.828337863871297,2.002245526501553,1.9971367402196092,2.036711611055192,2.024483352125521,1.4742982520322316,2.05444511236242,1.804650903493691,2.068665519759492,1.8979969531324308,2.133189171611916,1.9081714360019373,1.8256228318156809,1.969094510020021,1.8955054674172087,2.109674294421337,2.3505908125066424,1.6184193878275597,1.9615065061450216,2.0674428003271728,2.048676160936597,2.055633512545488,0.6546681920901798,2.43820275710867,0.9762959483253986,2.194145255422089,2.2902746730427617,2.195279750806234,2.1946495857362374,2.205231284807377,1.2747226994146337,2.228866039709958,1.7219749537807325,2.244207928900448,1.2955376750290086,1.933325679794432,1.77551739426578,1.008525502415902,1.8236803901875056,2.172610598704128,2.059871726651865,2.18099732108842,2.2731784448303074,1.4936985651337846,1.4294697046404932,1.570862690112422,2.076377543135586,1.978975634573068,2.107208865517437,2.197391220105428,1.454378390911012,1.5675716564404762,2.013154378717668,1.584285384943149,1.2427549220762768,1.864063446058593,1.6765764149769982,2.0516772883956738,2.1291130542872074,2.087154685238255,1.7059540904272887,2.0133990395865515,2.298592901079364,1.8558517364478584,1.8688113502549897
RAD51B,1.6801950558459298,1.6647416804727464,1.1038197383172788,1.5994326023017182,1.3311514423644246,1.5201078124514065,1.6917660266566368,1.3390027060663927,1.348854798000739,1.4598992327667089,1.6077454059895582,1.5804753307289272,1.4026788338901113,1.648828327217552,1.487303886317718,1.558593141348751,1.483117691310373,1.6226535985391983,1.3014469254513206,1.309199310185243,1.3714643505595874,1.6718612344398358,1.6801864353673392,1.730345648560514,1.420783392666741,1.0020806863962328,1.5702982469298086,1.2662610845008777,1.3259762807357685,1.6943162625685757,1.7525776451288864,1.8280374803257144,1.9042603798938829,1.554779021486506,1.5647029920141644,1.4668890249836786,1.219241364113141,1.6788269481220714,1.7076366292180478,1.2341621023521152,1.4885660580603706,1.0168214982074577,1.5610530871422588,1.6339732909437832,1.4605749036298823,1.6072205818490235,1.694372222896735,1.5141772470803547,1.7171763790682355,1.613747977423612,1.5878382016003434,1.5944262361344403,1.600920572916589,1.5430981366731678,1.4950687775705018,1.581075977361271,1.3780601693164043,1.6891909682315407,1.783925595021742,1.3575388278932916,1.641186556737132,1.2306752773111798,1.5426191504040707,1.7482943462659708,1.487588883443856,1.4359803311391577,1.2818756268468765,1.7744638641984878,1.4578248772348406,1.650909557768828,1.473897791090441,1.652239281288597,1.5532346474683576,1.6546919651046132,1.7881018867129577,1.8284132159279027,1.6978561390502234,1.642725492442602,1.919946428879728,1.587462369267316,1.6296299404046153,1.6002117086964802,1.3807459514409706,1.7068419818866531,1.610007719758215,1.2739788423606049,1.543786137743176,1.6954729669524005,1.2741387677104223,1.620716507511762,1.1023326756184826,1.9870885977564503,1.2633877887290852,1.5856918493546837,1.495584857292583,1.655905543130911,1.597933631187909,1.6099886136364672,1.4954741806385967,1.4381463508077734,1.104772043876825,1.4996576534408588,1.7170606095587573,1.2268980757099173,1.7127802702801564,1.3979637118516697,1.4796932703661674,1.4696754132037615,1.524527166660465,1.6488749864571266,1.532153522990697,1.273401186511414
RAD51C,2.224978708862255,1.6446592588198117,1.4451334027931266,1.6890486242955585,1.1918026588072628,1.6679829292987995,1.9367717206825403,2.0114455443903205,1.3158676055967382,1.613050674403424,1.8523105214834616,1.616235349763815,1.6105394388144063,1.698582996094212,1.6660202887596056,1.7516608088963763,1.572860571756596,1.5813319628956537,1.0555288658166806,1.6243816838545533,1.8271361228281784,1.8078989216109849,1.6383426516931452,1.7906803028909164,1.565041436280405,0.2291202784142041,1.7230954268111354,1.2063931685116038,1.973001376087245,1.622677388704633,1.3645164042160458,1.8432603057997323,2.026042224167732,1.7147246876353088,1.9159797367392528,1.567302057505525,1.2268167650498671,2.245915449727873,1.6859580839371742,1.3507461612247038,1.59564687262412,0.5874610073779383,1.9418049471695575,1.9714203160909896,1.3996304951074234,1.9749771025124052,1.7614810240097545,1.9740079391618923,1.865166596377437,2.0655447395185726,1.1252014291022092,1.770220131949601,1.6010213578786314,1.6331707809776086,1.7458396740975963,1.9546206795399217,1.8346869482324,1.7746879779641076,1.4669350709168871,1.474929188032623,1.8862379685795927,1.9703751302050143,1.6886279834868527,1.9565176462396583,1.6377771561309646,1.9383535489640973,1.3433282231341814,1.636831077904864,1.2737307114385248,1.6216182134573858,1.2991508590514476,1.754160628248144,1.7653395450052909,1.7925638693751578,1.7244058004238,1.98451643910551,1.871875182482519,1.5054946421626616,1.7463471670893187,1.6338403615620658,2.01090870898114,1.89894354290607,1.890641243963444,1.671148416247205,1.2957230245399685,1.769754816041207,1.7914390258724415,1.709405340860716,1.5752251854020294,1.9376607709909872,1.192358313804889,1.2412788568565742,0.9348108606013268,1.410384525933285,1.8024662172686263,1.831009742398349,1.6136165148361827,1.4865599281852402,1.918248828375394,1.7973699747376783,0.6085632540263014,1.6402044389510582,0.8125228690241388,1.1336687321176484,2.056694500639865,1.876110233414017,1.6997026456518205,1.257107197068082,2.0086876676229566,1.7779477741308891,1.8215224688108047,1.4233092372423868
RAD51D,1.9251202457231784,1.754686579530244,1.663365115282638,1.7646582550899448,1.8382378040919516,1.8610422282958887,1.6515752729255777,1.950931196799748,1.416366871106441,1.708743454951423,1.6534223655817173,1.6790161104762091,1.9522068124000749,1.6995138767709026,1.54818258935858,1.350488760617756,1.7331482265994915,1.6561714129505416,1.6457800387305443,1.3969622855173205,1.964722070169092,1.924227232546777,1.6073705606806428,1.870431797178044,1.533114772253737,1.6602806227291245,1.9981918918970656,1.8319238443517951,1.7331894517581832,1.327555158971571,1.8834800586836389,1.7216548269689576,1.6843048401829182,1.553719289171255,1.7262601280320282,1.8583550523797443,1.4161911938952143,1.9793156635382636,1.4983913000329894,1.5122066557668048,1.7555584664739985,1.2138325056278592,1.5106353776580748,1.8123072224572188,1.4482032156152589,1.5673190961518064,1.4423755923849904,1.6959915867269462,1.6146533129162528,1.9362610224945285,1.7706937540002123,1.7347984820850335,1.791222288590732,1.8085086166739743,1.5701252911648134,1.7366027107289173,1.688909915880198,1.5256178990085367,1.478394611570197,1.5727999518217792,1.5794046464536249,1.2799436972049762,1.706384673278377,1.7102080215658308,1.7298115948946375,1.905268094365946,1.7786522525616322,1.5032393202835397,1.4402931370721388,1.230762518025008,1.5733308958958554,1.3909317703198576,1.5835214907481132,1.5250014237004166,1.4855556334772682,1.9115995532069925,1.7148741209391951,1.6069183100029083,1.6116516246473866,1.6966882768832028,1.5063962924631975,1.64868171602455,1.3786475631124402,1.4109380332284138,1.6943498074100638,1.5693063685039508,1.4976609016868625,1.5104682812678636,1.5657068360054376,1.5464277844379073,1.1565034070290896,1.5818670058251885,1.4185084123538407,1.5636121051239082,1.8883886797646832,1.5303379757306657,1.6094122104827149,1.5862219045305477,1.585306302071201,1.7817352899605672,1.4073255558782385,1.697366836766717,1.188179344067055,1.329301589475367,1.8924298858625213,1.8402799269384948,1.8345777391051208,1.5594844712268603,1.5152027718151222,2.0375913185547505,1.7719742920274488,1.5535423648417863
BRIP1,2.1233315010173546,1.9820724441684832,1.6967327823925331,2.179854963061496,1.785214210230951,2.121403082581944,2.1924157039863124,2.224990491541077,1.7948646035037414,2.149714016570321,2.1392867131153155,2.315595211446919,2.064640208644845,2.200357680764633,2.1613178188719107,2.219230205579327,2.0640795285692444,2.1573894920567995,1.5938257181253075,2.1642485748619427,2.159449527576419,2.3092905061308664,2.28954047840022,2.512471931898085,2.22477838859758,1.593688408730069,2.1238949004727283,2.1020063360975363,2.132660587437769,2.222939417564418,1.9176824106661012,2.2028912519047026,2.239904570738904,2.2385706614274485,2.325909680067885,2.071033088390662,1.5247630555381753,2.2295884820330576,2.216400681047822,1.8994568987059768,2.004615136348906,1.6044604191989702,2.1755048588885333,2.298497296267873,1.8862762850621897,2.415029957898692,2.0699070998732374,2.1919410185423382,2.1882800667114544,2.2208781086196487,2.062599641672636,2.406507975323472,2.2097539253247205,2.0510790715016056,2.0730505491207647,2.161917576408297,2.224606663372517,2.173353663825448,1.9331200513180724,1.946143524084188,2.222940541315784,2.1345626766960173,2.0235650556631475,2.352878171230549,2.0077193701501383,2.152778137076899,1.9613424729281892,2.13134283847637,1.799833334725061,1.8068789415469095,2.198344990291164,2.204524906132517,2.3140858378644085,2.0443127220362665,2.1795753230318664,2.247903215217227,2.3839683985085847,2.237307283155402,2.248312364861287,2.289662264862645,2.430975187788833,2.326220932952613,2.3850424173190388,2.2145498628986777,1.7784853882207563,2.038833931110481,2.095727445315588,2.079622942352892,1.9821547741245,2.296902128075349,1.7447216214830257,1.909222902491389,1.6609269578444052,2.0862007412641024,2.192358313804889,2.196156632289548,2.039555729051717,2.013926056572167,2.2362376629088154,2.2074238001527315,1.4498163372514306,2.206016867010524,1.7520735931686633,1.9854639981519293,2.3296016748838966,2.345262169760831,2.298042933015306,2.056317412343875,2.393400224246702,2.199604107405228,2.236431388645239,2.0242390758532003
ATM,1.654116695594996,1.220986677170908,0.5776300622411503,1.314925976928237,1.2036587578468436,1.107201698287663,1.3389266304329737,1.116399475391005,0.9623253007379612,1.3554869992702745,1.4184879970688395,1.2684109590630122,1.0040714312339185,1.4121264360783568,1.29624670967041,1.7226503887365583,1.2103997072519077,1.2252239541377117,0.7449398096249951,1.1185677377983252,1.271547796688605,1.4434037005586584,1.2089433311024964,1.6635208549329028,1.5155413353537843,0.3538976525068083,0.9214860072514616,1.0298354129497318,1.1992974770537623,1.4331406039696106,1.584441782027593,1.181141278445624,1.5459468874825746,1.3301967144845552,1.374331891423393,1.0819412671969677,0.78696357967384,1.3503078271165685,1.3917007853088643,1.075934377959601,1.262723356525887,0.6804065537721831,1.4483149311450718,1.687633289170661,1.2382020083583447,1.3497615679526698,1.6007268848238114,1.3103325327851794,1.1693840636410018,1.4688802002481318,1.3604326809353098,1.484960788289562,1.083339184569474,0.9136924202584492,1.350305366953391,1.284663472827308,1.1095117331896631,1.4855410733408108,1.362673573360185,1.1161101273647789,1.4379525641042177,1.0282185826785843,1.4506621739590129,1.4497049049362802,1.3762275594478246,1.1215603642136258,0.8325959429182285,1.290319258548755,1.0996113607836,1.028350825046915,1.15891302344202,1.443768069319833,1.1334605990355158,1.547694445740835,1.4526458528635071,1.4889933094372612,1.832490273939701,1.6135378025000504,1.663853465654962,1.1697744514961723,1.522221727294759,1.5085102269299633,1.538892235251477,1.5604491423980222,1.2232398677375511,1.3210220488557318,1.2204968552690365,1.3462527082628406,1.0758123777993176,1.3238136563726912,0.9145112803925636,1.3045211998100368,0.7678426872905764,1.384539994687893,1.4745613202549568,1.243997506759026,1.0659558684159178,1.0758689157416628,1.2645990902381803,1.4795117652881573,0.7185755811461243,1.3638999516866217,1.0519863666810751,0.9431271509064814,1.7437491056547143,1.376007654289062,1.4695145550775546,0.9884562872534156,1.3405672226898806,1.1336492923867794,1.223594464992091,1.2095428743659096
CHEK2,1.2248017700809262,0.4068631579765398,0.0,0.5338291052054568,0.0697938070443069,0.3225050575188828,0.9366159549106396,0.6376566120250015,0.1683425126153988,0.4388960665539347,0.8594660406107889,0.0776531856501613,0.3389472939988427,0.7052849468660357,0.6332606964335818,1.7168153466858187,0.4005379295837288,0.9894296974842456,0.071899931565633,0.3211199593653933,0.6190216651348321,0.966553516906858,0.5287046640695393,1.4256025287345873,1.668648651226012,0.0493054857981673,0.1609201881811029,0.4109561181192726,0.2090165918312567,0.7761882305794445,0.2563263327783795,0.6503356688206544,0.8068327093509965,0.9019835085813152,0.9901803759665015,0.2821827758008917,0.0597705810902546,0.6148511624221036,0.1921099793090614,0.2866840448380785,1.1890549162685982,0.0497236919487083,1.3320490837489742,1.2002950882714558,1.0266348332727375,0.6939440869757858,1.1799780724044502,0.6605331620987647,0.8859127105395349,1.5944211536351416,0.2070182259456219,0.7234857514066865,0.2735755656153798,0.1171630754657594,0.3686379932137466,0.0908534304511134,0.1309747868152616,1.1311504414029914,0.0498630670634629,0.3617309349378768,1.0549642120276412,0.1096057242876773,0.5709486051733275,1.7693203857466029,0.3011974126162554,0.2135442940188157,0.0153072527878483,1.3376540110765944,0.4072258355321562,0.1149000239571903,0.4043945297249753,0.488377896712804,0.3173812570428614,1.230510460366176,1.0323124699489437,0.6903723947612379,0.5410191531335592,1.1914994840359374,1.6188494394950097,0.1393821754018676,0.401484842779137,0.8853140440818552,1.062789471716474,1.0920495360027542,0.1147223795006459,0.0818849667292273,0.964312369831136,0.5619859223018461,0.982120470547132,0.5775053668941477,0.1495195214900292,0.714545933353074,0.2355636880924615,0.7268021594379365,0.7677395355455784,0.5604867134767213,0.2353594473909455,0.0,0.1670581380505809,0.5259686210330886,0.0,0.3735832549581971,0.1572162194176842,0.1271049651394007,1.5380911320596162,0.3712428754727186,1.2914660396943984,0.1405169186556468,1.0708930382153412,0.1402987681039347,0.0860590668723313,0.4916992006507312
