cell_type,KW_H,KW_p,MWU_low_vs_high_p
NK_activated,11.684,0.0029,0.0013
CD4_naive_T,11.076,0.0039,0.0007
M1_macrophages,10.48,0.0053,0.0014
T_gamma_delta,10.236,0.006,0.0052
CD4_memory_activated,9.149,0.0103,0.0056
T_follicular_helper,8.2,0.0166,0.0074
Mast_activated,7.807,0.0202,0.0042
Plasma_cells,7.535,0.0231,0.0165
CD8_T_cells,7.176,0.0277,0.0064
NK_resting,6.486,0.0391,0.0177
DC_activated,6.128,0.0467,0.0181
B_naive,5.827,0.0543,0.1342
DC_resting,4.285,0.1174,0.0475
Mast_resting,4.057,0.1316,0.0674
exhaustion_composite,3.574,0.1675,0.1679
CD4_memory_resting,3.042,0.2185,0.0727
M2_macrophages,2.337,0.3108,0.6994
T_regulatory,1.717,0.4238,0.2365
Eosinophils,1.571,0.456,0.2572
M0_macrophages,0.873,0.6462,0.3661
Monocytes,0.773,0.6794,0.6076
B_memory,0.053,0.9739,0.9628
