gene,gnomad_sv_count,mean_disruption,group
ATM,96.0,0.24242424242424224,HR
BRCA1,106.0,0.267217630853994,HR
BRCA2,56.0,0.1983471074380164,HR
BRIP1,129.0,0.24517906336088127,HR
CHEK2,60.0,0.19008264462809907,HR
HORMAD1,228.0,0.2589531680440768,Meiosis
HORMAD2,57.0,0.1955922865013773,Meiosis
MLH3,53.0,0.20385674931129463,Meiosis
MSH4,272.0,0.1845730027548208,Meiosis
MSH5,67.0,0.16804407713498626,Meiosis
PALB2,46.0,0.18732782369145995,HR
RAD21,57.0,0.22314049586776835,Cohesin
RAD51,46.0,0.1680440771349862,HR
RAD51B,234.0,0.20385674931129458,HR
RAD51C,113.0,0.23691460055096394,HR
RAD51D,23.0,0.2506887052341594,HR
REC8,60.0,0.18732782369145998,Cohesin
SMC1A,90.0,0.15426997245179064,Cohesin
SMC1B,64.0,0.21212121212121196,Cohesin
STAG2,127.0,0.1460055096418733,Cohesin
STAG3,177.0,0.1845730027548208,Cohesin
SYCP2,63.0,0.20661157024793378,Meiosis
SYCP3,136.0,0.1460055096418733,Meiosis
