sample,GIPS4_raw,GIPS4_scaled,GIPS4_group
TCGA-A1-A0SK-01,7.25,0.8484848484848485,High
TCGA-A1-A0SM-01,2.0,0.21212121212121213,Low
TCGA-A1-A0SO-01,8.0,0.9393939393939394,High
TCGA-A2-A04W-01,3.5,0.3939393939393939,Moderate
TCGA-A2-A0D1-01,2.5,0.2727272727272727,Low
TCGA-A2-A0EN-01,1.5,0.15151515151515152,Low
TCGA-A2-A0EQ-01,3.75,0.42424242424242425,Moderate
TCGA-A2-A0T1-01,2.5,0.2727272727272727,Low
TCGA-A2-A1FV-01,3.25,0.36363636363636365,Moderate
TCGA-A2-A3XV-01,4.25,0.48484848484848486,Moderate
TCGA-A2-A3XZ-01,2.75,0.30303030303030304,Low
TCGA-A2-A4S1-01,4.75,0.5454545454545454,High
TCGA-A7-A0CG-01,2.0,0.21212121212121213,Low
TCGA-A7-A26G-01,4.25,0.48484848484848486,Moderate
TCGA-A7-A4SB-01,4.0,0.45454545454545453,Moderate
TCGA-A7-A4SF-01,5.0,0.5757575757575758,High
TCGA-A7-A56D-01,8.25,0.9696969696969697,High
TCGA-A8-A076-01,4.5,0.5151515151515151,High
TCGA-A8-A085-01,4.0,0.45454545454545453,Moderate
TCGA-A8-A08B-01,6.0,0.696969696969697,High
TCGA-A8-A091-01,3.75,0.42424242424242425,Moderate
TCGA-A8-A09G-01,2.25,0.24242424242424243,Low
TCGA-A8-A0A7-01,3.25,0.36363636363636365,Moderate
TCGA-AC-A2FE-01,1.0,0.09090909090909091,Low
TCGA-AC-A2QH-01,6.0,0.696969696969697,High
TCGA-AC-A3W6-01,1.75,0.18181818181818182,Low
TCGA-AC-A5EH-01,4.0,0.45454545454545453,Moderate
TCGA-AC-A62X-01,3.75,0.42424242424242425,Moderate
TCGA-AN-A041-01,3.75,0.42424242424242425,Moderate
TCGA-AN-A04D-01,2.75,0.30303030303030304,Low
TCGA-AN-A0AR-01,3.0,0.3333333333333333,Low
TCGA-AN-A0FF-01,1.25,0.12121212121212122,Low
TCGA-AO-A03L-01,5.5,0.6363636363636364,High
TCGA-AO-A03N-01,6.25,0.7272727272727273,High
TCGA-AO-A0J2-01,5.25,0.6060606060606061,High
TCGA-AO-A0J5-01,1.75,0.18181818181818182,Low
TCGA-AO-A0JL-01,5.5,0.6363636363636364,High
TCGA-AO-A128-01,2.75,0.30303030303030304,Low
TCGA-AO-A12G-01,2.0,0.21212121212121213,Low
TCGA-AO-A1KR-01,5.5,0.6363636363636364,High
TCGA-AQ-A54N-01,8.5,1.0,High
TCGA-AR-A0TW-01,4.0,0.45454545454545453,Moderate
TCGA-AR-A0TX-01,2.75,0.30303030303030304,Low
TCGA-AR-A0U4-01,4.25,0.48484848484848486,Moderate
TCGA-AR-A1AH-01,4.25,0.48484848484848486,Moderate
TCGA-AR-A1AI-01,4.5,0.5151515151515151,High
TCGA-AR-A1AW-01,3.0,0.3333333333333333,Low
TCGA-B6-A0I5-01,3.75,0.42424242424242425,Moderate
TCGA-BH-A0AZ-01,3.0,0.3333333333333333,Low
TCGA-BH-A0B0-01,3.25,0.36363636363636365,Moderate
TCGA-BH-A0B4-01,3.75,0.42424242424242425,Moderate
TCGA-BH-A0B5-01,4.5,0.5151515151515151,High
TCGA-BH-A0BF-01,3.75,0.42424242424242425,Moderate
TCGA-BH-A0BM-01,0.25,0.0,Low
TCGA-BH-A0BR-01,4.25,0.48484848484848486,Moderate
TCGA-BH-A0BZ-01,4.75,0.5454545454545454,High
TCGA-BH-A0DG-01,3.25,0.36363636363636365,Moderate
TCGA-BH-A0DH-01,3.0,0.3333333333333333,Low
TCGA-BH-A0EE-01,4.75,0.5454545454545454,High
TCGA-BH-A18G-01,2.0,0.21212121212121213,Low
TCGA-BH-A18J-01,2.0,0.21212121212121213,Low
TCGA-BH-A18T-01,4.25,0.48484848484848486,Moderate
TCGA-BH-A1EN-01,5.25,0.6060606060606061,High
TCGA-BH-A1FC-01,6.0,0.696969696969697,High
TCGA-BH-A1FN-01,5.0,0.5757575757575758,High
TCGA-BH-A203-01,4.25,0.48484848484848486,Moderate
TCGA-C8-A12K-01,3.25,0.36363636363636365,Moderate
TCGA-C8-A12Q-01,3.25,0.36363636363636365,Moderate
TCGA-C8-A12V-01,1.25,0.12121212121212122,Low
TCGA-C8-A131-01,3.5,0.3939393939393939,Moderate
TCGA-C8-A135-01,3.0,0.3333333333333333,Low
TCGA-C8-A137-01,2.0,0.21212121212121213,Low
TCGA-C8-A138-01,5.25,0.6060606060606061,High
TCGA-C8-A1HF-01,3.0,0.3333333333333333,Low
TCGA-C8-A1HK-01,5.25,0.6060606060606061,High
TCGA-C8-A26X-01,3.75,0.42424242424242425,Moderate
TCGA-C8-A274-01,3.5,0.3939393939393939,Moderate
TCGA-D8-A1JF-01,5.25,0.6060606060606061,High
TCGA-D8-A1JN-01,2.75,0.30303030303030304,Low
TCGA-D8-A1XT-01,2.5,0.2727272727272727,Low
TCGA-D8-A1Y3-01,5.25,0.6060606060606061,High
TCGA-D8-A27G-01,2.0,0.21212121212121213,Low
TCGA-D8-A27W-01,5.25,0.6060606060606061,High
TCGA-E2-A107-01,4.0,0.45454545454545453,Moderate
TCGA-E2-A10C-01,5.75,0.6666666666666666,High
TCGA-E2-A14N-01,1.75,0.18181818181818182,Low
TCGA-E2-A14P-01,4.25,0.48484848484848486,Moderate
TCGA-E2-A14S-01,1.5,0.15151515151515152,Low
TCGA-E2-A152-01,6.0,0.696969696969697,High
TCGA-E2-A1B5-01,3.25,0.36363636363636365,Moderate
TCGA-E2-A1IH-01,4.25,0.48484848484848486,Moderate
TCGA-E2-A1LB-01,0.75,0.06060606060606061,Low
TCGA-E2-A1LE-01,3.0,0.3333333333333333,Low
TCGA-E2-A56Z-01,6.5,0.7575757575757576,High
TCGA-E9-A1N4-01,1.25,0.12121212121212122,Low
TCGA-E9-A1N5-01,2.25,0.24242424242424243,Low
TCGA-E9-A22A-01,4.5,0.5151515151515151,High
TCGA-EW-A1OV-01,3.25,0.36363636363636365,Moderate
TCGA-EW-A1P4-01,3.0,0.3333333333333333,Low
TCGA-EW-A423-01,5.25,0.6060606060606061,High
TCGA-GM-A2D9-01,2.0,0.21212121212121213,Low
TCGA-GM-A2DB-01,3.5,0.3939393939393939,Moderate
TCGA-GM-A2DH-01,4.5,0.5151515151515151,High
TCGA-GM-A2DK-01,3.0,0.3333333333333333,Low
TCGA-HN-A2NL-01,5.75,0.6666666666666666,High
TCGA-LD-A9QF-01,1.0,0.09090909090909091,Low
TCGA-LL-A5YO-01,4.0,0.45454545454545453,Moderate
TCGA-LL-A6FP-01,5.5,0.6363636363636364,High
TCGA-LL-A740-01,1.75,0.18181818181818182,Low
TCGA-LL-A9Q3-01,1.75,0.18181818181818182,Low
TCGA-LQ-A4E4-01,3.0,0.3333333333333333,Low
TCGA-OL-A5D6-01,1.25,0.12121212121212122,Low
TCGA-OL-A5D8-01,1.5,0.15151515151515152,Low
TCGA-OL-A5RY-01,0.5,0.030303030303030304,Low
TCGA-OL-A5RZ-01,5.75,0.6666666666666666,High
TCGA-OL-A66N-01,3.25,0.36363636363636365,Moderate
TCGA-OL-A66P-01,3.5,0.3939393939393939,Moderate
TCGA-OL-A97C-01,3.25,0.36363636363636365,Moderate
TCGA-PL-A8LZ-01,3.5,0.3939393939393939,Moderate
TCGA-S3-AA17-01,2.25,0.24242424242424243,Low
TCGA-UU-A93S-01,5.25,0.6060606060606061,High
