Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Double-Strand Break Repair (GO:0006302),11/168,1.3063518182760828e-17,2.8347834456590997e-15,0,0,115.72186836518048,4498.885308815064,RAD51B;RAD51D;RAD51;RAD51C;RAD21;CHEK2;ATM;BRCA1;BRCA2;PALB2;REC8
GO_Biological_Process_2023,DNA Repair (GO:0006281),12/291,8.408908661995927e-17,9.123665898265581e-15,0,0,77.02052785923753,2850.888257542312,RAD51B;RAD51D;RAD51;RAD51C;RAD21;CHEK2;ATM;BRCA1;BRCA2;SMC1A;MLH3;REC8
GO_Biological_Process_2023,Meiotic Sister Chromatid Cohesion (GO:0051177),6/10,2.378243686499681e-16,1.720262933234769e-14,0,0,1762.3235294117646,63399.587595071855,STAG3;RAD21;HORMAD2;HORMAD1;SMC1A;REC8
GO_Biological_Process_2023,Double-Strand Break Repair Via Homologous Recombination (GO:0000724),8/111,3.1860249803902266e-13,1.728418551861698e-11,0,0,102.9074433656958,2961.1444105323285,RAD51B;RAD51D;RAD51;RAD51C;RAD21;BRCA1;BRCA2;PALB2
GO_Biological_Process_2023,DNA Recombination (GO:0006310),6/42,5.8054931884184665e-12,2.519584043773614e-10,0,0,195.5,5058.018334575322,RAD51B;RAD51D;RAD51;RAD51C;RAD21;BRCA1
GO_Biological_Process_2023,Recombinational Repair (GO:0000725),7/95,1.003559265818577e-11,3.62953934471052e-10,0,0,98.8799715909091,2504.123719128873,RAD51B;RAD51D;RAD51;RAD51C;BRCA1;BRCA2;PALB2
GO_Biological_Process_2023,DNA Metabolic Process (GO:0006259),8/288,6.819466513316493e-10,2.1140346191281133e-08,0,0,37.51809523809524,791.8595325436529,RAD51B;RAD51D;RAD51;RAD51C;RAD21;ATM;BRCA1;SMC1A
GO_Biological_Process_2023,DNA Damage Response (GO:0006974),8/384,6.544050976591714e-09,1.7750738274005026e-07,0,0,27.802836879432625,523.9363828190108,RAD51B;RAD51D;RAD51;RAD51C;CHEK2;ATM;BRCA1;SMC1A
GO_Biological_Process_2023,Establishment Of Mitotic Sister Chromatid Cohesion (GO:0034087),3/6,2.6505391270970413e-08,6.390744339778421e-07,0,0,998.7,17423.23798747404,STAG2;RAD21;SMC1A
GO_Biological_Process_2023,Histone H2A Ubiquitination (GO:0033522),3/11,2.178577615111045e-07,4.297739477082698e-06,0,0,374.41875,5743.367756580907,RAD51;BRCA1;BRCA2
GO_Biological_Process_2023,Regulation Of Cell Cycle Checkpoint (GO:1901976),3/11,2.178577615111045e-07,4.297739477082698e-06,0,0,374.41875,5743.367756580907,RAD51;BRCA1;BRCA2
GO_Biological_Process_2023,Histone Monoubiquitination (GO:0010390),3/12,2.90260343277988e-07,5.248874540943614e-06,0,0,332.8,5009.467867039337,RAD51;BRCA1;BRCA2
GO_Biological_Process_2023,Synaptonemal Complex Assembly (GO:0007130),3/14,4.795321685671275e-07,6.937232038604444e-06,0,0,272.26363636363635,3961.559750150406,SYCP2;STAG3;HORMAD1
GO_Biological_Process_2023,Synaptonemal Complex Organization (GO:0070193),3/14,4.795321685671275e-07,6.937232038604444e-06,0,0,272.26363636363635,3961.559750150406,SYCP2;STAG3;HORMAD1
GO_Biological_Process_2023,Histone H2A Monoubiquitination (GO:0035518),3/14,4.795321685671275e-07,6.937232038604444e-06,0,0,272.26363636363635,3961.559750150406,RAD51;BRCA1;BRCA2
GO_Biological_Process_2023,Regulation Of DNA Damage Checkpoint (GO:2000001),3/18,1.071785310995716e-06,1.4536088280379398e-05,0,0,199.62,2744.013406774882,RAD51;BRCA1;BRCA2
GO_Biological_Process_2023,Mitotic Sister Chromatid Cohesion (GO:0007064),3/19,1.2717933141285084e-06,1.5646631696148768e-05,0,0,187.134375,2540.3645970152343,STAG2;RAD21;SMC1A
GO_Biological_Process_2023,Response To Ionizing Radiation (GO:0010212),4/72,1.2978772835515107e-06,1.5646631696148768e-05,0,0,61.637770897832816,835.4864542201217,RAD51;ATM;BRCA1;BRCA2
GO_Biological_Process_2023,Homologous Chromosome Pairing At Meiosis (GO:0007129),3/30,5.284966899503806e-06,6.0359885115385576e-05,0,0,110.83333333333331,1346.696399028853,SYCP2;STAG3;HORMAD1
GO_Biological_Process_2023,Regulation Of Cellular Response To Stress (GO:0080135),4/107,6.339395215244529e-06,6.878243808540314e-05,0,0,40.62135922330097,486.1859664674835,RAD51;ATM;BRCA1;BRCA2
GO_Biological_Process_2023,Mitotic Spindle Assembly (GO:0090307),3/44,1.7060039886984756e-05,0.00017628707883217583,0,0,72.93658536585366,800.7541176946102,STAG2;CHEK2;SMC1A
GO_Biological_Process_2023,Replication Fork Processing (GO:0031297),3/46,1.9524581743858436e-05,0.00019258337447351271,0,0,69.53720930232558,754.0501133232556,RAD51;BRCA1;BRCA2
GO_Biological_Process_2023,Cellular Response To Radiation (GO:0071478),3/48,2.2212872411963597e-05,0.0002095736223215696,0,0,66.44,711.8938765009912,RAD51;BRCA1;BRCA2
