Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Double-Strand Break Repair (GO:0006302),11/168,1.3063518182760828e-17,2.8347834456590997e-15,0,0,115.72186836518048,4498.885308815064,RAD51B;RAD51D;RAD51C;RAD51;CHEK2;RAD21;ATM;BRCA1;BRCA2;PALB2;REC8
GO_Biological_Process_2023,DNA Repair (GO:0006281),12/291,8.408908661995927e-17,9.123665898265581e-15,0,0,77.02052785923753,2850.888257542312,RAD51B;RAD51D;RAD51C;RAD51;CHEK2;RAD21;ATM;BRCA1;SMC1A;BRCA2;MLH3;REC8
GO_Biological_Process_2023,Meiotic Sister Chromatid Cohesion (GO:0051177),6/10,2.378243686499681e-16,1.720262933234769e-14,0,0,1762.3235294117646,63399.587595071855,STAG3;RAD21;HORMAD2;HORMAD1;SMC1A;REC8
GO_Biological_Process_2023,Double-Strand Break Repair Via Homologous Recombination (GO:0000724),8/111,3.1860249803902266e-13,1.728418551861698e-11,0,0,102.9074433656958,2961.1444105323285,RAD51B;RAD51D;RAD51C;RAD51;RAD21;BRCA1;BRCA2;PALB2
GO_Biological_Process_2023,DNA Recombination (GO:0006310),6/42,5.8054931884184665e-12,2.519584043773614e-10,0,0,195.5,5058.018334575322,RAD51B;RAD51D;RAD51C;RAD51;RAD21;BRCA1
GO_Biological_Process_2023,Recombinational Repair (GO:0000725),7/95,1.003559265818577e-11,3.62953934471052e-10,0,0,98.8799715909091,2504.123719128873,RAD51B;RAD51D;RAD51C;RAD51;BRCA1;BRCA2;PALB2
GO_Biological_Process_2023,DNA Metabolic Process (GO:0006259),8/288,6.819466513316493e-10,2.1140346191281133e-08,0,0,37.51809523809524,791.8595325436529,RAD51B;RAD51D;RAD51C;RAD51;RAD21;ATM;BRCA1;SMC1A
GO_Biological_Process_2023,DNA Damage Response (GO:0006974),8/384,6.544050976591714e-09,1.7750738274005026e-07,0,0,27.802836879432625,523.9363828190108,RAD51B;RAD51D;RAD51C;RAD51;CHEK2;ATM;BRCA1;SMC1A
GO_Biological_Process_2023,Establishment Of Mitotic Sister Chromatid Cohesion (GO:0034087),3/6,2.6505391270970413e-08,6.390744339778421e-07,0,0,998.7,17423.23798747404,STAG2;RAD21;SMC1A
GO_Biological_Process_2023,Histone H2A Ubiquitination (GO:0033522),3/11,2.178577615111045e-07,4.297739477082698e-06,0,0,374.41875,5743.367756580907,RAD51;BRCA1;BRCA2
GO_Biological_Process_2023,Regulation Of Cell Cycle Checkpoint (GO:1901976),3/11,2.178577615111045e-07,4.297739477082698e-06,0,0,374.41875,5743.367756580907,RAD51;BRCA1;BRCA2
GO_Biological_Process_2023,Histone Monoubiquitination (GO:0010390),3/12,2.90260343277988e-07,5.248874540943614e-06,0,0,332.8,5009.467867039337,RAD51;BRCA1;BRCA2
GO_Biological_Process_2023,Synaptonemal Complex Assembly (GO:0007130),3/14,4.795321685671275e-07,6.937232038604444e-06,0,0,272.26363636363635,3961.559750150406,SYCP2;STAG3;HORMAD1
GO_Biological_Process_2023,Synaptonemal Complex Organization (GO:0070193),3/14,4.795321685671275e-07,6.937232038604444e-06,0,0,272.26363636363635,3961.559750150406,SYCP2;STAG3;HORMAD1
GO_Biological_Process_2023,Histone H2A Monoubiquitination (GO:0035518),3/14,4.795321685671275e-07,6.937232038604444e-06,0,0,272.26363636363635,3961.559750150406,RAD51;BRCA1;BRCA2
GO_Biological_Process_2023,Regulation Of DNA Damage Checkpoint (GO:2000001),3/18,1.071785310995716e-06,1.4536088280379398e-05,0,0,199.62,2744.013406774882,RAD51;BRCA1;BRCA2
GO_Biological_Process_2023,Mitotic Sister Chromatid Cohesion (GO:0007064),3/19,1.2717933141285084e-06,1.5646631696148768e-05,0,0,187.134375,2540.3645970152343,STAG2;RAD21;SMC1A
GO_Biological_Process_2023,Response To Ionizing Radiation (GO:0010212),4/72,1.2978772835515107e-06,1.5646631696148768e-05,0,0,61.637770897832816,835.4864542201217,RAD51;ATM;BRCA1;BRCA2
GO_Biological_Process_2023,Homologous Chromosome Pairing At Meiosis (GO:0007129),3/30,5.284966899503806e-06,6.0359885115385576e-05,0,0,110.83333333333331,1346.696399028853,SYCP2;STAG3;HORMAD1
GO_Biological_Process_2023,Regulation Of Cellular Response To Stress (GO:0080135),4/107,6.339395215244529e-06,6.878243808540314e-05,0,0,40.62135922330097,486.1859664674835,RAD51;ATM;BRCA1;BRCA2
GO_Biological_Process_2023,Mitotic Spindle Assembly (GO:0090307),3/44,1.7060039886984756e-05,0.00017628707883217583,0,0,72.93658536585366,800.7541176946102,STAG2;CHEK2;SMC1A
GO_Biological_Process_2023,Replication Fork Processing (GO:0031297),3/46,1.9524581743858436e-05,0.00019258337447351271,0,0,69.53720930232558,754.0501133232556,RAD51;BRCA1;BRCA2
GO_Biological_Process_2023,Cellular Response To Radiation (GO:0071478),3/48,2.2212872411963597e-05,0.0002095736223215696,0,0,66.44,711.8938765009912,RAD51;BRCA1;BRCA2
GO_Biological_Process_2023,Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:0008630),3/49,2.3643812296915465e-05,0.000213779469517944,0,0,64.99239130434782,692.3255414550484,CHEK2;ATM;BRCA1
GO_Biological_Process_2023,Cellular Response To Ionizing Radiation (GO:0071479),3/52,2.8297588558777463e-05,0.0002456230686901884,0,0,61.00408163265306,638.8795178327797,RAD51;BRCA1;BRCA2
GO_Biological_Process_2023,Mitotic DNA Damage Checkpoint Signaling (GO:0044773),3/56,3.53873826960796e-05,0.0002953485401942028,0,0,56.38867924528302,577.9363263694697,CHEK2;ATM;BRCA1
GO_Biological_Process_2023,Telomere Maintenance Via Recombination (GO:0000722),2/9,4.531742813205312e-05,0.00036421784832057504,0,0,271.70068027210885,2717.500991613092,RAD51D;RAD51
GO_Biological_Process_2023,Telomere Maintenance (GO:0000723),3/68,6.340531681497786e-05,0.0004913912053160785,0,0,45.95076923076923,444.1584277898047,RAD51D;RAD51;ATM
GO_Biological_Process_2023,Protein Autoubiquitination (GO:0051865),3/71,7.214845142834683e-05,0.000539869446894871,0,0,43.91691176470588,418.82613377865886,RAD51;BRCA1;BRCA2
GO_Biological_Process_2023,Spindle Assembly (GO:0051225),3/81,0.00010689778491205056,0.0007732273108638324,0,0,38.26730769230769,349.9023881573315,STAG2;CHEK2;SMC1A
GO_Biological_Process_2023,Mitotic Recombination (GO:0006312),2/14,0.00011415310511857052,0.0007990717358299936,0,0,158.45238095238096,1438.4259580631342,RAD51D;RAD51
GO_Biological_Process_2023,Mitotic Spindle Organization (GO:0007052),3/85,0.00012337892331824336,0.0008366633237518378,0,0,36.39329268292683,327.5487419598275,STAG2;CHEK2;SMC1A
GO_Biological_Process_2023,Intrinsic Apoptotic Signaling Pathway (GO:0097193),3/105,0.0002306828467400526,0.0015169144770482,0,0,29.227941176470587,244.76842151379057,CHEK2;ATM;BRCA1
GO_Biological_Process_2023,Positive Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010971),2/21,0.0002621447565712824,0.0016731003581167,0,0,100.04010025062657,824.9920613543376,RAD51B;RAD51C
GO_Biological_Process_2023,Mitotic Sister Chromatid Segregation (GO:0000070),3/111,0.0002717346449509861,0.0016847547986961,0,0,27.59583333333333,226.580682059902,STAG2;CHEK2;SMC1A
GO_Biological_Process_2023,Positive Regulation Of Cell Cycle G2/M Phase Transition (GO:1902751),2/24,0.00034381145881898543,0.0020724190712144,0,0,86.38528138528139,688.9586534300897,RAD51B;RAD51C
GO_Biological_Process_2023,Mitotic G2 DNA Damage Checkpoint Signaling (GO:0007095),2/30,0.0005396091866801571,0.0031647349597187,0,0,67.85374149659864,510.5767014966948,ATM;BRCA1
GO_Biological_Process_2023,Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010389),2/35,0.0007355116472040447,0.0042001586169283,0,0,57.55844155844156,415.2809430634506,RAD51B;RAD51C
GO_Biological_Process_2023,"DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)",2/36,0.0007782330418291474,0.0043301684635108,0,0,55.86274509803921,399.8925970911249,CHEK2;ATM
GO_Biological_Process_2023,Mitotic G2/M Transition Checkpoint (GO:0044818),2/46,0.0012696245803666,0.0068877133484892,0,0,43.14502164502164,287.7356174990326,ATM;BRCA1
GO_Biological_Process_2023,Regulation Of Signal Transduction By P53 Class Mediator (GO:1901796),2/47,0.0013251264265467,0.0070134740136741,0,0,42.18412698412698,279.52246208031653,CHEK2;ATM
GO_Biological_Process_2023,Cellular Response To Alcohol (GO:0097306),2/53,0.0016821355801761,0.0086910338309099,0,0,37.21008403361345,237.6865231384464,RAD51;BRCA1
GO_Biological_Process_2023,Signal Transduction In Response To DNA Damage (GO:0042770),2/57,0.0019428161280176,0.0098044441809263,0,0,34.4969696969697,215.38585768961525,CHEK2;ATM
GO_Biological_Process_2023,Telomere Organization (GO:0032200),2/63,0.0023674565400689,0.0114164015376659,0,0,31.094457455113197,187.99519580896612,RAD51D;ATM
GO_Biological_Process_2023,Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992),2/63,0.0023674565400689,0.0114164015376659,0,0,31.094457455113197,187.99519580896612,RAD51B;RAD51C
GO_Biological_Process_2023,Cellular Component Assembly (GO:0022607),3/260,0.0031728272898223,0.0149674678672055,0,0,11.509727626459144,66.21698461014897,SYCP2;STAG3;HORMAD1
GO_Biological_Process_2023,Positive Regulation Of DNA Metabolic Process (GO:0051054),2/108,0.0067878351896843,0.0281730212528146,0,0,17.853548966756513,89.13604298019607,RAD51;BRCA1
