,TCGA-OL-A5D8-01,TCGA-E9-A1N4-01,TCGA-E2-A10C-01,TCGA-EW-A1P4-01,TCGA-A2-A0D1-01,TCGA-A2-A3XV-01,TCGA-E9-A1N5-01,TCGA-E2-A1B5-01,TCGA-A2-A0EN-01,TCGA-HN-A2NL-01,TCGA-AR-A0TX-01,TCGA-GM-A2DH-01,TCGA-C8-A135-01,TCGA-OL-A5RZ-01,TCGA-BH-A0BF-01,TCGA-EW-A1OV-01,TCGA-PL-A8LZ-01,TCGA-BH-A0DG-01,TCGA-A7-A4SB-01,TCGA-A7-A26G-01,TCGA-A2-A0T1-01,TCGA-E2-A14P-01,TCGA-S3-AA17-01,TCGA-A1-A0SK-01,TCGA-BH-A18J-01,TCGA-UU-A93S-01,TCGA-C8-A138-01,TCGA-AO-A0J2-01,TCGA-E2-A1IH-01,TCGA-BH-A0AZ-01,TCGA-E2-A152-01,TCGA-EW-A423-01,TCGA-OL-A5D6-01,TCGA-E2-A14N-01,TCGA-C8-A26X-01,TCGA-AR-A1AH-01,TCGA-AN-A04D-01,TCGA-A8-A09G-01,TCGA-AN-A0AR-01,TCGA-E2-A14S-01,TCGA-BH-A203-01,TCGA-AO-A128-01,TCGA-A8-A08B-01,TCGA-E9-A22A-01,TCGA-AC-A3W6-01,TCGA-A7-A0CG-01,TCGA-A2-A0EQ-01,TCGA-BH-A0BM-01,TCGA-AR-A1AI-01,TCGA-OL-A5RY-01,TCGA-AR-A0TW-01,TCGA-D8-A1JF-01,TCGA-BH-A18T-01,TCGA-OL-A66P-01,TCGA-C8-A12V-01,TCGA-C8-A12Q-01,TCGA-GM-A2DK-01,TCGA-A8-A076-01,TCGA-BH-A1FC-01,TCGA-LL-A5YO-01,TCGA-BH-A1FN-01,TCGA-BH-A0BR-01,TCGA-LQ-A4E4-01,TCGA-AN-A0FF-01,TCGA-BH-A0BZ-01,TCGA-AC-A2QH-01,TCGA-A1-A0SM-01,TCGA-AO-A12G-01,TCGA-C8-A274-01,TCGA-AO-A1KR-01,TCGA-B6-A0I5-01,TCGA-AO-A03N-01,TCGA-AO-A03L-01,TCGA-C8-A137-01,TCGA-AN-A041-01,TCGA-A2-A04W-01,TCGA-C8-A1HK-01,TCGA-A8-A091-01,TCGA-BH-A1EN-01,TCGA-A2-A4S1-01,TCGA-E2-A1LE-01,TCGA-E2-A107-01,TCGA-AC-A2FE-01,TCGA-AC-A5EH-01,TCGA-A7-A56D-01,TCGA-LL-A9Q3-01,TCGA-BH-A0B5-01,TCGA-AR-A1AW-01,TCGA-AC-A62X-01,TCGA-D8-A27G-01,TCGA-C8-A131-01,TCGA-A1-A0SO-01,TCGA-D8-A1Y3-01,TCGA-AO-A0JL-01,TCGA-A8-A085-01,TCGA-LL-A6FP-01,TCGA-A7-A4SF-01,TCGA-C8-A1HF-01,TCGA-E2-A56Z-01,TCGA-D8-A1JN-01,TCGA-GM-A2D9-01,TCGA-D8-A1XT-01,TCGA-D8-A27W-01,TCGA-OL-A97C-01,TCGA-BH-A0B4-01,TCGA-AQ-A54N-01,TCGA-BH-A18G-01,TCGA-GM-A2DB-01,TCGA-C8-A12K-01,TCGA-A2-A1FV-01,TCGA-BH-A0B0-01,TCGA-A2-A3XZ-01,TCGA-OL-A66N-01,TCGA-AO-A0J5-01,TCGA-E2-A1LB-01,TCGA-BH-A0DH-01,TCGA-A8-A0A7-01,TCGA-AR-A0U4-01,TCGA-LL-A740-01,TCGA-BH-A0EE-01,TCGA-LD-A9QF-01
BRCA1,2.19496382132802,1.9186048080458704,2.0750564772386717,1.8306130398606781,1.9495315374377509,1.525408336070797,1.9874101736455492,1.6434322374553925,1.90008252383553,1.9549813290275373,1.9741621677965997,2.2277494759488294,1.8993443979960414,1.9223328027619835,1.8096950605121207,1.8269320764623962,1.9892942696039204,1.8469071874874363,2.043983906421235,1.6224064910932627,1.6815392201123984,1.8819208542253911,2.1042543048931583,2.1792967870546507,1.948403763112883,1.66806547349281,1.7128718679114432,1.783410935432912,1.738473078388524,2.0130886455910897,1.8267028595340715,1.9736446689190263,1.7815581002597058,1.7297564329983801,1.5830332461500147,1.814371438754993,2.130993750556245,1.7416375992093664,1.777122226881513,2.059009100040462,1.7597872500349854,1.9303175834019706,1.6611359798901653,1.6847126681343552,1.9375053294513611,1.8641798402376737,1.8620708184253865,1.9218171398466213,1.949599447504553,1.7733020384541207,2.0458114768664766,1.9415912263553823,1.9688548470093823,1.3278023153765297,1.8808493472793826,1.7440044851663385,1.7590124676962577,1.7237134361169124,1.8635889040387306,1.838449426229147,1.9731370058110045,1.8316119613313264,2.1927909794948155,2.1123392243209596,1.9144949440470675,1.8064665480113207,1.604049752110447,2.0656663033439715,1.9538578084986753,1.4356043509473606,1.6644993896823337,1.5697076036978692,1.8594672453841705,1.6679829292987993,2.1715736860973665,1.5395040012316121,1.852946758833509,2.253397989309876,1.7434405469041443,1.6936319166746892,1.7213448175504755,2.1812211195942277,2.062046334022209,1.8461668753795422,1.1668381228678557,1.8385191043683886,2.1565231167955603,1.9832664323499525,1.7979863977537407,1.959682491713687,1.834906076965014,2.052479130033631,1.8275382166937477,1.7030644464812323,2.364034982413931,1.7749049138092892,1.9595712188334105,1.8889884917436166,1.951611529848631,1.9011082430145123,1.9211523895676363,1.8189992540201094,2.0958722642111414,2.0983460527576288,2.2670481438445655,1.4301684705401707,1.5041026163786544,1.6553185192516162,1.8087894091794228,2.0405672975935945,1.882056070968626,1.895746784564744,1.8523657312745212,1.9071633703365432,1.6732027990827392,1.8826963991935626,1.6660748426206928,2.0790227371234855,1.9398488697110046,1.4751367775205007,1.6726763130748041
BRCA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004846096210619148,0.0,0.0,0.0,0.0,0.0,0.0,0.001204571665408116,0.0,0.0,0.0,0.016722830950162214,0.002823220798034256,0.0,0.0045331169007706415,0.020827419933789622,0.0,0.0,0.0,0.0,0.0,0.0,0.0056916466567434425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01489294748342594,0.0,0.0,0.0030603571211621707,0.0,0.0,0.0,0.0,0.0,0.0,0.008933962936817811,0.0,0.0,0.0,0.0028909780106730694,0.0,0.0,0.0,0.0,0.006063531914284018,0.0,0.0,0.0,0.001552183489180268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033313223420790095,0.0,0.0,0.0,0.0,0.01823199647994332,0.0,0.0,0.03078889450536305,0.0,0.0018488590371901284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00563247425358993,0.0,0.0,0.04351743509452613,0.0,0.0,0.0,0.0031196351121028326,0.0,0.0,0.0,0.0,0.0,0.004143912784442402,0.0,0.0,0.0,0.0,0.0,0.12212309026456883
PALB2,2.2556910656975644,2.0934317205572617,2.3486431831865526,2.148127140731572,2.0120680233090904,1.6175147768344686,2.3092868015017474,2.182886126780142,1.9774741017641921,2.1100825620903154,1.7466481379134113,2.2783416586216423,1.9395989594151641,2.14467944978333,2.0594348867105774,2.1760290968588127,2.1943329450875346,2.0526802017203924,2.0888742944329715,2.0181926105570946,1.9079712502577628,2.0640861150026586,2.0183991651849427,2.0593552776164215,2.0123076418650703,2.024915359463776,1.9916007528174764,2.1902166024514576,2.0873983428538305,1.9724831263889469,2.0181712411489987,2.1862723453008988,1.957951733162553,2.0611160351839897,1.7932217045840841,2.227457683481662,2.324309460627945,1.8856641639742833,2.141821860651095,2.0769284434494275,1.9089243232939572,2.104608397706068,2.3707920093019808,1.9851105585158564,1.893237935582876,1.9820863874753734,1.9353880827422814,1.8799135307701695,2.192408817285081,1.9695133865818508,2.045593243668015,2.0564690792683282,2.2798308102690115,1.4354899179933818,2.1155227170845037,2.06680562285348,1.9720786888028405,2.0722533218005244,2.118309885327953,1.9762609752539595,2.123477488340857,2.133004488188207,2.047789634526203,2.0554976305006627,2.1399180163698954,1.9812571904410683,2.026775276639357,1.972479450194241,2.2148397571777085,1.863224853345973,1.87825450080877,2.159768024007855,2.1898498552288217,2.200416465770112,1.982645004838093,1.8202157315193512,2.1984312897404745,2.1413412298617223,1.803239437771663,1.8389114394829082,1.906467342983104,2.2899731224546622,1.9596032528150242,2.0247239176274356,1.1464662388470936,2.1337213324290527,2.181814973916602,2.0736934350438925,2.2332407877551153,2.0841357172545454,2.021316260090993,2.491917214684428,2.2303014035349715,1.8612169598668473,2.1876252437905026,2.2425537293608473,2.249703213050599,2.2006142055134528,2.2537775344411513,2.0938069140543445,1.8869909847376631,2.2227334753481047,2.1374018757457756,1.7856216908575084,2.039945515680815,1.4866371526746942,1.8504033975829015,1.8688368736450953,2.2721844751429634,2.020317285629355,2.030685673241952,2.0570655022013846,2.088816641909924,1.8817076842011973,1.8753515150671822,2.1985538718056588,1.8764128231995945,2.16387545835937,2.0126687826966925,2.113640496736906,2.0249791677643443
RAD51,2.540168463587368,2.3980682703739893,2.0039010951620972,2.107208865517437,2.2329653198289816,1.990806884086192,2.435236738262624,1.8906113147043457,2.0833024086260536,2.1291130542872074,2.157777561134228,2.0516772883956738,1.9728820792313755,2.431789569181829,2.284404792606739,2.076377543135586,1.9466761624940803,2.316132371563734,2.204817303074205,1.9067071027245495,2.1327160311615914,2.231659259180791,2.366441660414855,1.9910218635454202,1.9774912919042045,0.5794326830793757,2.0568156000633144,1.9903516919875892,2.147076209899355,2.053493686884028,2.289791344813466,2.0393057940627335,2.703754958354297,1.0085255024159019,2.43820275710867,1.965834001296076,0.8782937434010416,2.4315550762650355,2.284461741889495,2.386656037820574,1.9787194339900323,1.7170347779973112,2.3452347712189376,2.271379703305113,2.2239880154821736,2.5541713305747322,1.8591591613336544,2.147912808982926,2.042436914884022,2.0429998495118586,2.5921598425311783,1.2747226994146335,1.9599184966892484,2.190062910719998,2.048676160936597,2.42256009594268,1.7739476503683123,2.407873546079665,1.9615065061450216,1.7059540904272887,1.884092915647024,2.2550172359997487,2.5303262576858256,2.4374387756148277,2.2287831775654827,2.3830715209861792,2.157924286548317,2.422535255866905,2.351328243766623,1.6952914757908155,2.2104440159507917,1.7495276668189728,2.4940137937630817,2.4493988368841,2.2355550477254473,1.8063748248932268,2.2003715540662574,2.6334061711120347,2.2390901322401056,1.8092212909629906,2.40608658196446,2.5641323669514096,2.3557861266437525,2.37429047958832,1.5564501673948008,2.4496832658940195,2.326902356374888,2.1161548688139735,1.6459640912147535,2.4785676544755124,2.055633512545488,2.092397418259921,2.5040531761194345,1.0647926670640733,2.320715721784995,2.241931683519727,2.367854893848544,2.011055188508996,2.3222964899662815,2.580227137093122,2.2916806230150057,2.165281182282147,2.487626844191641,2.185498202518031,2.3066727900232133,1.7827569375862495,1.8955054674172092,1.864063446058593,1.960443274862856,2.2756007873783664,2.3200291468283716,2.4258620859435953,2.092139767887133,2.4407723353327655,2.7629898346630117,2.6605706062494026,1.9128473395166554,2.146996031221429,2.587507166854118,1.985923536381472,2.1213419156723834
RAD51B,1.7138240195908334,1.7629841531214072,1.6325328998480864,1.6559055431309113,1.6916177914813932,1.0380630234733579,1.804015174257303,1.2919650558719296,1.6686727891413846,1.3979637118516695,1.8440887241284043,1.7127802702801564,1.6476280462498776,1.3119577482321982,1.501078974176854,1.5856918493546837,1.8291623780152375,1.7389738392656835,1.3984155796382864,1.558593141348751,1.5256253620670763,1.724222357815811,1.6288407584429079,1.6801950558459298,1.5910267918131138,1.3544109443626806,1.529527514216773,1.4466106411963016,1.4476669760912286,1.3806064563811349,1.7972691201427866,1.3125877321326322,1.6078242977816495,1.610007719758215,1.473897791090441,1.6052333855529062,1.3259762807357685,1.8334536985534569,1.7525776451288864,1.7733430721657,1.5841157347564176,1.7076366292180478,1.6265620797138403,1.352008366111478,1.4820983604784805,1.7249855164623782,1.574686264772854,1.5033130043514056,1.7018859382282545,1.4674556134600367,1.5995274813404694,1.642725492442602,1.5736024565666415,1.0355729989918756,1.7744638641984878,1.7994600746781306,1.2080478717930845,1.9369740734700671,1.4359803311391575,1.4696754132037615,1.705538138254974,1.5102932815478916,1.762944057034527,1.7945637877807805,1.6433518746068898,1.420783392666741,1.5981675151073584,1.5244948018339335,1.8388548075170053,1.0168214982074575,1.3299740678233203,1.0209761100686823,1.853248512377071,1.5881479173381126,1.824007157519945,1.2738387873486627,1.6629007120032566,1.8958647151030483,1.8146213976549146,1.2732513390848972,1.317446125187365,1.5652206903489534,1.6353661367483916,1.6799511083347147,0.9368009048487015,1.2205986813694563,1.749261594639548,1.665599522774441,1.4677760019733388,1.8087282634662976,1.4578248772348406,1.7510482476374098,1.4843707299839102,1.219241364113141,1.4946146053716731,1.3781680273027526,1.8281997155999745,1.4855357194948193,1.208964364836653,1.8491128865822175,1.4669948840182976,1.6607260488341853,1.8014927315894727,1.7571364587225935,1.5420760601361416,1.1283097831578985,1.2306752773111798,1.7170606095587573,1.4868910697844993,1.5199808057922324,1.7163368395728231,1.6637444713565848,1.2041638093795037,1.6711822149691573,1.6436905056647508,1.9756827365493672,1.5190818070498648,1.6072205818490237,1.528196042033285,1.7015707631502892,1.5438563234896934
RAD51C,1.569345259617919,1.7174472185316283,1.2861951132885812,1.8310097423983487,1.1991477758546114,0.10105835567935444,1.8114545894670278,1.8545143654077927,1.732043387572512,1.876110233414017,1.5159041661935104,2.056694500639865,1.7526115930886879,1.7154101954163619,1.7495256865579967,1.410384525933285,1.7176314623683433,2.5980554786257066,1.4063298563948736,1.7516608088963765,1.451973312954071,2.147150371209431,1.6277188877620226,2.224978708862255,1.561722044170251,0.5039185762101211,1.3381448343309794,1.6800182299439754,1.5809848018935309,1.7596331015079874,1.4565117989048668,1.1268143096296714,1.363956003711451,1.2957230245399685,1.2991508590514476,1.8516710963057017,1.9730013760872447,2.4432406272616785,1.3645164042160458,1.6694259466430845,1.7141971522216692,1.6859580839371742,1.0794702768018953,2.075991208658259,1.3309254804941828,1.6334963103552318,1.6039289454223624,1.4851382593043152,1.7310181043757529,1.569179965142568,2.2405952076909097,1.5054946421626616,1.7784272774361136,0.655773125644432,1.636831077904864,1.879729288292287,1.4026348704193086,2.1404252994416684,1.9383535489640973,1.257107197068082,1.7641083192659754,1.5781755127097656,1.6567709255608365,1.7287564310216483,1.7529797465738555,1.565041436280405,1.8215143053772458,1.5835768482622534,1.6236702449780536,0.5874610073779383,0.7944366618044221,0.7033488076369118,1.7764998850878648,0.7396753145033141,1.9527733908309266,1.2943943107030986,1.9047576782315958,1.72477249185426,1.6979694862544124,1.2272358593214547,1.4785576985995044,1.6359215160188212,1.6114084810249572,1.3868330142964156,0.07033436703343633,0.8869948853524598,1.7612767618613443,1.7068973957860503,1.4609941290015354,1.9426533727148694,1.2737307114385248,2.0153619713839577,1.2811819028247788,1.2268167650498671,2.1245795920389394,0.8360372223694785,2.384613508508782,1.6878669385001535,1.397156752587278,1.4002100070818309,1.2855679343132145,1.8058124751025475,1.9599407465954168,1.5626893614483113,1.9391061913722325,0.5399280433528023,1.9703751302050145,0.8125228690241388,1.776516729359729,1.732781487813273,1.598298500576256,2.6713613157030616,0.8276889730055859,2.1641683995339926,1.4770037399821276,1.7345427185259503,1.4973108945209908,1.9749771025124054,1.6068591043940905,1.131075790816382,1.5329652159336022
RAD51D,1.6573587551484423,1.6902718129617136,1.2074337392656616,1.5303379757306657,1.449651168855623,1.7149751993981122,1.4597463541308675,1.4938701762606637,1.566318343097879,1.8402799269384948,2.20468694644408,1.8924298858625213,1.3307534231563365,1.5149756286061957,1.631337144127481,1.5636121051239082,1.6008049549894734,1.68311926084377,1.588475990338425,1.350488760617756,1.551653820722026,1.3029419150409918,1.7742072300221383,1.9251202457231786,1.453522846919403,1.372146972007715,1.3813858251355715,1.7092244555338516,1.3998246028744885,1.4092225553142812,1.5580667694903858,1.5811752686201845,1.4049657755919414,1.6943498074100638,1.5733308958958554,1.583966697551327,1.7331894517581832,1.6577154532133205,1.8834800586836387,1.7414842447058856,1.357180374815123,1.4983913000329894,1.2202649392603973,1.237358740720874,1.5960811957820087,1.5849649052108872,1.729480987384571,1.5318455437512153,1.6456371070210314,1.6400216085475041,1.7152849827333572,1.6069183100029085,2.0331851024361978,1.4811516675240843,1.5032393202835395,1.3090218958603388,1.3680642873879263,1.464315390824761,1.9052680943659461,1.5594844712268603,1.6997825873798016,1.4653580866444922,1.6193144015458114,1.5962219647904374,1.6001745857896597,1.533114772253737,1.326442430870212,1.7084432999433938,1.7569442802686996,1.2138325056278592,1.4410239324637013,0.6663430357700851,1.4993025024771454,1.4958000355794003,1.7039135373472287,1.0542928195660406,1.5811077643026779,1.7134714759169072,1.2600527627117437,1.2033327316231863,1.3961457855977304,1.7757732886829254,1.7018617363553123,1.6244027408436417,1.068416296123166,1.3087511178506364,1.6796399834814488,1.5543653701161149,1.6544928258834615,1.379881532938454,1.4402931370721388,1.9470040294467166,1.8718239394260463,1.4161911938952143,1.776221926204649,1.6312044175295204,1.6424335683593723,1.554023941331537,1.653901534873257,1.3235401269849496,1.421269087652667,1.3581599196983065,2.1495357796818775,1.669194616488656,1.8415746627666896,1.4453055910306751,1.2799436972049762,1.188179344067055,1.5259085033124156,1.5241915863916282,1.361445541340488,1.8467380067803714,1.691284016539489,1.3645724322958561,1.3854034255409509,1.7134582784230314,1.3313010677214103,1.5673190961518064,1.6399035664851351,1.051560040099752,1.4483301017227184
BRIP1,2.183495753683583,2.278883346175046,1.7427384490740327,2.1961566322895476,2.2143113486853343,1.6713016081939949,2.194672770111433,2.361693339367851,2.1430246676653826,2.345262169760831,2.168364881737033,2.3296016748838966,2.148394601028863,2.341290230083186,2.19938709663213,2.0862007412641024,2.3258076582082166,2.436724441737682,2.0777252670247206,2.219230205579327,2.320315047334611,2.652517783826095,2.175476406417245,2.1233315010173546,2.148497548192389,1.6010083875909662,1.8760380597703679,2.094689969751236,1.9767908648426327,2.1978339460450282,2.0167018210676333,1.9220289646380568,2.1997999601559286,1.7784853882207563,2.1983449902911634,2.074566465943004,2.1326605874377695,2.293331421052868,1.9176824106661015,2.0410836511615695,2.183798882908685,2.216400681047822,1.7839587052565333,2.118965529452416,2.0357397045524994,2.0915816752282477,2.100429080867646,1.9714504158614408,2.135333677171907,2.129759589674432,2.532457515214549,2.237307283155402,2.0702887729146218,1.8949203904920096,2.13134283847637,2.3904996064487953,1.9113032089073143,2.4751089433914073,2.152778137076899,2.056317412343875,2.1330080762856434,2.170946475862515,1.9626593934106413,2.1479714938868537,2.1909509662701225,2.2247783885975796,2.253813833526336,2.122008814941808,2.048510771333694,1.6044604191989702,1.4871523448408832,1.4253303910350161,2.3408196343613996,1.816283189260374,2.3149121558715238,1.9848571019100956,2.1776325581908225,2.055546533978813,2.21851009991627,1.9716751409663142,2.0143449044965287,2.0367756865518385,2.175097760932287,2.2106155607125078,1.4064030857275396,1.9538374958595026,2.131787608584274,2.241996561789771,1.8234055029497476,2.4245385885874042,1.799833334725061,2.2846341913155355,1.9500733707646498,1.5247630555381753,2.4838488365097775,1.8349509280718768,2.2493504546668137,2.056138923149927,1.8780818207205376,1.77257824379413,1.8355154916039687,2.371018938941929,2.3511657209089902,2.083262269713882,2.346700100967869,1.3228941147638358,2.1345626766960173,1.7520735931686633,2.1800054714872914,1.9890260188119517,1.9470826028189334,2.3048428712938756,1.911782907547284,2.5574796036177956,2.200978512106994,2.125458144375269,2.1655798872407694,2.415029957898692,2.437643226394281,2.401228807109524,2.1993094216859768
ATM,0.8825699027626686,1.455921546127572,1.0251428370227773,1.2439975067590259,1.2107493440770232,0.7203774525903031,1.279745170465455,1.2031957078050113,1.3747721792683052,1.376007654289062,1.5317573598986318,1.7437491056547145,1.1679498759487603,0.9728908062057767,1.4924974955691854,1.384539994687893,1.5602960124098573,1.3698997642236066,0.9608630095837304,1.7226503887365585,1.2491709305266034,1.4762171143494973,1.262872354898634,1.654116695594996,1.2556898835853123,0.8772833331928763,1.1865474083693863,1.1517938874963232,1.3008775116911924,1.4463644135746647,1.288055494423736,0.6340396392456518,1.3063814469319,1.2232398677375511,1.15891302344202,1.3589710530458838,1.1992974770537623,1.4593791560455758,1.584441782027593,1.0269909180816073,1.4793655460060562,1.3917007853088643,1.2571707046439866,1.3660527339423179,1.2437273555149753,1.4997821201473118,1.0505062400494491,1.2271624462304562,1.2522892749785286,1.1479069298698703,1.2740554777689193,1.6135378025000504,1.4779250565947208,0.48450804869765934,1.290319258548755,1.3373735365780668,1.0771775960675591,1.615882980868075,1.1215603642136258,0.9884562872534157,1.296902963582076,1.5290256565811744,1.2190506415258546,1.504812702081043,1.2932681127696888,1.5155413353537843,1.2520075040029321,1.1119080465451439,1.5323408133995087,0.6804065537721831,0.6420565916610513,0.7650734529806654,1.365208076804349,1.185248804497062,1.2663185460891395,1.2330824265519251,1.1995870009905654,1.3656681963358743,1.3141517479092353,1.2718075933533548,1.277974400727185,1.1877484720665448,1.3054376649384622,1.3373114773309571,0.3648013940061606,0.49399477920547585,1.5887691164532436,1.363814650948399,0.6530001819642313,1.367020925276075,1.0996113607836,1.695281195144861,0.7978033780189103,0.78696357967384,1.1935359022658436,0.48741028886905075,0.804484600213729,1.2407443854897828,0.6977622179293747,1.459472674987069,0.8239690613202517,1.7219108887570573,1.2675410089312944,1.5434055036961702,1.3113464186420345,0.3500593294474417,1.0282185826785843,1.0519863666810751,1.2718231796656247,1.4518228998543061,1.3925181316050284,1.1393299709206972,0.6265305561233666,1.4398451180325902,1.4727431731233038,1.2843931053454853,1.4519856938216666,1.3497615679526698,1.388740604787264,1.2887591303633141,1.3874896174708942
CHEK2,0.13623514343492765,1.6167027230432691,0.0,0.5604867134767213,0.5713693905555675,0.0,1.4294642110347155,0.11143200536198733,1.2950764582739862,0.37124287547271867,1.055797230294706,1.5380911320596162,0.6820938174575304,0.37206058233216077,1.1204846568954558,0.7268021594379365,0.4210482124235619,1.457961944452685,0.09815002109201154,1.7168153466858187,0.5937202749441002,0.2322514235371705,0.5944211536351413,1.2248017700809262,0.513524433345201,0.0,0.16645837172253314,0.11818250701835183,0.6038498403246114,1.2764768141788272,1.5907058038409168,0.1955155879638726,0.40352223965503664,0.1147223795006459,0.40439452972497536,0.2045998348483486,0.2090165918312567,0.7857039846769748,0.2563263327783795,0.25201189338089,0.36591645385806115,0.19210997930906148,0.3467205563386497,0.38901605968850905,0.4240979674352276,1.3689917889081649,0.5699770933245684,0.8435015255368229,0.9400539620969552,0.07769875475393778,0.662813142093215,1.1914994840359374,0.11818250701835183,0.06004738366993889,1.3376540110765944,1.084994004396362,0.11214407375581854,0.8675802222025047,0.21354429401881575,0.1405169186556468,0.5612039207699201,1.1217227561268928,0.7587864111142752,1.2451913930643081,0.8448141259078092,1.668648651226012,0.654924300074564,0.9220455770319438,1.050234668222255,0.049723691948708355,0.0,0.47019843955566676,0.7842526934045798,0.13097478681526165,1.2672561208326483,0.28554031639322386,0.6130286650139777,1.3440709779247004,1.055797230294706,0.0,0.17849156782231052,0.27289909401398205,0.8878631597386829,0.4456560851243215,0.04119624694167531,0.08415499747243822,1.4192871844412216,1.1827770348244226,0.32868330376006244,1.196669987531528,0.40722583553215624,1.5782463753169738,0.1567849075543597,0.0597705810902546,1.1638636536220834,0.07674150118057374,0.9131096147547875,0.21113682698227518,0.04423089614102694,0.30392683648069474,0.19606141924558487,0.7849506118179551,1.531235883942434,1.4733020361294358,0.9854518538964934,0.0,0.1096057242876773,0.15721621941768427,0.20188474283985725,1.7536901028433423,0.7798620310106915,0.4487247871494404,0.0832928064968076,1.5060941119063214,0.4915965944104482,0.8450818568666909,1.0389511707238916,0.6939440869757858,0.414207711043346,0.013974333101371118,0.3569325684193453
