sample,CD8_T_cells,CD4_naive_T,CD4_memory_resting,CD4_memory_activated,T_follicular_helper,T_regulatory,T_gamma_delta,NK_resting,NK_activated,B_naive,B_memory,Plasma_cells,Monocytes,M0_macrophages,M1_macrophages,M2_macrophages,DC_resting,DC_activated,Mast_resting,Mast_activated,Eosinophils,Neutrophils,exhaustion_composite,GIPS_group,GIPS_scaled
TCGA-AQ-A54N-01,0.08593604369241534,0.0416176959512981,0.04031529156846956,0.03154040441384641,0.11878304437529943,0.013157898047443833,0.048943335053455606,0.01875827264450297,0.11972843962844101,0.020512281966963523,0.07301728364562499,0.0071073941638553255,0.020810045520878926,0.016611945672813332,0.042105811717653166,0.033939066251822914,0.04852016290373985,0.02179696666290372,0.07638793881079896,0.05721112666642654,0.06319955064134666,0.0,-0.12113453404209515,High,0.9375000000000004
TCGA-C8-A138-01,0.07248688308217252,0.05137679524352237,0.038922021594882096,0.04431832090331705,0.08780352729205115,0.039483030431828964,0.0390844506934407,0.03410090103053784,0.09331959646344397,0.04685101295008456,0.07046757908040728,0.059820865930833626,0.046602574942020386,0.030976860389232808,0.028869485276526604,0.02171052723055328,0.05495409600404531,0.04234211032391668,0.05124532022613454,0.006326075095819024,0.03893796581522926,0.0,0.3100088138410293,High,0.625
TCGA-C8-A12Q-01,0.06778623772153007,0.049432894150028266,0.043009385021118444,0.04848252617458932,0.07378310376410506,0.029786868316518347,0.031869003604703745,0.044850777207748334,0.07279827829638683,0.02986697299062682,0.07469719672331203,0.044688394297042244,0.0778678681775706,0.030349694406437637,0.025283865394655363,0.03777605719333314,0.05591416855010954,0.03563781825790336,0.07108814250903621,0.02130233544832116,0.03372841179492346,0.0,-0.3359366828683446,Low,0.34375
TCGA-OL-A66N-01,0.0849085664009899,0.05483670032792384,0.052465066127287886,0.05091153483785249,0.09930017446417402,0.024792265412081176,0.028890967707280387,0.026845075383809407,0.08571526884521191,0.04232630648436844,0.08547682675213006,0.06889800553338578,0.03254827292124396,0.022235577898400034,0.02366628127208545,0.03548097678506437,0.04602107220402547,0.0556581655144582,0.049477116225678006,0.011518164781030349,0.018027614121518716,0.0,-0.7918629683544933,Moderate,0.375
TCGA-C8-A1HF-01,0.07436023574837045,0.05075775621910635,0.040644192737742085,0.045476554158837466,0.08786415644126644,0.04317827243417588,0.04718240523896513,0.03742501153026083,0.09328135879470968,0.026133778835463677,0.0791923162703926,0.04327336348970746,0.03988067056332726,0.026221201856587086,0.026238162547821256,0.03177940171886137,0.052362278840352126,0.029923427722985157,0.05788030750818093,0.0532968448049126,0.013648302537974031,0.0,-0.11482505660564996,Low,0.34375
TCGA-BH-A18T-01,0.06995158901540136,0.04025810967705667,0.04213273087242745,0.04773855347181813,0.08133430971476417,0.03376960048049949,0.060100847034893747,0.04489380048854187,0.06456644928509286,0.024902921765310945,0.08183903724892679,0.03971557530835738,0.032786888522812654,0.04001428981051918,0.03297210106665527,0.0386496819946826,0.06168671724583071,0.03452614173642486,0.05569359978051696,0.03931515082091149,0.03315190465855528,0.0,1.1895603885299002,Moderate,0.5
TCGA-LL-A6FP-01,0.10874482916367774,0.04911592266964727,0.036319523081748996,0.03548201489153733,0.11782193681247705,0.0024043236641385557,0.04707589577727173,0.01513750297314389,0.0977915343029942,0.047564585715759125,0.10127177937910153,0.05944020871452159,0.041523195251496364,0.03075547487880049,0.03363252206475847,0.042016415899349346,0.03223013510219046,0.01673939614928519,0.06791516614732408,0.0024767711193600453,0.014540866241416523,0.0,0.08387172588005165,High,0.5937500000000001
TCGA-A2-A3XV-01,0.10449656443661666,0.043834075080011976,0.039428197235359556,0.033765144539024565,0.11641046620222002,0.02799822207520397,0.019025055855591146,0.014352527860050975,0.09091159493172236,0.027621841709064465,0.07048026074996853,0.04394224353825982,0.06297824207626379,0.020332677174334717,0.03352313243096484,0.029002146903720973,0.04663960296079242,0.031919930190703355,0.08801541815288502,0.05508455797113956,0.00023809792610128943,0.0,-0.9759790000989231,Moderate,0.4375000000000001
TCGA-EW-A1P4-01,0.06810096568602622,0.04948472420082714,0.05215475647924796,0.0545446971199608,0.0820837875590088,0.04493926799135852,0.05404896809607504,0.025710152059309887,0.07630317920078845,0.030827825878534974,0.08234072330211083,0.026011180174910123,0.037974028076354235,0.03927754441795216,0.028879013401927098,0.036789630828557025,0.05901745395721378,0.03446847978957971,0.07742243843294691,0.02463798071474158,0.014983202632568896,0.0,0.6356741544269222,Low,0.34375
TCGA-E9-A1N5-01,0.07611667737259474,0.05153510057394555,0.04799209859658827,0.05899179717690869,0.08271567700852749,0.0144898284764611,0.045745858886309276,0.045626632900582574,0.08778107759394621,0.03402297284906716,0.08125557387865971,0.06370684981652966,0.03730238161768462,0.03460416672305911,0.027829532413793528,0.027472003042116753,0.060039997977276015,0.03600156436776766,0.0625574212733303,0.016971494805536582,0.0072412926493148596,0.0,-0.10578354360695319,Low,0.25
TCGA-AO-A03L-01,0.07775860600092567,0.049558666231596514,0.05178814764429676,0.04795776728966632,0.08318652424438623,0.017605037072015745,0.038791052968920214,0.03514657943133661,0.09138323095634207,0.038485487149669526,0.07543421533627066,0.05839691252791945,0.03704957798739147,0.028134454785032507,0.024927893455164878,0.02549548328461168,0.0563677484994997,0.03584142437611074,0.05767404295257466,0.030620261105805006,0.038396886700463734,0.0,-0.43399422492794515,High,0.5937499999999999
TCGA-C8-A12V-01,0.06649962842243222,0.049428506305143394,0.05124585745781284,0.056339699007201795,0.07701824132449532,0.04719678853733732,0.040724452203669645,0.04874201255029791,0.08164696465682003,0.0274787158086458,0.07113720183910853,0.018716324120453008,0.031204044036846474,0.045666911740378825,0.023142076838921194,0.027955940199668225,0.07562824774576583,0.04533088710722564,0.06506821660049339,0.025805644330289697,0.024023639166992853,0.0,0.8155040333760021,Low,0.125
TCGA-A8-A09G-01,0.07560592345141824,0.0452313154907885,0.05101524510874736,0.06017604844876975,0.0813703759367375,0.038616658786559205,0.05059417593905702,0.03870369428198178,0.08453311252531592,0.029641942134637944,0.07194772263205716,0.04501157593515858,0.03592831813712491,0.040468549248714826,0.02878739454291179,0.03736640543381563,0.05853648711452863,0.036970635489739216,0.058653867623944075,0.027851450090489758,0.0029891016475021427,0.0,-0.5788024388744425,Low,0.2500000000000001
TCGA-AC-A5EH-01,0.0747847846769068,0.04370221111719683,0.035575177803142184,0.03988948261738337,0.08632370291123113,0.03046517293226958,0.03339306648424568,0.04406852200772748,0.08299261583768765,0.03477423241242544,0.08251088316243071,0.062043326113867946,0.08025832396079247,0.037418176755327735,0.02644591287830551,0.035678653171103296,0.06276033702602227,0.007571176994883623,0.05956345081860926,0.02429541657481407,0.015485373743626976,0.0,0.7197510719328136,Moderate,0.375
TCGA-A1-A0SK-01,0.07934127218431387,0.04338883933938686,0.03333619650451473,0.04187706832991327,0.09598390196766962,0.011598847313393341,0.07766411002293007,0.01312193829004807,0.08008266205732358,0.03706696222768107,0.09071557250075962,0.009090354899129422,0.041568946584756405,0.04152334679892315,0.03329980846838734,0.0349918307370013,0.0679045332163494,0.027018766365589482,0.06235381880133807,0.03157130224191057,0.046499921148680866,0.0,1.7795700291367316,High,0.7187500000000001
TCGA-BH-A1EN-01,0.09891563274371694,0.05318033402421882,0.037893275017483574,0.06302097372507993,0.10176186799354045,0.0042550265221623475,0.028370463005962715,0.04114262592574934,0.09052769525710717,0.03517657666533602,0.09455104390594643,0.04987836442067405,0.04533915315217351,0.034294349430242746,0.031957531267726075,0.03540006629251012,0.07011592441216447,0.011882891745175655,0.07015576861743658,0.0,0.002180435875592979,0.0,-0.07889579022975536,High,0.6249999999999999
TCGA-D8-A1Y3-01,0.07953686733316881,0.04642432284157698,0.035924128034520615,0.037590123321948644,0.09541160725739908,0.027920080144775497,0.0506892400001026,0.05560043505905778,0.0959465145835331,0.0239187423552615,0.08219671206963877,0.062282255804084696,0.032639583023071836,0.015957594792870095,0.029390841874357993,0.029775735123466766,0.058518238484397404,0.029646480665399513,0.06335204112159168,0.044866710838864086,0.002411745270912548,0.0,-0.05036749221971194,Moderate,0.40625
TCGA-AC-A2FE-01,0.06826457816153891,0.05081892183663414,0.05190608685685449,0.049537073219121666,0.07598834363957133,0.03238991398760705,0.033272543365034435,0.041057479874562285,0.0783641369397434,0.03207502041204988,0.07250828132959482,0.05102419009855707,0.06936155223147653,0.02880373296123713,0.022958823655600865,0.03380762327680095,0.05711877584542977,0.03940195907667599,0.06810451127254585,0.015774363997583193,0.027462087961780363,0.0,0.6826056623083574,Low,0.0625
TCGA-A7-A26G-01,0.06284800189983561,0.048218293430385396,0.05181468904285219,0.05962683972055901,0.07522366390009169,0.032634448305773556,0.02902474973026321,0.050539100898516764,0.06370503959708902,0.022183152164742845,0.07168834974801863,0.061998246644897906,0.032381735800929005,0.04002545984131378,0.029859893333927783,0.02715314742209501,0.06830520063647427,0.03473622588050911,0.06629791647123986,0.016460430221344715,0.05527541530914063,0.0,-0.523860632002952,Moderate,0.4687500000000001
TCGA-LL-A5YO-01,0.0774931203401702,0.04544960308037594,0.05279153144645876,0.049194042143764605,0.08347237072393497,0.048691065443885725,0.03567383539316731,0.04403217600182783,0.086262159566672,0.028657356263690304,0.07169031873011318,0.03978037549601963,0.03690795947417641,0.030531426854296106,0.025318949774339797,0.029100154879339812,0.05952359478498573,0.05169090961506752,0.054462842705207605,0.0224070847006563,0.02686912258185032,0.0,-0.24589434761238224,Moderate,0.4375
